
[00:00:00.000 --> 00:00:04.000]  在我們聆聽主導的耳先,讓我們同心低頭禱告
[00:00:04.000 --> 00:00:10.000]  慈悲天父,多謝你,讓我們能夠再次打開你的說話
[00:00:10.000 --> 00:00:17.000]  有生命,有氣息,來再次經歷多一天的生命生活,我們獻上感恩
[00:00:17.000 --> 00:00:27.000]  讓我們每一天仍然能夠踏在地上走面前,上帝要我們所走的道路,我們獻上感謝
[00:00:28.000 --> 00:00:36.000]  求你也讓我們有智慧,從你而來的認知,知道所走的道路,是應該怎樣去走
[00:00:36.000 --> 00:00:39.000]  走得怎樣合適於你的心思意念
[00:00:39.000 --> 00:00:46.000]  如果我們能夠在這條送靈道路的過程當中,藉著聖靈的啟迪
[00:00:47.000 --> 00:01:02.000]  讓我們能夠洞悉到這個世界,包括教會裡面種種的信仰思維,怎樣去將主祢的啟示,將你的教導去真是可能掩沒了
[00:01:02.000 --> 00:01:09.000]  讓我們真是重新在你的聖經的啟示當中,對主祢有精準的認識
[00:01:10.000 --> 00:01:19.000]  我們不住再次在這時候向主祢祈求,求主賜願,禱告奉耶穌基督,寶貴聖名自救,阿們
[00:01:19.000 --> 00:01:32.000]  過去的兩個主日裡面,我們已經在當中用了這個私人虛擬網絡的例子來介紹給我們知道
[00:01:33.000 --> 00:01:46.000]  原來這個殺種的比喻,以及其十三章裡面不住說的都是一個有關於跟上帝交通,communication這個題目
[00:01:46.000 --> 00:01:56.000]  不過今天我們來到最後這裏,其實說到有關於跟上帝溝通這個題目的時候
[00:01:57.000 --> 00:02:06.000]  我們想繼續用這個私人網絡的例子去和大家去思想,嘗試做一個比對
[00:02:06.000 --> 00:02:13.000]  今天我們有所謂虛擬私人網絡的裝置,裝置了之後,不是裝了就算了
[00:02:13.000 --> 00:02:25.000]  裝了最重要是怎樣用,用的時候怎樣能夠適當地去運用,而且是更安全地去運用
[00:02:26.000 --> 00:02:38.000]  免得上帝的心思意念被這個云云的世界的各種思想污染之下扭曲了我們對上帝的認識
[00:02:38.000 --> 00:02:49.000]  所以今天我們會再嘗試看一下,當上帝這個神國的虛擬網絡VPN安裝了之後
[00:02:50.000 --> 00:03:00.000]  是怎樣實質地去用一次,所以今天我給了一個題目給大家,在程序表裏面叫做天國虛擬私人網絡的運作實踐
[00:03:00.000 --> 00:03:07.000]  說了這麼多東西,裝好了,怎樣用呢?用一次給我看一下,好不好?
[00:03:08.000 --> 00:03:20.000]  大家如果還不記得,你自己第一次在家裏裝這個Internet高速的網絡聯輸的時候,裝了之後又怎樣呢?
[00:03:20.000 --> 00:03:31.000]  你都要找一個人告訴他,原來可以這樣插一條線下去,或者用手機連上去,怎樣連?連上去之後
[00:03:32.000 --> 00:03:41.000]  大家可以看到些什麼呢?要找人教的,要找人講的,耶穌於是乎就在今天我們所一齊的思想這段經文
[00:03:41.000 --> 00:03:53.000]  馬太福音第十三章從第十八節至到去第二十三節,就去告訴我們聽,做一次實踐,英文叫demonstration
[00:03:54.000 --> 00:04:08.000]  讓我們學會怎樣去跟上帝溝通,上帝溝通要學的,不是說信得主了,ok的了,進入自動波,要學的
[00:04:08.000 --> 00:04:17.000]  保羅都說,我們作為信徒的,我們要成長的,初頭好像嬰孩一樣都是吃奶的
[00:04:18.000 --> 00:04:25.000]  吃奶吃吃下就不吃奶的,要吃些固體食物的了,怎樣過程要學的
[00:04:25.000 --> 00:04:35.000]  我還記得我女兒小時候移民過來,師母剛剛轉吃固體食物的時候,師母幾有心機
[00:04:36.000 --> 00:04:50.000]  找些魚,挑掉骨頭,然後打好那些菜,煮飯,淋了,飯爛飯仔,拌好了,自己檢查過沒事,慢慢逐少逐少教她怎樣吃
