
[00:00:00.000 --> 00:00:03.120]  第八篇裡有明句說人算什麼
[00:00:03.120 --> 00:00:07.280]  這句話希伯來文的讀音叫"Ma-enosh"
[00:00:07.280 --> 00:00:12.600]  "Ma"是"什麼","人"是"什麼"
[00:00:12.600 --> 00:00:17.480]  提醒我們人生裡能夠一段時間安靜自己
[00:00:17.480 --> 00:00:20.460]  反思一下人是什麼崗位
[00:00:20.460 --> 00:00:23.240]  與神什麼關係,神有什麼使命
[00:00:23.240 --> 00:00:26.040]  這裡一定是神給我們恩典
[00:00:26.040 --> 00:00:29.640]  所以我們只有一段時間去安靜思想到神的道理
[00:00:29.640 --> 00:00:33.000]  這個"Ma-enosh"人算什麼的表達
[00:00:33.000 --> 00:00:36.160]  聖經出現三次,兩次在約伯記
[00:00:36.160 --> 00:00:40.000]  就好像剛剛禱告說到尖沙咀事件
[00:00:40.000 --> 00:00:44.480]  突然覺得人可以很脆弱,生命會離棄
[00:00:44.480 --> 00:00:48.600]  或者有人行錯的事情會傷害很多人
[00:00:48.600 --> 00:00:50.800]  記得前一陣子在北京教書
[00:00:50.800 --> 00:00:52.960]  以前通常是星期一去,星期五、六返
[00:00:52.960 --> 00:00:57.040]  那次剛剛在另一埠去北京,星期天在北京
[00:00:57.040 --> 00:01:01.080]  專程去看看天安門廣場,很久沒有去
[00:01:01.080 --> 00:01:08.160]  去到入口就發覺原來他們現在的系統是要排安檢才能進廣場
[00:01:08.160 --> 00:01:10.360]  當時心裡覺得一般般
[00:01:10.360 --> 00:01:13.440]  廣場是什麼渣,沒什麼好渣的,要排安檢
[00:01:13.440 --> 00:01:17.560]  要安檢很長,排了四、五個字就想走
[00:01:17.560 --> 00:01:24.120]  不過又好奇,看看安檢檢什麼,好奇就排隊
[00:01:24.120 --> 00:01:28.840]  就查密碼等等,又進了去
[00:01:28.840 --> 00:01:35.000]  香港事件發生之後就想起大陸的地鐵都要查安檢
[00:01:35.000 --> 00:01:37.800]  我希望不會繼續發生,如果繼續發生多幾次
[00:01:37.800 --> 00:01:40.840]  可能我們將來坐地鐵都煩了很多
[00:01:40.840 --> 00:01:44.080]  原來我們的系統,我們的設計
