
[00:00:00.000 --> 00:00:01.000]  明朝末平安
[00:00:01.000 --> 00:00:03.880]  我們來到《耳福所書》的第三講
[00:00:03.880 --> 00:00:07.720]  就是《耳福所書》最後的第五和第六章
[00:00:07.720 --> 00:00:09.580]  我給一個題目給他
[00:00:09.580 --> 00:00:14.840]  叫做「受敵和屬靈的爭戰」
[00:00:14.840 --> 00:00:16.360]  你知不知道
[00:00:16.360 --> 00:00:18.800]  你有一個敵人
[00:00:18.800 --> 00:00:20.760]  你問牧師是嗎?
[00:00:20.760 --> 00:00:22.080]  我有敵人嗎?
[00:00:22.080 --> 00:00:25.720]  這個敵人很厲害的
[00:00:25.720 --> 00:00:28.080]  其實他時時對準著你
[00:00:28.080 --> 00:00:29.360]  你自己都不知道
[00:00:29.360 --> 00:00:30.840]  這麼厲害的?
[00:00:30.840 --> 00:00:32.640]  那誰是我的敵人?
[00:00:32.640 --> 00:00:35.040]  「受敵」就是誰?
[00:00:35.040 --> 00:00:38.320]  保羅來到最後一章第六章的時候
[00:00:38.320 --> 00:00:42.640]  就突然之間揭出一件很重要的事
[00:00:42.640 --> 00:00:44.800]  我相信有很多的教徒
[00:00:44.800 --> 00:00:47.200]  可能你仍然不知道的
[00:00:47.200 --> 00:00:49.040]  就是原來這個世界
[00:00:49.040 --> 00:00:52.480]  是有兩個世界觀的
[00:00:52.480 --> 00:00:55.600]  一個我們叫做「靈界」
[00:00:55.600 --> 00:01:00.120]  一個叫做「屬地的世界」
[00:01:00.120 --> 00:01:01.960]  「世俗的世界」
[00:01:01.960 --> 00:01:04.640]  所以原來我們需要知道
[00:01:04.640 --> 00:01:10.040]  有「靈界」和有「屬地的世界」
[00:01:10.040 --> 00:01:12.240]  保羅有一次曾經說
[00:01:12.240 --> 00:01:16.520]  我好像被提到三層天上面
[00:01:16.520 --> 00:01:18.600]  我們若摸估計
[00:01:18.600 --> 00:01:22.920]  天上面分為起碼有三層
[00:01:22.920 --> 00:01:26.160]  我想問你第一層天代表什麼?
[00:01:26.160 --> 00:01:30.840]  就是你現在在外面望上天
[00:01:30.840 --> 00:01:31.640]  或者晚上
[00:01:31.640 --> 00:01:34.000]  今晚的月光很光
[00:01:34.000 --> 00:01:37.720]  這個就是第一層天
[00:01:37.720 --> 00:01:40.000]  第二層天是什麼?
[00:01:40.000 --> 00:01:43.640]  就是有些國家派太空人
[00:01:43.640 --> 00:01:45.440]  飛上月球
[00:01:45.440 --> 00:01:47.080]  又說去火星
[00:01:47.080 --> 00:01:48.920]  又說要探測什麼
[00:01:48.920 --> 00:01:53.520]  「外太空」「太空以外」
[00:01:53.520 --> 00:01:55.960]  第三層天呢?
[00:01:55.960 --> 00:01:58.800]  保羅說他去過的
[00:01:58.800 --> 00:02:01.160]  就是屬於「靈界」
[00:02:01.160 --> 00:02:03.360]  屬天上的
[00:02:03.360 --> 00:02:06.280]  記不記得《約伯記》一開頭那裡
[00:02:06.280 --> 00:02:10.800]  就是說撒旦來到神的面前
[00:02:10.800 --> 00:02:13.160]  他說我發覺地上有一個人
[00:02:13.160 --> 00:02:14.480]  很蒙你祝福
[00:02:14.480 --> 00:02:16.360]  那個就是約伯
[00:02:16.360 --> 00:02:19.160]  他說「神啊如果你放手給我
[00:02:19.160 --> 00:02:21.560]  可以攻擊這個約伯
[00:02:21.560 --> 00:02:24.960]  我擔保他就放棄你了」
[00:02:24.960 --> 00:02:30.800]  神看到撒旦這樣來挑戰
[00:02:30.800 --> 00:02:35.600]  他說「好,我准你攻擊他
[00:02:35.600 --> 00:02:39.400]  但你有某一些限制」
[00:02:39.400 --> 00:02:43.080]  這個就是屬於「靈界」
[00:02:43.080 --> 00:02:45.520]  天上面「靈界」的事
[00:02:45.520 --> 00:02:46.840]  有神
[00:02:46.840 --> 00:02:48.680]  也有撒旦
[00:02:48.680 --> 00:02:51.920]  他們是互相為仇的
[00:02:51.920 --> 00:02:53.480]  所以我們知道
[00:02:53.480 --> 00:02:59.320]  惡者專門攻擊我們
[00:02:59.320 --> 00:03:02.000]  好像《約翰福音》裡面說
[00:03:02.000 --> 00:03:06.640]  耶穌說我是牧羊人
[00:03:06.640 --> 00:03:09.200]  我是羊的門
[00:03:09.200 --> 00:03:15.960]  都測利是要偷竊、殺害、毀壞
[00:03:15.960 --> 00:03:20.400]  這個就是仇敵今天要做的策略
[00:03:20.400 --> 00:03:26.320]  他要毀壞、攻擊
[00:03:26.320 --> 00:03:29.920]  他是一個謊言之父
[00:03:29.920 --> 00:03:35.080]  所以撒旦是一個撒謊的人
[00:03:35.080 --> 00:03:38.600]  而且是謊言之父
[00:03:38.600 --> 00:03:41.280]  他最擅長裝模作樣
[00:03:41.280 --> 00:03:47.080]  所以撒旦可以化作光明的天使來欺騙你
[00:03:47.080 --> 00:03:50.000]  所以今天我們知道我們有一個仇敵
[00:03:50.000 --> 00:03:54.040]  仇敵就是要打敗這些信耶穌的人
[00:03:54.040 --> 00:03:57.080]  所以要向我們背後放箭
[00:03:57.080 --> 00:03:58.680]  於是保羅說
[00:03:58.680 --> 00:04:00.400]  我們要知道
[00:04:00.400 --> 00:04:05.800]  我們今天的仇敵是屬靈氣的惡魔
[00:04:05.800 --> 00:04:10.560]  所以你打仗要知道和誰打才行
[00:04:10.560 --> 00:04:12.640]  你是否他的對手
[00:04:12.640 --> 00:04:14.160]  好像大衛
[00:04:14.160 --> 00:04:16.960]  爸爸叫他去探望哥哥
[00:04:16.960 --> 00:04:17.960]  大衛就去
[00:04:17.960 --> 00:04:20.480]  誰知有個巨人來挑戰
[00:04:20.480 --> 00:04:22.560]  大衛很生氣
[00:04:22.560 --> 00:04:27.440]  他說你怎可以辱罵我的永生神
[00:04:27.440 --> 00:04:29.720]  於是他就想出場打仗
[00:04:29.720 --> 00:04:32.080]  嚇得哥哥馬上制止他
[00:04:32.080 --> 00:04:35.440]  你這個小子夠膽和這個巨人打嗎?
[00:04:35.440 --> 00:04:39.240]  後來就聽到有人肯出場
[00:04:39.240 --> 00:04:40.760]  記得讓他出場
[00:04:40.760 --> 00:04:48.040]  但是大衛知道他勝敗不是在乎自己
[00:04:48.040 --> 00:04:51.240]  勝敗在乎耶和華
[00:04:51.240 --> 00:04:54.240]  是神讓他得勝的
[00:04:54.240 --> 00:04:55.560]  所以各位弟兄姊妹
[00:04:55.560 --> 00:04:58.160]  今天我們有個惡者
[00:04:58.160 --> 00:04:59.440]  就是撒旦
[00:04:59.440 --> 00:05:01.720]  撒旦要打敗我們
[00:05:01.720 --> 00:05:03.000]  叫你跌倒
[00:05:03.000 --> 00:05:04.320]  叫你犯罪
[00:05:04.320 --> 00:05:05.920]  叫你離開神
[00:05:05.920 --> 00:05:10.720]  但是我們基督徒必須要站立得穩妥
[00:05:10.720 --> 00:05:14.840]  於是保羅在第五章二弗所書裏面說
[00:05:14.840 --> 00:05:17.640]  你們當效法我
[00:05:17.640 --> 00:05:21.000]  好像我效法基督那樣
[00:05:21.000 --> 00:05:22.840]  哇!保羅真是夠膽
[00:05:22.840 --> 00:05:24.560]  你們學我吧
[00:05:24.560 --> 00:05:27.040]  因為我正在學基督
[00:05:27.040 --> 00:05:29.320]  不是說你學我
[00:05:29.320 --> 00:05:31.120]  因為我學基督
[00:05:31.120 --> 00:05:35.320]  所以你們可以學我這樣去一起學基督
[00:05:35.320 --> 00:05:37.520]  然後保羅就勸他們
