
[00:00:00.000 --> 00:00:01.700]  我們讀兩節聖經
[00:00:01.700 --> 00:00:04.720]  在啟示錄第二十二章第二節
[00:00:04.720 --> 00:00:09.680]  這裡說在河這邊與那邊有生命樹結十二樣果子
[00:00:09.680 --> 00:00:11.440]  每月都結果子
[00:00:11.440 --> 00:00:14.240]  樹上的葉子乃為一字萬名
[00:00:14.240 --> 00:00:18.440]  第二段在以西傑書第四十七章第九節
[00:00:18.440 --> 00:00:20.680]  這裡說這河水所到之處
[00:00:20.680 --> 00:00:23.120]  凡滋生的動物都必生火
[00:00:23.120 --> 00:00:25.400]  並且因這流來的水
[00:00:25.400 --> 00:00:27.120]  必有極多的魚
[00:00:27.120 --> 00:00:28.840]  海水也變甜了
[00:00:28.840 --> 00:00:30.480]  這河水所到之處
[00:00:30.480 --> 00:00:32.720]  百物都必生火
[00:00:32.720 --> 00:00:34.080]  我們就讀到這裡
[00:00:34.080 --> 00:00:36.600]  我想在這裡再次感謝
[00:00:36.600 --> 00:00:39.960]  兩位在市政單位服務的弟兄姐妹的見證
[00:00:39.960 --> 00:00:41.600]  當我聽見他們的分享
[00:00:41.600 --> 00:00:44.160]  我心中真的很多的感觸
[00:00:44.160 --> 00:00:46.160]  回想二十幾年前
[00:00:46.160 --> 00:00:49.080]  當我們開始成立生命河的時候
[00:00:49.080 --> 00:00:51.680]  當時我們所想的
[00:00:51.680 --> 00:00:53.760]  只是一個堂會而已
[00:00:53.760 --> 00:00:57.840]  沒想到神帶領我們是進入一個movement
[00:00:58.200 --> 00:01:01.640]  一個在聖靈所帶領的運動的裡面
[00:01:01.640 --> 00:01:06.400]  當時我們所想到的只是一個教會的成長
[00:01:06.400 --> 00:01:09.200]  但神帶領我們所進入的
[00:01:09.200 --> 00:01:11.280]  卻是影響力
[00:01:11.280 --> 00:01:13.880]  回頭看這些年
[00:01:13.880 --> 00:01:16.000]  神果然帶領我們
[00:01:16.000 --> 00:01:19.920]  真的走上一條影響世代的道路
