
[00:00:00.000 --> 00:00:07.300]  好,很開心,我們可以繼續去研讀《神教話語》了
[00:00:07.300 --> 00:00:11.400]  我們這次看尼希米的第三講
[00:00:11.400 --> 00:00:13.680]  我們去研究尼希米記
[00:00:13.680 --> 00:00:18.360]  藉著尼希米記給我們可以反思一些屬靈的原則
[00:00:18.360 --> 00:00:21.060]  特別是帶領的原則
[00:00:21.060 --> 00:00:25.540]  尼希米雖然在外地身居高位
[00:00:25.540 --> 00:00:30.160]  但是他沒有忘記自己的國家在苦難當中
[00:00:30.160 --> 00:00:33.880]  所以後來他就向神禱告
[00:00:33.880 --> 00:00:39.600]  神要祝福他,他就可以向王申請假期
[00:00:39.600 --> 00:00:42.840]  他就回到耶路撒冷裡面
[00:00:42.840 --> 00:00:45.640]  幫助子民重建城牆
[00:00:45.640 --> 00:00:51.300]  軍王更加委派他做特區首長
[00:00:51.300 --> 00:00:55.420]  所以他回去的時候,我們上次看到
[00:00:55.420 --> 00:01:02.020]  他是自己一個人去看看城邊的城牆爛成怎樣
[00:01:02.020 --> 00:01:05.980]  他個人去視察,他沒有跟別人講的
[00:01:05.980 --> 00:01:08.120]  但是當他計劃好了之後
[00:01:08.120 --> 00:01:12.800]  他就當眾宣佈講了一篇很令人感動的信息
[00:01:12.800 --> 00:01:19.020]  接著他就說到,我們就起來去建造這個城牆
[00:01:19.020 --> 00:01:21.840]  他在這個分享當中就講到
[00:01:21.840 --> 00:01:25.120]  他怎樣經歷到神的祝福
[00:01:25.120 --> 00:01:30.020]  但是記住,當你為神有工作的時候
[00:01:30.020 --> 00:01:33.040]  就一定有很多的衝擊
[00:01:33.040 --> 00:01:35.040]  有外敵入侵
[00:01:35.040 --> 00:01:38.360]  我們今天會繼續看尼希米第二章的下半段
[00:01:38.360 --> 00:01:41.320]  還有大家都不想看的第三章
[00:01:41.320 --> 00:01:44.200]  推動神的工作,特別是一些很大的事
[00:01:44.200 --> 00:01:46.480]  就不一定會很順利的
[00:01:46.480 --> 00:01:50.220]  一定有很多不同的衝擊,甚至反對的聲音
[00:01:50.220 --> 00:01:54.500]  問題是這些反對是出於善意
[00:01:54.500 --> 00:01:59.060]  是給我們提醒,是內部,是自己人
[00:01:59.060 --> 00:02:01.900]  還是出於惡意,我們的敵人
[00:02:01.900 --> 00:02:04.640]  他們在搞擾著我們呢?
[00:02:04.640 --> 00:02:08.420]  尼希米面對的敵人,他那種的輕視
[00:02:08.420 --> 00:02:10.720]  嘲諷無列
[00:02:10.720 --> 00:02:14.180]  我們稍後就會看他們怎樣嘲弄他
[00:02:14.180 --> 00:02:18.820]  但是我們先看尼希米第二章,第19節
[00:02:18.820 --> 00:02:25.240]  彈劾倫人參巴拉和其他的人
[00:02:25.240 --> 00:02:31.900]  有圍爐的阿門人多比亞和阿拉伯人基善
[00:02:31.900 --> 00:02:36.400]  聽見就嘲笑我們,藐視我們,說
[00:02:36.400 --> 00:02:40.100]  你們做什麼呢?要背叛皇嗎?
[00:02:40.100 --> 00:02:43.320]  留意,尼希米過去的敵人
[00:02:43.320 --> 00:02:45.320]  除了我們曾經看過的
[00:02:45.320 --> 00:02:50.360]  就是有和倫人參巴拉和阿門人多比亞
[00:02:50.360 --> 00:02:54.780]  但是現在多了一個人,就是可拉人基善
[00:02:54.780 --> 00:02:59.140]  從其他資料裏面,我們就看到
[00:02:59.140 --> 00:03:03.460]  基善是什麼呢?原來是基達王
[00:03:03.460 --> 00:03:10.420]  是統治阿拉伯爾東和猶大尼基巴
[00:03:10.420 --> 00:03:14.140]  這些都是他們波斯殖民地
[00:03:14.140 --> 00:03:17.220]  但是他們有較多的自由權
[00:03:17.220 --> 00:03:20.980]  他們抗拒尼希米的成因
[00:03:20.980 --> 00:03:23.640]  就是基於害怕這幫子民
[00:03:23.640 --> 00:03:27.900]  在尼希米的領導下,勢力龐大
[00:03:27.900 --> 00:03:30.900]  就會影響他們的統治
[00:03:30.900 --> 00:03:34.220]  又或者舉一個例子,當你賣東西
[00:03:34.220 --> 00:03:37.820]  有一間,我是做外賣店的
[00:03:37.820 --> 00:03:40.240]  有一間食肆在我附近
[00:03:40.240 --> 00:03:44.080]  但那些食物,每個人都說不要再放塵
[00:03:44.080 --> 00:03:47.380]  很難吃的,你不用理會他
