
[00:00:00.000 --> 00:00:02.760]  各位大型節目,平安、聖誕快樂
[00:00:02.760 --> 00:00:07.920]  不知道你聽到平安、聖誕快樂有什麼感受
[00:00:07.920 --> 00:00:09.900]  可能你第一個感覺就是
[00:00:09.900 --> 00:00:12.920]  好像很遙遠
[00:00:12.920 --> 00:00:15.900]  可能今天你的位置跟禮拜堂有些距離
[00:00:15.900 --> 00:00:18.240]  大型節目可能住在圓環街附近也好
[00:00:18.240 --> 00:00:19.340]  也有些遙遠
[00:00:19.340 --> 00:00:20.980]  比起過去可能這麼近
[00:00:20.980 --> 00:00:23.160]  伸手可見的距離問安
[00:00:23.160 --> 00:00:24.780]  有些不同的感受
[00:00:24.780 --> 00:00:26.740]  各位大型節目可能跟我一樣
[00:00:26.740 --> 00:00:27.760]  一開始的時候
[00:00:27.760 --> 00:00:31.480]  很感謝主一學為我們預備了很多可愛的小朋友
[00:00:31.480 --> 00:00:34.640]  他們去唱聖誕歌
[00:00:34.640 --> 00:00:38.040]  也去表達上帝耶穌基督愛我們
[00:00:38.040 --> 00:00:38.840]  祂也愛我們
[00:00:38.840 --> 00:00:40.840]  那些面孔不知道是什麼感受
[00:00:40.840 --> 00:00:41.680]  我就感受到
[00:00:41.680 --> 00:00:44.320]  原來很多小朋友都很久沒見他們了
[00:00:44.320 --> 00:00:46.000]  有段很長的時間
[00:00:46.000 --> 00:00:49.200]  看到他們好像長大了、成熟了
[00:00:49.200 --> 00:00:50.960]  雖然繼續都是很可愛
[00:00:50.960 --> 00:00:52.840]  可能很久沒見
[00:00:52.840 --> 00:00:54.000]  很多事情都不同了
[00:00:54.000 --> 00:00:57.040]  可能今年在疫情之間很多事情都不同了
[00:00:57.440 --> 00:00:59.800]  我們也沒想像過這個年頭
[00:00:59.800 --> 00:01:02.400]  剛剛過去之前的復活節我們沒辦法回來
[00:01:02.400 --> 00:01:06.080]  今天聖誕節我們居然也沒辦法回來這裡崇拜
[00:01:06.080 --> 00:01:08.200]  可能有很多限制
[00:01:08.200 --> 00:01:10.280]  甚至因為這樣而很多人不開心
[00:01:10.280 --> 00:01:12.120]  但是有些事情是沒變的
[00:01:12.120 --> 00:01:13.520]  是不是?
[00:01:13.520 --> 00:01:15.720]  人會長大了、老了、成熟了
[00:01:15.720 --> 00:01:16.720]  地方會不同了
[00:01:16.720 --> 00:01:18.800]  因為疫症緣故習慣不同了
[00:01:18.800 --> 00:01:20.680]  但是上帝的恩典沒變
[00:01:20.680 --> 00:01:23.840]  上帝要設的平安從來沒改變過
[00:01:23.840 --> 00:01:25.840]  所以大型節目平安
[00:01:26.360 --> 00:01:27.560]  願你聖誕快樂
[00:01:27.560 --> 00:01:31.360]  在每一年聖誕節裡面
[00:01:31.360 --> 00:01:34.760]  你可能都會有很多畫面
[00:01:34.760 --> 00:01:37.520]  過去我們應該會在這個地方
