
[00:00:00.000 --> 00:00:05.440]  在上星期我們已經提到在薩姆爾記上的第一章、第三章、第四章
[00:00:05.440 --> 00:00:08.580]  要交代了大衛王朝的合法性
[00:00:08.580 --> 00:00:13.120]  但在第二章的末到第三章的小插曲
[00:00:13.120 --> 00:00:16.040]  我們要解釋究竟它為何要存在
[00:00:16.040 --> 00:00:19.040]  作者為何要寫這兩件事件在這裏
[00:00:19.040 --> 00:00:20.840]  可以跟你隔壁頂尖講一聲嗎
[00:00:20.840 --> 00:00:22.720]  你要回去看薩姆爾記下
[00:00:22.720 --> 00:00:24.920]  跟你隔壁頂尖講一聲要回去看薩姆爾記下
[00:00:24.920 --> 00:00:26.040]  因為如果你不看
[00:00:26.040 --> 00:00:27.480]  你回來就這樣聽我講
[00:00:27.480 --> 00:00:28.800]  你不知道我講了些甚麼
[00:00:28.800 --> 00:00:32.560]  在薩姆爾記下第二章和第三章裏面
[00:00:32.560 --> 00:00:34.080]  有兩個小插曲
[00:00:34.080 --> 00:00:37.880]  我們會提到主題是合一的難阻
[00:00:37.880 --> 00:00:42.800]  因為去到薩姆爾記下的第五章、第三節到第五節
[00:00:42.800 --> 00:00:46.840]  一個結論或一個大局就出來了
[00:00:46.840 --> 00:00:47.600]  是他說
[00:00:47.600 --> 00:00:51.840]  於是以色列的眾長老都來到希伯倫見王
[00:00:51.840 --> 00:00:55.200]  大衛在希伯倫在耶和華面前與他們納約
[00:00:55.200 --> 00:00:57.480]  他們就高大衛作以色列的王
[00:00:57.480 --> 00:01:00.800]  他在希伯倫作猶大王七年零六個月
[00:01:00.800 --> 00:01:04.240]  在耶路撒冷作以色列和猶大王三十三年
[00:01:04.240 --> 00:01:06.440]  這裏是一個結論
[00:01:06.440 --> 00:01:07.640]  大局已定
[00:01:07.640 --> 00:01:13.440]  就是大衛總共做了皇帝四十年零六個月
[00:01:13.440 --> 00:01:14.160]  如果深水清的話
[00:01:14.160 --> 00:01:16.040]  七年零六個月加三十三年
[00:01:16.040 --> 00:01:19.120]  但其中有七年零六個月
[00:01:19.120 --> 00:01:22.320]  他只是做了猶大人的皇帝
[00:01:22.320 --> 00:01:27.240]  即是當時因為有伊斯波切在北面的以色列做王
[00:01:27.240 --> 00:01:30.080]  如果這件事處理得不好的話
[00:01:30.080 --> 00:01:32.680]  整個以色列國就會分裂
[00:01:32.680 --> 00:01:38.920]  我們看到直至到這兩件小插曲處理了之後
[00:01:38.920 --> 00:01:40.280]  雖然說是小插曲
[00:01:40.280 --> 00:01:42.440]  但影響非常之嚴重
[00:01:42.440 --> 00:01:43.640]  處理得好之後
[00:01:43.640 --> 00:01:47.120]  就產生了第五章的大局
[00:01:47.120 --> 00:01:51.000]  就是整個國家能夠邁向到合一
[00:01:51.000 --> 00:01:54.760]  我們看到在撒末爾記下二章十二到三十一節
[00:01:54.760 --> 00:01:59.520]  記述到大衛家和蘇羅家一直在爭鬥
[00:01:59.520 --> 00:02:02.520]  在爭鬥過程中發生了一件事
[00:02:02.520 --> 00:02:06.360]  事件的來由就是厄尼爾
[00:02:06.360 --> 00:02:10.480]  大家記得在伊斯波切那邊能夠擁護伊斯波切
[00:02:10.480 --> 00:02:13.200]  即是蘇羅的另一個兒子做王
[00:02:13.200 --> 00:02:17.320]  就是一個手執軍權的人叫做厄尼爾
[00:02:17.320 --> 00:02:19.680]  但另一邊大衛能夠做王
[00:02:19.680 --> 00:02:22.960]  因為有另一個人手執兵權很大
[00:02:22.960 --> 00:02:25.160]  影響力很強的叫做約克
[00:02:25.160 --> 00:02:27.040]  兩個人的名字只有一個字相同
[00:02:27.040 --> 00:02:28.200]  是在中文翻譯裡面
[00:02:28.200 --> 00:02:32.280]  我們看到厄尼爾帶領伊斯波切的軍隊
[00:02:32.280 --> 00:02:38.480]  剛剛遇到約克的軍隊
[00:02:38.480 --> 00:02:42.160]  當雙方的軍隊相遇之後
[00:02:42.160 --> 00:02:46.400]  我們看到聖經裡面提到厄尼爾向約克提出
[00:02:46.400 --> 00:02:47.800]  不如這樣吧
[00:02:47.800 --> 00:02:51.480]  我們找幾個人出來比試一下武功
[00:02:51.480 --> 00:02:53.080]  這個是漏打
[00:02:53.080 --> 00:02:56.320]  這個漏打是沒有人想過的
[00:02:56.320 --> 00:03:00.560]  結局是這麼激烈和淒慘的
[00:03:00.560 --> 00:03:06.280]  最後雙方派了12個少年人出來比試武功
[00:03:06.280 --> 00:03:09.840]  最後互相插死了對方
[00:03:09.840 --> 00:03:13.400]  一次過在轉瞬間死了24個少年人
[00:03:13.400 --> 00:03:16.800]  事情是因為厄尼爾一句話
[00:03:16.800 --> 00:03:19.280]  不如你找些人出來我們大家比試一下武功
[00:03:19.280 --> 00:03:20.640]  死了24個
[00:03:20.640 --> 00:03:22.320]  事件是不是這樣結束呢
[00:03:22.320 --> 00:03:23.840]  當然不是
[00:03:23.840 --> 00:03:27.400]  你會發覺接下來是很激烈的爭戰
[00:03:27.400 --> 00:03:31.480]  兩隊的大軍彼此廝殺起來
[00:03:31.480 --> 00:03:34.720]  最後去到17節
[00:03:34.720 --> 00:03:40.320]  就告訴我們厄尼爾和以色列人被大衛的軍隊擊敗了
[00:03:40.320 --> 00:03:43.840]  厄尼爾的軍隊總共點算之後死了360人
[00:03:43.840 --> 00:03:46.200]  而約克那邊死了19人
[00:03:46.200 --> 00:03:47.600]  以數字計算
[00:03:47.600 --> 00:03:51.800]  約克那邊死得比較少而厄尼爾那邊死了360人
[00:03:51.800 --> 00:03:53.680]  因為厄尼爾一句話
[00:03:53.680 --> 00:03:55.920]  不如找些人出來我們大家比試一下武功
[00:03:55.920 --> 00:03:58.000]  這麼簡單的一句話
[00:03:58.000 --> 00:03:59.960]  前前後後死了幾百人
[00:03:59.960 --> 00:04:01.800]  這是一件不簡單的事
[00:04:01.800 --> 00:04:03.240]  同理界請你放心
[00:04:03.240 --> 00:04:05.240]  你說話真的要很小心
[00:04:05.240 --> 00:04:09.320]  一句挑釁的說話
[00:04:09.320 --> 00:04:13.440]  沒有人想像到後果會這麼嚴重
[00:04:13.440 --> 00:04:16.880]  當然約克那邊死了19個數字是很少的
[00:04:16.880 --> 00:04:18.720]  但是不要忘記
[00:04:18.720 --> 00:04:21.920]  這19人當中其中有一個人的死亡
[00:04:21.920 --> 00:04:25.080]  導致整件事件複雜化了
