
[00:00:00.000 --> 00:00:03.320]  所以很有趣的,當你從舊約到新約的時候
[00:00:03.320 --> 00:00:06.680]  你會發現新約裏面有個故事,很像約拿的故事
[00:00:06.680 --> 00:00:09.580]  是耶穌的故事
[00:00:09.580 --> 00:00:11.820]  海上有一個風暴
[00:00:11.820 --> 00:00:14.600]  有一羣驚恐的船員
[00:00:14.600 --> 00:00:16.720]  有一個沉睡的奇人
[00:00:16.720 --> 00:00:19.680]  在新約裏面,是耶穌平靜風浪的故事
[00:00:19.680 --> 00:00:22.700]  你記得耶穌當時是怎樣平靜風浪的?
[00:00:22.700 --> 00:00:27.880]  耶穌醒了
[00:00:27.880 --> 00:00:32.180]  祂斥責那個風,於是叫那個風停止了
[00:00:32.180 --> 00:00:33.740]  那個風就停止了
[00:00:33.740 --> 00:00:37.640]  如果耶穌說一句話就可以解決問題
[00:00:37.640 --> 00:00:39.980]  那爲什麼需要上十字架呢?
[00:00:39.980 --> 00:00:44.940]  有沒有想過這個平靜風浪其實是一個影子
[00:00:44.940 --> 00:00:48.840]  其實是一個預言預表將來耶穌要做的事情
[00:00:48.840 --> 00:00:50.960]  如果你熟悉四福音的時候
[00:00:50.960 --> 00:00:53.680]  你會發現耶穌很喜歡斥責東西
[00:00:53.680 --> 00:00:57.600]  我們當時知道耶穌斥責暴風
[00:00:57.600 --> 00:00:59.480]  但是耶穌除了斥責暴風之外
[00:00:59.480 --> 00:01:01.340]  祂還斥責污鬼
[00:01:01.340 --> 00:01:03.340]  祂也斥責業病
[00:01:03.340 --> 00:01:05.600]  你記得彼得的岳母
[00:01:05.600 --> 00:01:06.720]  生業病
[00:01:06.720 --> 00:01:07.780]  醫人啊醫人啊
[00:01:07.780 --> 00:01:09.780]  祂斥責那個病
[00:01:09.780 --> 00:01:11.300]  做什麼鬼呢?
[00:01:11.300 --> 00:01:15.200]  這些所有都是耶穌作爲一個先知
[00:01:15.200 --> 00:01:17.200]  在做一個預言的行動
[00:01:17.200 --> 00:01:19.760]  風暴
