
[00:00:00.000 --> 00:00:02.540]  代代相傳的門徒生命
[00:00:02.540 --> 00:00:06.560]  你看到圖片上是哪個運動呢?
[00:00:06.560 --> 00:00:09.440]  對了 是接力賽
[00:00:09.440 --> 00:00:14.300]  我想說今年四成一百的男子接力賽
[00:00:14.300 --> 00:00:15.740]  爆出個冷門
[00:00:15.740 --> 00:00:16.840]  大家知道嗎?
[00:00:16.840 --> 00:00:18.500]  誰贏了?
[00:00:18.500 --> 00:00:19.840]  意大利贏了
[00:00:19.840 --> 00:00:24.240]  我從來沒想過意大利賽跑這麼強盛
[00:00:24.240 --> 00:00:25.740]  因為一般來說
[00:00:25.740 --> 00:00:29.200]  我們都有些國家差不多必入
[00:00:29.200 --> 00:00:30.760]  譬如好像美國
[00:00:30.760 --> 00:00:33.760]  但這次決賽竟然沒有他參與
[00:00:33.760 --> 00:00:36.760]  原來他在初賽的時候
[00:00:36.760 --> 00:00:39.060]  已經是最慢的那個
[00:00:39.060 --> 00:00:40.360]  為什麼他這麼慢呢?
[00:00:40.360 --> 00:00:43.300]  就因為他交棒接棒出了問題
[00:00:43.300 --> 00:00:45.600]  所以他整個的時間
[00:00:45.600 --> 00:00:49.300]  縱然他們每一個運動員都跑得很快
[00:00:49.300 --> 00:00:51.160]  但因為交棒接棒的問題
[00:00:51.160 --> 00:00:54.460]  就令到他們不可以在很快的時間裏面
[00:00:54.460 --> 00:00:56.060]  完成這個比賽
[00:00:56.060 --> 00:00:59.600]  所以結果他們就不能入圍了
[00:00:59.600 --> 00:01:05.200]  這個運動也讓我想起
[00:01:05.200 --> 00:01:09.100]  其實那個交棒接棒是非常的重要
[00:01:09.100 --> 00:01:10.960]  等於我們的信仰生命
[00:01:10.960 --> 00:01:13.200]  都需要有交棒接棒
[00:01:13.200 --> 00:01:15.760]  我們看到今天要說的經文
[00:01:15.760 --> 00:01:20.760]  其實就是在提摩太后書二章一到三節
[00:01:20.760 --> 00:01:22.000]  短短的經文
[00:01:22.000 --> 00:01:26.400]  所以我就會用三個版本跟大家去思想
[00:01:26.400 --> 00:01:29.600]  第一個版本就是《環球聖經》的本
[00:01:29.600 --> 00:01:30.700]  第二個呢
[00:01:30.700 --> 00:01:31.700]  不如先讀了
[00:01:31.700 --> 00:01:32.300]  一起讀
[00:01:32.300 --> 00:01:33.500]  剛才讀過的再來
[00:01:33.500 --> 00:01:35.200]  所以我兒啊
[00:01:35.200 --> 00:01:39.700]  你要靠著在基督耶穌裡的恩典剛強起來
[00:01:39.700 --> 00:01:43.500]  而且你要把你在許多見證人面前
[00:01:43.500 --> 00:01:47.800]  從我這類聽見的都教托給那些忠心
[00:01:47.800 --> 00:01:50.500]  以後又能夠教導別人的人
[00:01:50.500 --> 00:01:53.200]  你作為基督耶穌的精兵
[00:01:53.200 --> 00:01:55.500]  要和我一同受苦
[00:01:55.500 --> 00:01:58.500]  第二個就是《聖經》當代譯本修訂版
[00:01:58.500 --> 00:02:01.200]  五行一起讀
[00:02:01.200 --> 00:02:02.100]  我兒啊
[00:02:02.100 --> 00:02:05.900]  你要靠著基督耶穌的恩典剛強起來
[00:02:05.900 --> 00:02:08.800]  以前你在許多見證人面前
[00:02:08.800 --> 00:02:10.500]  聽過我的教導
[00:02:10.500 --> 00:02:14.300]  你要把這些教導傳給忠信可靠
[00:02:14.300 --> 00:02:16.500]  能夠教導他人的人
[00:02:16.500 --> 00:02:19.000]  你要作基督耶穌的精兵
[00:02:19.000 --> 00:02:21.700]  與我同受苦難
[00:02:21.700 --> 00:02:24.500]  第三個版本我們都試試讀
[00:02:24.500 --> 00:02:26.200]  不要緊的
[00:02:26.200 --> 00:02:29.200]  我們讀英文一定像中國人
[00:02:29.200 --> 00:02:30.900]  其實不要緊的
[00:02:30.900 --> 00:02:33.200]  我們讀到多少就多少
[00:02:33.200 --> 00:02:34.000]  沒有人聽到
[00:02:34.000 --> 00:02:35.600]  自己讀吧
[00:02:35.600 --> 00:02:37.500]  Timothy, my dear son,
[00:02:37.500 --> 00:02:39.300]  be strong through the grace
[00:02:39.300 --> 00:02:42.600]  that God give us you in Christ Jesus.
[00:02:42.600 --> 00:02:44.500]  You have heard me teach things
[00:02:44.500 --> 00:02:48.800]  that have been confirmed by many reliable witnesses.
[00:02:48.800 --> 00:02:50.500]  Now teach this truth
[00:02:50.500 --> 00:02:52.500]  to other trustworthy people
[00:02:52.500 --> 00:02:55.800]  who will be able to pass them on to others
