
[00:00:00.000 --> 00:00:03.080]  真係有一個好嘅消息同大家分享
[00:00:03.080 --> 00:00:06.080]  昨日我哋就去咗Woodbury嘅教會度
[00:00:06.080 --> 00:00:09.240]  有幾位大兄姐妹都係同我哋參與
[00:00:09.240 --> 00:00:11.000]  佢哋去有個獻堂禮
[00:00:11.000 --> 00:00:13.280]  佢哋過咗幾多年呀
[00:00:13.280 --> 00:00:15.240]  2004年嗰陣時開始
[00:00:15.240 --> 00:00:16.400]  我聽返佢哋嘅故事
[00:00:16.400 --> 00:00:19.200]  已經係有咁嘅現象啦
[00:00:19.200 --> 00:00:22.640]  見到我哋就一班嘅家庭就去咗Woodbury嗰度
[00:00:22.640 --> 00:00:24.960]  開始又藉著禱告
[00:00:24.960 --> 00:00:29.400]  跟住又喺借用小學嘅地方
[00:00:29.400 --> 00:00:31.120]  去咗借用另一間教會
[00:00:31.120 --> 00:00:34.760]  跟住又建堂搬咗有個新嘅會址
[00:00:34.760 --> 00:00:36.400]  我哋昨日有個獻堂禮
[00:00:36.400 --> 00:00:40.160]  咁當我見到佢哋神一路嘅祝福之後
[00:00:40.160 --> 00:00:41.680]  見到教會嘅時候
[00:00:41.680 --> 00:00:44.120]  咁我哋點樣喺一個教會嘅
[00:00:44.120 --> 00:00:46.840]  每一個嘅一份子嘅時候
[00:00:46.840 --> 00:00:49.400]  我哋點樣建立呢個教會呢
[00:00:49.400 --> 00:00:51.120]  咁我昨晚就返屋企就
[00:00:51.120 --> 00:00:53.920]  不如我抄下啲 我以前好鍾意玩LEGO
[00:00:53.920 --> 00:00:57.800]  我以前六歲嗰陣時玩左LEGO四十年啦
[00:00:57.800 --> 00:01:01.160]  嗰啲LEGO嗰陣時就比較
[00:01:01.160 --> 00:01:03.040]  一舊舊即係比較平淡啲
[00:01:03.040 --> 00:01:05.840]  但係而家我睇返啲小朋友嘅LEGO
[00:01:05.840 --> 00:01:07.880]  有樹喎 有樹有成嘅喎
[00:01:07.880 --> 00:01:11.160]  又有咩呀 又有花呀
[00:01:11.160 --> 00:01:14.320]  又有一個呢啲Drywall
[00:01:14.320 --> 00:01:18.120]  啲白板 又有啲屋簷呀
[00:01:18.120 --> 00:01:20.800]  又有啲透明嘅磚呀
[00:01:20.800 --> 00:01:23.040]  其實即係好似起到可以
[00:01:23.040 --> 00:01:25.960]  起到教會有個各樣嘅形式
[00:01:25.960 --> 00:01:27.560]  好靚嘅教會
[00:01:27.560 --> 00:01:29.080]  咁呢個咁靚嘅教會
[00:01:29.080 --> 00:01:31.240]  原來我哋每一份子
[00:01:31.240 --> 00:01:32.480]  我哋每一個人
[00:01:32.480 --> 00:01:35.200]  其實就好似一個的Building block
[00:01:35.200 --> 00:01:37.320]  一個一粒嘅積木
[00:01:37.320 --> 00:01:38.800]  咁我哋睇呢舊積木嘅時候
[00:01:38.800 --> 00:01:40.760]  哇 呢舊似乜嘢呀究竟
[00:01:40.760 --> 00:01:42.360]  我真係細個玩LEGO多
[00:01:42.360 --> 00:01:43.800]  就開始多想像喇
[00:01:43.800 --> 00:01:45.880]  我好 我成日都喺度發夢
[00:01:45.880 --> 00:01:47.960]  咁呀諗下呢舊嘅嘢可以砌成啲乜嘢呢
[00:01:47.960 --> 00:01:50.000]  原來我哋每個人
[00:01:50.000 --> 00:01:53.680]  都係建立呢個教會嘅一舊頭 一舊磚頭
[00:01:53.680 --> 00:01:56.200]  無論一個Drywall 天花板又好
[00:01:56.200 --> 00:01:58.680]  一棵樹又好 一棵花又好
[00:01:58.680 --> 00:02:01.600]  都係可以建立到呢個嘅咁美好
[00:02:01.600 --> 00:02:03.120]  喺神 一同去
[00:02:03.120 --> 00:02:05.600]  榮耀神 一同去敬拜神嘅地方
[00:02:05.600 --> 00:02:07.480]  所以見到我期望大家都係
[00:02:07.480 --> 00:02:10.200]  有呢個嘅和睦共處嘅心智啦
[00:02:10.200 --> 00:02:13.320]  因為建立教會唔係一件簡單嘅事
[00:02:13.320 --> 00:02:16.600]  因為建立教會當中有好多嘅爭拗
[00:02:16.600 --> 00:02:18.720]  都會我哋喺教會裏面
[00:02:18.720 --> 00:02:21.200]  都開會 嘩 開會好多會開
[00:02:21.200 --> 00:02:23.920]  因為做傳導人嘅關係
[00:02:23.920 --> 00:02:25.920]  見到好多嘅大兄姐妹
[00:02:25.920 --> 00:02:28.240]  裏面有咩苦楚呢 我又聽
[00:02:28.240 --> 00:02:29.480]  開心又聽
[00:02:29.480 --> 00:02:31.960]  跟住教會開會我又要去喎
[00:02:31.960 --> 00:02:33.720]  討論就算係簡單嘅嘢
[00:02:33.720 --> 00:02:34.560]  唔係簡單嘅
[00:02:34.560 --> 00:02:35.920]  就算買個琴呀 係咪呀
[00:02:35.920 --> 00:02:36.880]  嘩 幾多會呀
[00:02:36.880 --> 00:02:39.760]  講咗成年呀
[00:02:39.760 --> 00:02:41.360]  去年十月
[00:02:41.360 --> 00:02:43.120]  係咪 十月十一月講到而家
[00:02:43.120 --> 00:02:44.600]  而家佢有機會投票
