
[00:00:00.000 --> 00:00:02.000]  地中梓梅早
[00:00:02.000 --> 00:00:07.000]  今天是宣教主日
[00:00:07.000 --> 00:00:15.000]  首先要和大家分辨一下這兩個字詞
[00:00:15.000 --> 00:00:17.000]  一個叫宣教
[00:00:17.000 --> 00:00:19.000]  一個叫猜拳
[00:00:19.000 --> 00:00:21.000]  第二個是猜船
[00:00:21.000 --> 00:00:26.000]  其實這兩個字都是源自英文mission的字來的
[00:00:26.000 --> 00:00:30.000]  這兩個字都是源自英文mission的字來的
[00:00:30.000 --> 00:00:33.000]  可以說是不同的翻譯
[00:00:33.000 --> 00:00:36.000]  這個可以說成是兩個不同的翻譯
[00:00:36.000 --> 00:00:39.000]  宣教可能就是較早期的翻譯
[00:00:39.000 --> 00:00:41.000]  宣教可能是比較早期的翻譯
[00:00:41.000 --> 00:00:49.000]  因為很多時候我們都會聽到那些在外地傳福音的人叫宣教士
[00:00:49.000 --> 00:00:54.000]  可能我們會聽到一些早期的一些在外地傳福音的人士稱為宣教士
[00:00:54.000 --> 00:00:57.000]  他們的英文就叫missionary
[00:00:57.000 --> 00:01:00.000]  他們的英文名字叫missionary
[00:01:00.000 --> 00:01:06.000]  但針信會就採取了宣教這個字詞
[00:01:06.000 --> 00:01:10.000]  針信會是採用了宣教這個字詞
[00:01:10.000 --> 00:01:13.000]  是比較著重傳教的意思
[00:01:13.000 --> 00:01:16.000]  這個比較著重一些傳教的意思
[00:01:16.000 --> 00:01:19.000]  而另外一個猜拳
[00:01:19.000 --> 00:01:22.000]  我相信是比較近期的翻譯
[00:01:22.000 --> 00:01:24.000]  另外一個說法是猜拳
[00:01:24.000 --> 00:01:26.000]  這是比較近期的翻譯
[00:01:26.000 --> 00:01:30.000]  相信除了傳教之外
[00:01:30.000 --> 00:01:35.000]  也著重被主猜遣出去的意思
[00:01:35.000 --> 00:01:38.000]  除了傳福音以外
[00:01:38.000 --> 00:01:42.000]  還有著重被主猜遣出去的意思
[00:01:42.000 --> 00:01:44.000]  一般來說
[00:01:44.000 --> 00:01:53.000]  所謂宣教是指有些人會被猜派到外地去從事傳福音的工作
