
[00:00:00.000 --> 00:00:05.000]  有一位神學生的姐妹,她有這樣的表述
[00:00:05.000 --> 00:00:09.000]  她說離開讀書的生活已經有一段日子
[00:00:09.000 --> 00:00:14.000]  再重返校園是百感交集
[00:00:14.000 --> 00:00:18.000]  很久以前已經想讀神學
[00:00:18.000 --> 00:00:22.000]  希望透過神學的課程
[00:00:22.000 --> 00:00:25.000]  對信仰有更深的認識
[00:00:25.000 --> 00:00:31.000]  感謝神為我安排了這個機會
[00:00:31.000 --> 00:00:36.000]  神學給人難以明白的艱深感覺
[00:00:36.000 --> 00:00:41.000]  但我相信只要懷著謙卑的心去尋求
[00:00:41.000 --> 00:00:45.000]  上帝必會賜予智慧
[00:00:45.000 --> 00:00:50.000]  最後希望和一班一起學習的同學
[00:00:50.000 --> 00:00:54.000]  去探究神學這個廣大的世界
[00:00:54.000 --> 00:00:58.000]  去見證神的奇妙
[00:00:58.000 --> 00:01:01.000]  《新命記》提醒百姓
[00:01:01.000 --> 00:01:03.000]  神做過的大事
[00:01:03.000 --> 00:01:10.000]  藉此去鼓勵他們將自己再次獻情給神
[00:01:10.000 --> 00:01:15.000]  《新命記》也收集了摩西晚期的講章
[00:01:15.000 --> 00:01:20.000]  總結以色列人在曠野流浪四十年
[00:01:20.000 --> 00:01:26.000]  背叛神受磨練的經歷
[00:01:26.000 --> 00:01:32.000]  聆聽摩西講道的聽眾
[00:01:32.000 --> 00:01:34.000]  是以色列的新一代
[00:01:34.000 --> 00:01:37.000]  是充滿希望的一代
[00:01:37.000 --> 00:01:40.000]  《新命記》的核心訊息
[00:01:40.000 --> 00:01:43.000]  就是承受應許之地
[00:01:43.000 --> 00:01:48.000]  從神立約去遵行神的律法
[00:01:48.000 --> 00:01:51.000]  而且引用了出埃及記
[00:01:51.000 --> 00:01:55.000]  利美記、文素記去演繹
[00:01:55.000 --> 00:02:00.000]  神自己是一位賞善罰惡的神
[00:02:00.000 --> 00:02:03.000]  從《新命記》的記載當中
[00:02:03.000 --> 00:02:08.000]  我們發現神的拯救是無條件
[00:02:08.000 --> 00:02:11.000]  祂是一位信實的主
[00:02:11.000 --> 00:02:19.000]  神對我們的要求就是要謹守、遵行祂的話語
[00:02:19.000 --> 00:02:23.000]  我們與神去納約這個生活
[00:02:23.000 --> 00:02:26.000]  就是遵行神的道
[00:02:26.000 --> 00:02:31.000]  以色列人將要在應許之地過平安的日子
[00:02:31.000 --> 00:02:35.000]  不會受著異族來影響
[00:02:35.000 --> 00:02:39.000]  也不會受敵人的干擾
[00:02:39.000 --> 00:02:44.000]  他們的工作穩定、生活安寧
[00:02:44.000 --> 00:02:51.000]  神的拯救帶來安然、一個得勝的生命
[00:02:51.000 --> 00:02:55.000]  在三章的二耶一耶二節裡
[00:02:55.000 --> 00:03:01.000]  摩西祝福約書亞納祂作以色列人的領袖
[00:03:01.000 --> 00:03:08.000]  摩西提醒約書亞要注意上帝的作為
[00:03:08.000 --> 00:03:16.000]  摩西藉著教導、差遣約書亞去完成神自己的旨意
[00:03:16.000 --> 00:03:24.000]  約書亞將繼續摩西成為以色列民的領袖的位分
[00:03:24.000 --> 00:03:32.000]  代替摩西帶領以色列人進入迦南美地
[00:03:32.000 --> 00:03:36.000]  約書亞經歷了上帝在曠野的帶領
[00:03:36.000 --> 00:03:43.000]  也打敗過阿摩利王、西雲和巴山王岳
[00:03:43.000 --> 00:03:48.000]  在三章一至十一節都有提及
[00:03:48.000 --> 00:03:54.000]  在二耶二節,這句說話不單止對約書亞來說
[00:03:54.000 --> 00:03:59.000]  同樣對整個以色列民族來表達
[00:03:59.000 --> 00:04:13.000]  「你不要怕他們(外敵)暗示上帝自己的同在,上帝的保守」
[00:04:13.000 --> 00:04:20.000]  以色列人應當毫無恐懼去佔領這個應許地
[00:04:20.000 --> 00:04:26.000]  因為上帝已經將所有迦南人交在他們的手中
[00:04:26.000 --> 00:04:31.000]  上帝為著以色列民去征戰
[00:04:31.000 --> 00:04:35.000]  必然勝過這些迦南人
[00:04:35.000 --> 00:04:39.000]  因此摩西鼓勵約書亞
[00:04:39.000 --> 00:04:45.000]  和以色列人不需要怕這些外敵
[00:04:45.000 --> 00:04:51.000]  我們看看摩西自己在屬靈生命裡怎樣成長
[00:04:51.000 --> 00:04:56.000]  首先摩西願意為神去征戰
[00:04:56.000 --> 00:05:01.000]  願求神容許他過約旦河
[00:05:01.000 --> 00:05:07.000]  約旦河的西邊就是迦南地
[00:05:07.000 --> 00:05:12.000]  摩西求神准許他去過約旦河
[00:05:12.000 --> 00:05:23.000]  表明他願意帶著以色列人去迦南地為神去征戰
[00:05:23.000 --> 00:05:28.000]  但神沒有應允他的請求
[00:05:28.000 --> 00:05:31.000]  我們看看摩西他的一生
[00:05:31.000 --> 00:05:37.000]  他壯年的時候知道自己是一位以色列人的身份
[00:05:37.000 --> 00:05:44.000]  他充滿熱情很希望自己能夠為神去征戰
[00:05:44.000 --> 00:05:46.000]  拯救同胞
[00:05:46.000 --> 00:05:51.000]  可惜他的經驗都是亂
[00:05:51.000 --> 00:05:55.000]  很快他就失去了鬥志
[00:05:55.000 --> 00:06:00.000]  他在米顛遇到一位祭師
[00:06:00.000 --> 00:06:09.000]  祭師有七個女兒打水給羊群飲用
[00:06:09.000 --> 00:06:13.000]  但有另外的牧羊人驅趕他們
[00:06:13.000 --> 00:06:17.000]  摩西請神而出幫助他們
[00:06:17.000 --> 00:06:23.000]  就此摩西和祭師的家庭結了緣
[00:06:23.000 --> 00:06:27.000]  很甘心留在米顛居住
[00:06:27.000 --> 00:06:31.000]  他最後和祭師一個女兒結婚
[00:06:31.000 --> 00:06:34.000]  在那裏落地生根
[00:06:34.000 --> 00:06:38.000]  成家生兒育女
[00:06:38.000 --> 00:06:43.000]  一個原本準備為神征戰的摩西
[00:06:43.000 --> 00:06:48.000]  現在他將他的心放在他的家庭上
[00:06:48.000 --> 00:06:53.000]  在《使徒人傳》的七章三十節裏提到
[00:06:53.000 --> 00:06:57.000]  記載摩西在曠野過了四十年
[00:06:57.000 --> 00:07:02.000]  這四十年正是他壯年的時間
[00:07:02.000 --> 00:07:09.000]  為何神不趁著摩西壯年來使用呼召他呢?
