
[00:00:00.000 --> 00:00:02.940]  每一個基督徒就是跟隨耶穌基督的人
[00:00:02.940 --> 00:00:06.080]  都願意學習耶穌基督的樣式
[00:00:06.080 --> 00:00:09.960]  效法耶穌基督的版樣,跟隨祂的角中形
[00:00:09.960 --> 00:00:13.900]  耶穌基督其實也願意我們學習祂的樣式
[00:00:13.900 --> 00:00:15.400]  學習祂的版樣
[00:00:15.400 --> 00:00:18.280]  所以在馬太福音第十一章二十九節,耶穌說
[00:00:18.280 --> 00:00:24.200]  我心裏柔和謙卑,你們當父我的惡,學我的樣式
[00:00:24.200 --> 00:00:29.040]  我心裏柔和謙卑,你們當父我的惡,學我的樣式
[00:00:29.040 --> 00:00:31.800]  不但我們大人要學習耶穌的樣式
[00:00:31.800 --> 00:00:35.460]  效法祂的版樣,連小孩子也不例外
[00:00:35.460 --> 00:00:39.700]  有一天早上,張媽媽爲她兩個孩子預備早餐
[00:00:39.700 --> 00:00:42.600]  要做蛋餅給他們喫
[00:00:42.600 --> 00:00:45.800]  七歲的小明和五歲的小關
[00:00:45.800 --> 00:00:50.120]  就爭吵在說誰要拿第一塊蛋餅
[00:00:50.120 --> 00:00:52.620]  媽媽看了以後,就對他們說
[00:00:52.620 --> 00:00:54.680]  如果耶穌在的話
[00:00:55.020 --> 00:00:59.160]  他一定會說,讓你弟弟先拿第一塊蛋餅
[00:00:59.160 --> 00:01:02.720]  七歲的小明聽了以後
[00:01:02.720 --> 00:01:04.440]  就對着他弟弟說
[00:01:04.440 --> 00:01:07.260]  那我讓你做耶穌好了
[00:01:07.260 --> 00:01:12.900]  告訴旁邊的人說,要學習耶穌,心裏柔和謙卑
[00:01:12.900 --> 00:01:18.760]  今天我們要來思想耶穌基督
[00:01:18.760 --> 00:01:22.360]  效法祂的版樣,跟隨祂的腳蹤
[00:01:22.840 --> 00:01:26.300]  特別是我們知道說,在這個月底就是送難節
[00:01:26.300 --> 00:01:28.240]  那我們的心思,我們的意念
[00:01:28.240 --> 00:01:30.840]  都能夠集中在耶穌基督的身上
[00:01:30.840 --> 00:01:34.300]  特別是耶穌在世上最後24小時的時間
[00:01:34.300 --> 00:01:36.940]  到底祂做了些什麼事情
[00:01:36.940 --> 00:01:39.500]  我想如果問你這個問題
[00:01:39.500 --> 00:01:42.960]  如果你知道你的生命只剩下24小時
[00:01:42.960 --> 00:01:44.380]  你會做什麼?
[00:01:44.380 --> 00:01:49.380]  當時可能說,去我最想去的地方好好度假一下
[00:01:49.380 --> 00:01:52.160]  或者是我最愛喫的餐館,去喫一頓
[00:01:52.220 --> 00:01:55.460]  有家庭的可能說,我要和我的家人
[00:01:55.460 --> 00:01:58.260]  共度我最後最美好的一天
[00:01:58.260 --> 00:02:02.940]  當時耶穌基督在祂最後一天在地上的時候
[00:02:02.940 --> 00:02:06.220]  是祂告訴我們說,祂與祂的門徒一起享用了
[00:02:06.220 --> 00:02:08.740]  最後的晚餐,就是育月節的晚餐
