
[00:00:00.000 --> 00:00:02.660]  各位爹兄姊妹 早晨
[00:00:02.660 --> 00:00:06.580]  好多謝全日堂今天邀請我來分享
[00:00:06.580 --> 00:00:09.020]  我英文名叫Sanobia
[00:00:09.020 --> 00:00:11.640]  中文名是劉文慧
[00:00:11.640 --> 00:00:15.180]  大家可以叫我阿Bee 比較容易記
[00:00:15.180 --> 00:00:19.480]  其實我是去年才加入報道環球差會
[00:00:19.480 --> 00:00:25.800]  我是神學畢業後在香港做居港日本人事工
[00:00:25.800 --> 00:00:28.080]  是服侍住在香港的日本人
[00:00:28.080 --> 00:00:32.140]  今年開始其實已經踏入第九年的服務
[00:00:32.140 --> 00:00:38.440]  我的事工包括在日本人的幼稚園教小朋友英文
[00:00:38.440 --> 00:00:42.540]  和那幾位日本人幼稚園老師做朋友
[00:00:42.540 --> 00:00:45.940]  讓他們離鄉別井不會覺得太孤單
[00:00:45.940 --> 00:00:53.380]  我也有在香港的日本教會服務中學生
[00:00:53.380 --> 00:00:57.520]  也有教幾班日本婦女廣東話班
[00:00:57.520 --> 00:01:00.460]  有時也會和她們分享聖經
[00:01:00.460 --> 00:01:04.800]  希望透過我的服務可以播放福音的種子
[00:01:04.800 --> 00:01:07.640]  讓她們認識耶穌基督
[00:01:07.640 --> 00:01:11.320]  我給大家看看我服務的照片
[00:01:11.320 --> 00:01:14.880]  這是一個實體的廣東話班
[00:01:14.880 --> 00:01:18.140]  日本人很喜歡做手作
[00:01:18.140 --> 00:01:22.220]  過時過節會找人教她們做傳統食物
[00:01:22.220 --> 00:01:26.440]  新年會做黃金糕 馬蹄糕 年糕
[00:01:26.440 --> 00:01:29.860]  這是中秋節做月餅
[00:01:29.860 --> 00:01:33.080]  當中我會說一些短的訊息
[00:01:33.080 --> 00:01:35.720]  或安排一些見證分享給她們
[00:01:35.720 --> 00:01:38.040]  快到農曆新年
[00:01:38.040 --> 00:01:42.360]  月尾28日我找了姐妹教做蘿蔔糕
[00:01:42.360 --> 00:01:46.740]  她也安排了另一位姐妹來分享見證
[00:01:46.740 --> 00:01:51.160]  和教跳讚美操
[00:01:51.160 --> 00:01:54.360]  有些姐妹很擅長焗食物
[00:01:54.360 --> 00:01:58.720]  邀請她們來教做一口腰果酥
[00:01:58.720 --> 00:02:02.320]  有些姐妹也想參與當中的侍奉
[00:02:02.320 --> 00:02:04.720]  她們教做手工簡
[00:02:04.720 --> 00:02:06.520]  而且還說了見證
[00:02:06.520 --> 00:02:08.520]  如果你們有什麼技能
[00:02:08.520 --> 00:02:10.660]  想服侍這些日本太太
[00:02:10.660 --> 00:02:15.300]  也可以來參與我的日本人廣東話班
[00:02:15.300 --> 00:02:18.860]  這是我寫的福音單章
[00:02:18.860 --> 00:02:21.000]  不要以為我的日文很厲害
[00:02:21.000 --> 00:02:25.520]  其實我有時也要用Google 現在還用AI
[00:02:25.520 --> 00:02:27.920]  寫完後我都要再檢查一下
[00:02:27.920 --> 00:02:31.000]  是不是這樣寫會比較順暢
[00:02:31.000 --> 00:02:33.000]  為什麼要自己寫呢
[00:02:33.000 --> 00:02:34.680]  因為不知道在哪裡買
[00:02:34.680 --> 00:02:36.560]  以前有個書局有
[00:02:36.560 --> 00:02:39.040]  但那間書局也結業了
[00:02:39.040 --> 00:02:43.240]  所以如果在香港日本教會那裡拿
[00:02:43.240 --> 00:02:46.600]  它通常是節期的單章
[00:02:46.600 --> 00:02:49.360]  平時我未必用得著
[00:02:49.360 --> 00:02:51.920]  所以她說如果在日本訂過來
[00:02:51.920 --> 00:02:54.320]  可能一包要一千張
[00:02:54.320 --> 00:02:55.840]  我又不需要那麼多
[00:02:55.840 --> 00:02:58.080]  可能要派十年才派完
[00:02:58.080 --> 00:03:01.120]  所以我決定自己寫
[00:03:01.120 --> 00:03:04.880]  跟她們分享一下在書局裡的體見
[00:03:04.880 --> 00:03:07.440]  為什麼我會服侍日本人呢
[00:03:07.440 --> 00:03:11.200]  其實我一直都有一個宣教的心智
[00:03:11.200 --> 00:03:16.200]  記得我在加拿大回香港做了一年多工的時候
[00:03:16.200 --> 00:03:19.640]  神提醒我的宣教心智
[00:03:19.640 --> 00:03:22.400]  於是我就放下我正在做的那份工作
[00:03:22.400 --> 00:03:23.800]  踏上宣教路
[00:03:23.800 --> 00:03:27.560]  不過我不知道神帶我去哪裡
[00:03:27.560 --> 00:03:32.400]  我去了好幾個地方尋求神的帶領
[00:03:32.400 --> 00:03:38.600]  去了短孫、仿孫、非洲、湖北
[00:03:38.600 --> 00:03:43.480]  甚至大家可能沒聽過的吉爾吉斯都去了
[00:03:43.480 --> 00:03:46.400]  似乎都不是神的心意
[00:03:46.400 --> 00:03:48.880]  找不到可以落腳的地方
[00:03:48.880 --> 00:03:50.720]  不可以不做事
[00:03:50.720 --> 00:03:53.800]  我的母會望福堂的牧師很好
[00:03:53.800 --> 00:03:56.560]  他就邀請我回去做士工幹事
[00:03:56.560 --> 00:03:58.800]  結果我做幹事的時候
[00:03:58.800 --> 00:04:01.440]  就看到日本宣教士的家書
[00:04:01.440 --> 00:04:04.720]  說到日本人竟然以為聖誕節
[00:04:04.720 --> 00:04:08.720]  是為聖誕老人來慶祝
[00:04:08.720 --> 00:04:10.560]  當時就很奇怪
[00:04:10.560 --> 00:04:13.640]  為什麼日本這個先進發達的國家
[00:04:13.640 --> 00:04:16.240]  竟然不認識耶穌基督呢?
[00:04:16.240 --> 00:04:20.920]  就是這封家書讓我對日本這個地方特別上心
[00:04:20.920 --> 00:04:23.800]  看完之後就為他們祈禱
[00:04:23.800 --> 00:04:29.200]  知不知道日本人口有多少?
[00:04:29.200 --> 00:04:32.720]  有一億二千四百萬左右
[00:04:32.720 --> 00:04:36.680]  說自己是基督徒的少於1%
[00:04:36.680 --> 00:04:38.480]  這裡所說的基督教
[00:04:38.480 --> 00:04:41.160]  其實包括我們這樣的福音派
[00:04:41.160 --> 00:04:42.960]  或者是其他天主教
[00:04:42.960 --> 00:04:44.480]  耶和華的見證人
[00:04:44.480 --> 00:04:46.520]  摩門等等其他那些東西
[00:04:46.520 --> 00:04:48.240]  他說自己是福音派
[00:04:48.240 --> 00:04:51.040]  其實是少於0.5%
[00:04:51.040 --> 00:04:54.560]  日本其實就是一個未得之民的國家
[00:04:54.560 --> 00:04:56.480]  未得之民的定義是什麼呢?
[00:04:56.480 --> 00:04:57.640]  是一個國家
[00:04:57.640 --> 00:05:00.200]  如果少於2%的福音派基督徒
[00:05:00.200 --> 00:05:01.880]  就叫做未得之民
[00:05:01.880 --> 00:05:04.760]  日本就是一個未得之民的國家
[00:05:04.760 --> 00:05:06.920]  因為他們的信徒太少
[00:05:06.920 --> 00:05:09.600]  自己很難去做福音的工作
[00:05:09.600 --> 00:05:11.840]  當我們一說到去日本
[00:05:11.840 --> 00:05:17.000]  第一樣在腦袋裡彈出來的是什麼呢?
[00:05:17.000 --> 00:05:17.760]  去旅行
[00:05:17.760 --> 00:05:18.720]  沒錯
[00:05:18.720 --> 00:05:21.640]  現在成為了很多人的
[00:05:21.640 --> 00:05:22.400]  叫什麼?
[00:05:22.400 --> 00:05:23.240]  回鄉下
