
[00:00:00.000 --> 00:00:02.000]  歸步起初的愛心
[00:00:02.000 --> 00:00:04.480]  二
[00:00:04.480 --> 00:00:05.880]  您知道嗎?
[00:00:05.880 --> 00:00:12.420]  在大概二十多年前
[00:00:12.420 --> 00:00:17.660]  那個時候我還是神學生
[00:00:17.660 --> 00:00:22.520]  在真光教會分享一間道
[00:00:22.520 --> 00:00:28.160]  那道就叫做歸步起初的愛心
[00:00:28.480 --> 00:00:31.000]  那是一 這是二
[00:00:31.000 --> 00:00:35.360]  如果有機會再分享三四年
[00:00:35.360 --> 00:00:39.540]  那麼我都忘記了
[00:00:39.540 --> 00:00:41.540]  我說了二十多年前
[00:00:41.540 --> 00:00:48.720]  結果前段時間吃飯的時候碰到神光的一個長老
[00:00:48.720 --> 00:00:50.720]  他說 如是
[00:00:50.720 --> 00:00:55.340]  我記得你當初分享的歸步起初的愛心
[00:00:55.340 --> 00:00:57.260]  你就知道了
[00:00:58.500 --> 00:01:01.380]  我們講出去的神的話
[00:01:01.380 --> 00:01:03.380]  真的會炸人的心
[00:01:03.380 --> 00:01:07.040]  真正是體會到
[00:01:07.040 --> 00:01:10.620]  神在我們生命中做了那些奇妙的事情
[00:01:10.620 --> 00:01:15.440]  所以我今天要跟各位來分享起初的愛心
[00:01:15.440 --> 00:01:21.420]  這是神對你無所教誨的訓令
[00:01:21.420 --> 00:01:23.060]  它是從
[00:01:23.060 --> 00:01:27.080]  這個啟示錄二章讀出來的
[00:01:27.740 --> 00:01:32.140]  我要跟各位分享是說起初的愛心是什麼
[00:01:32.140 --> 00:01:36.940]  我們如何恢復起初的愛心
[00:01:36.940 --> 00:01:39.700]  如果你不的話
[00:01:39.700 --> 00:01:41.700]  結局會怎麼樣
[00:01:41.700 --> 00:01:44.700]  但是 您知道嗎?
[00:01:44.700 --> 00:01:48.240]  我們之前講都是指的是愛心
[00:01:48.240 --> 00:01:53.240]  但是我們應該會要有愛的行動
[00:01:53.240 --> 00:01:54.780]  這個人
[00:01:56.260 --> 00:01:58.260]  我常常喜歡講說
[00:01:58.260 --> 00:02:03.620]  臺灣有一個愛之味的灌瓜瓜
[00:02:03.620 --> 00:02:07.020]  它的灌瓜就是
[00:02:07.020 --> 00:02:09.020]  我相信是基地主說的
[00:02:09.020 --> 00:02:11.020]  基地主的灌瓜
[00:02:11.020 --> 00:02:13.020]  他就講說是愛之味
[00:02:13.020 --> 00:02:17.020]  是不是?
[00:02:17.020 --> 00:02:19.020]  最後我有一個結論是說
[00:02:19.020 --> 00:02:21.020]  神要恢復我們起初被愛
[00:02:21.020 --> 00:02:24.020]  被造有愛的身心
[00:02:27.020 --> 00:02:30.020]  好了 神對你無所教誨
[00:02:30.020 --> 00:02:32.020]  它怎麼樣的訓練呢
[00:02:32.020 --> 00:02:34.020]  我們來看啟示錄第二章
[00:02:34.020 --> 00:02:36.020]  我們再來念一遍
[00:02:36.020 --> 00:02:41.020]  請你要寫信給你無所教誨的使者說
[00:02:41.020 --> 00:02:44.020]  那右手拿著七星
[00:02:44.020 --> 00:02:48.020]  在七個金燈臺中間行走的說
[00:02:48.020 --> 00:02:50.020]  我知道你的行為
[00:02:50.020 --> 00:02:52.020]  走路忍耐
[00:02:52.020 --> 00:02:55.020]  也知道你不能容忍惡忍
[00:02:55.020 --> 00:02:57.020]  你也曾使念
[00:02:57.020 --> 00:02:59.020]  它自稱為使徒
[00:02:59.020 --> 00:03:01.020]  卻不是使徒
[00:03:01.020 --> 00:03:03.020]  看出它們是假的來
[00:03:03.020 --> 00:03:05.020]  你也能忍耐
[00:03:05.020 --> 00:03:07.020]  成為我們的明老虎
[00:03:07.020 --> 00:03:09.020]  並無法眷
[00:03:09.020 --> 00:03:13.020]  我們先講一下再往下走
[00:03:13.020 --> 00:03:17.020]  這個是神在啟示錄
[00:03:17.020 --> 00:03:19.020]  第一章第二章
[00:03:19.020 --> 00:03:21.020]  尤其在第二章
[00:03:21.020 --> 00:03:26.020]  這個神對小亞細亞七間教會的評論
[00:03:26.020 --> 00:03:28.020]  對他們的訓練
[00:03:28.020 --> 00:03:31.020]  所以神說手拿著七星
[00:03:31.020 --> 00:03:33.020]  而且是右手
[00:03:33.020 --> 00:03:35.020]  我們傳統神是說
[00:03:35.020 --> 00:03:37.020]  右手是有權柄
[00:03:37.020 --> 00:03:39.020]  有能力
[00:03:39.020 --> 00:03:41.020]  它拿著七星就是
[00:03:41.020 --> 00:03:43.020]  它的審判的權柄
