
[00:00:00.000 --> 00:00:06.600]  今天教會安排的經文是出埃及記第六章
[00:00:06.600 --> 00:00:08.940]  由第九節到十三節
[00:00:08.940 --> 00:00:11.740]  然後一跳跳到二十八節
[00:00:11.740 --> 00:00:14.500]  一直到第七章第七節
[00:00:14.500 --> 00:00:15.700]  如果大家心水清
[00:00:15.700 --> 00:00:18.040]  為什麼中間會跳一跳
[00:00:18.040 --> 00:00:19.240]  沒有了中間
[00:00:19.240 --> 00:00:27.400]  因為那段經文是講述摩西和亞倫的家譜
[00:00:27.400 --> 00:00:29.400]  我相信大家都未必有興趣去看
[00:00:29.400 --> 00:00:30.560]  那些家譜
[00:00:30.560 --> 00:00:31.700]  所以教會都覺得
[00:00:31.700 --> 00:00:33.600]  不如那裡先不要講
[00:00:33.600 --> 00:00:34.640]  先不要講那些名字
[00:00:34.640 --> 00:00:35.760]  所以跳一跳
[00:00:35.760 --> 00:00:37.160]  當然出埃及記
[00:00:37.160 --> 00:00:39.800]  大家都可能都聽過很多次
[00:00:39.800 --> 00:00:41.700]  甚至我們經常都會覺得
[00:00:41.700 --> 00:00:43.900]  讀聖經去到出埃及記
[00:00:43.900 --> 00:00:46.160]  我們有一個笑話經常都講
[00:00:46.160 --> 00:00:47.600]  我們出不了埃及
[00:00:47.600 --> 00:00:50.000]  就是讀出埃及記反而出不了埃及
[00:00:50.000 --> 00:00:52.640]  就是因為去到第廿一章之後
[00:00:52.640 --> 00:00:55.940]  其實你會覺得有些地方真的不是很明白
[00:00:55.940 --> 00:00:58.340]  甚至究竟有什麼意思呢
[00:00:58.340 --> 00:01:01.500]  其實上帝叫摩西去建這個會幕
[00:01:01.500 --> 00:01:03.000]  不就建就建
[00:01:03.000 --> 00:01:04.500]  隨便吧
[00:01:04.500 --> 00:01:06.960]  但是它的尺寸
[00:01:06.960 --> 00:01:09.900]  標準用什麼顏色的東西
[00:01:09.900 --> 00:01:12.800]  全部都很細微去描述
[00:01:12.800 --> 00:01:13.760]  心裡怎麼會這樣
[00:01:13.760 --> 00:01:14.700]  關我什麼事呢
[00:01:14.700 --> 00:01:15.960]  建了就算了
[00:01:15.960 --> 00:01:17.560]  我最重要是進去致勝所
[00:01:17.560 --> 00:01:19.660]  但是他說怎麼知道致勝所就搞定了
[00:01:19.660 --> 00:01:23.040]  但是我們永遠出不了埃及
[00:01:23.040 --> 00:01:24.700]  但是教會真的很好
[00:01:24.700 --> 00:01:27.700]  它說我們希望用一年的時間
[00:01:27.700 --> 00:01:30.760]  去跟大家一起出埃及
[00:01:30.760 --> 00:01:32.860]  因為整年都是講出埃及記
[00:01:32.860 --> 00:01:35.460]  所以跟教友說一定出到埃及
[00:01:35.460 --> 00:01:39.300]  所以變成整年我們會看出埃及記
[00:01:39.300 --> 00:01:40.660]  所以求主就幫助我們
[00:01:40.660 --> 00:01:43.960]  不同的同工都會承擔不同的經文
[00:01:43.960 --> 00:01:47.240]  而今天我就是去講這一段的經文
[00:01:47.240 --> 00:01:50.200]  當然當我自己一看這段聖經的時候就會覺得
[00:01:50.200 --> 00:01:53.640]  咦 跟前面有些重複
[00:01:53.640 --> 00:01:56.700]  有些東西很相近
[00:01:56.700 --> 00:02:02.700]  也都是摩西一些的推堂神的藉口
[00:02:02.700 --> 00:02:05.100]  都有些地方很接近
[00:02:05.100 --> 00:02:07.340]  以致當我自己去預備這篇講章的時候
[00:02:07.340 --> 00:02:11.100]  我就開始想究竟怎麼去講這篇的信息
[00:02:11.100 --> 00:02:13.200]  於是我就開始去想摩西
[00:02:13.200 --> 00:02:17.600]  摩西大家都知道它活了多少歲
[00:02:17.600 --> 00:02:20.100]  一百二十歲
[00:02:20.100 --> 00:02:23.200]  那麼一百二十歲夠不夠長命
[00:02:23.200 --> 00:02:25.240]  你問教友 夠不夠長命
[00:02:25.240 --> 00:02:27.000]  你想不想活到一百二十歲
[00:02:27.000 --> 00:02:30.000]  我想不是很多人想活到一百二十歲
[00:02:30.000 --> 00:02:34.700]  因為我們經常都說現在喜歡Quality Life
[00:02:34.700 --> 00:02:37.040]  到一百歲不知道有沒有Quality Life
[00:02:37.040 --> 00:02:37.900]  什麼都沒得吃
[00:02:37.900 --> 00:02:40.200]  又怕血糖高 又怕蛋果醇高
[00:02:40.200 --> 00:02:41.400]  什麼都沒得吃
[00:02:41.400 --> 00:02:42.600]  所以現在很多醫生說
[00:02:42.600 --> 00:02:44.100]  當你活到七十幾歲的時候
[00:02:44.100 --> 00:02:45.900]  像我這個年紀的
[00:02:45.900 --> 00:02:47.300]  什麼都吃就算了
[00:02:47.300 --> 00:02:49.900]  做什麼都不吃就要弄很久
[00:02:49.900 --> 00:02:52.300]  當然Quality Of Life
[00:02:52.300 --> 00:02:54.500]  現在很多人到一百二十歲
[00:02:54.500 --> 00:02:56.000]  很多人未必喜歡
[00:02:56.000 --> 00:02:59.900]  都不知道到時候要推羊椅很多東西
[00:02:59.900 --> 00:03:01.200]  但是摩西不是
[00:03:01.200 --> 00:03:03.000]  摩西活到一百二十歲
[00:03:03.000 --> 00:03:04.400]  它還在做事
[00:03:04.400 --> 00:03:06.100]  它真的死在做事的時候
[00:03:06.100 --> 00:03:07.400]  大家明白我的意思嗎
[00:03:07.400 --> 00:03:09.900]  所以變成如果我能夠活到一百二十歲
[00:03:09.900 --> 00:03:10.900]  都在做事
[00:03:10.900 --> 00:03:11.900]  我就不怕活了
[00:03:11.900 --> 00:03:13.500]  大家明白我的意思嗎
[00:03:13.500 --> 00:03:16.000]  但是在現在來說
[00:03:16.000 --> 00:03:17.700]  一百二十歲很長命
[00:03:17.700 --> 00:03:18.700]  但是在創世紀
[00:03:18.700 --> 00:03:20.200]  如果大家看創世紀
[00:03:20.200 --> 00:03:22.200]  其實一百二十歲一點都不長命
[00:03:22.200 --> 00:03:24.100]  因為很多人九百多歲
[00:03:24.100 --> 00:03:25.200]  八百多歲
[00:03:25.200 --> 00:03:27.900]  以諾與神同行多少年
[00:03:27.900 --> 00:03:29.500]  三百年
[00:03:29.500 --> 00:03:30.600]  三百歲
[00:03:30.600 --> 00:03:33.600]  所以比起前面那群前輩
[00:03:33.600 --> 00:03:35.300]  他們的祖先
[00:03:35.300 --> 00:03:38.100]  其實一百二十歲很年輕而已
[00:03:38.100 --> 00:03:39.500]  如果當時有世衛
[00:03:39.500 --> 00:03:43.800]  一百二十歲只是少年人而已
[00:03:43.800 --> 00:03:44.900]  沒什麼特別
[00:03:44.900 --> 00:03:47.000]  在那個年代沒什麼特別
[00:03:47.000 --> 00:03:49.900]  頭個四十年他活在皇宮
[00:03:49.900 --> 00:03:55.300]  受了埃及最高的教育
[00:03:55.300 --> 00:03:56.300]  很多智慧
[00:03:56.300 --> 00:03:57.100]  大家都明白
[00:03:57.100 --> 00:04:00.000]  埃及能夠建到金字塔
[00:04:00.000 --> 00:04:02.000]  到今天仍然是一個奧秘
[00:04:02.000 --> 00:04:03.700]  怎麼可以建到金字塔
