
[00:00:00.000 --> 00:00:02.000]  好 鄧小妹 讓我們在聆聽主導以先
[00:00:02.000 --> 00:00:05.000]  我們一齊同心提頭 禱告 仰望 主愛我們的神
[00:00:05.000 --> 00:00:10.000]  慈悲的天父 多謝你 讓我們能夠再次回來
[00:00:10.000 --> 00:00:12.000]  在你的寶貴說話的面前學習
[00:00:12.000 --> 00:00:16.000]  讓每一個 無論是聽的 說的
[00:00:16.000 --> 00:00:21.000]  都同樣在上主你的真理當中 能夠得到造就
[00:00:21.000 --> 00:00:24.000]  並且可以在信仰上面得到堅固
[00:00:24.000 --> 00:00:26.000]  求你的帶領 讓我們每一個人
[00:00:26.000 --> 00:00:30.000]  在我們的患難 或者我們的挑戰當中
[00:00:30.000 --> 00:00:34.000]  仍然對主你有一個準確的焦點
[00:00:34.000 --> 00:00:37.000]  禱告奉教主耶穌 許多德性的名字而求
[00:00:37.000 --> 00:00:38.000]  阿們
[00:00:38.000 --> 00:00:45.000]  信仰這一個題目 其實最叫人煩惱的事情就是
[00:00:45.000 --> 00:00:52.000]  很多時候個人的思想 以及聖經裡面的教導
[00:00:52.000 --> 00:00:55.000]  是有一些地方是有所衝突
[00:00:55.000 --> 00:01:00.000]  尤其是當我們個人的意願 或者個人的感受
[00:01:00.000 --> 00:01:08.000]  凌駕了聖經的客觀性 就會造成了很多的矛盾
[00:01:08.000 --> 00:01:15.000]  甚至基督徒有一些抉擇 就是究竟我們怎樣去選擇好呢
[00:01:15.000 --> 00:01:19.000]  因此很多時候 我們會見到不少的基督徒
[00:01:19.000 --> 00:01:26.000]  他會有一個 好像很有理性的一個情況
[00:01:26.000 --> 00:01:29.000]  突然間變得很不理性
[00:01:29.000 --> 00:01:32.000]  這個情況為什麼會這樣出現呢
[00:01:32.000 --> 00:01:35.000]  完全是因為基督徒有時有些意願
[00:01:35.000 --> 00:01:41.000]  和聖經的陳述是有不銜接的地方
[00:01:41.000 --> 00:01:43.000]  最簡單的例子就是
[00:01:43.000 --> 00:01:49.000]  很多時候信徒會覺得 宗教是要來幫助我的
[00:01:49.000 --> 00:01:55.000]  這個觀念其實在所有世界宗教裡面
[00:01:55.000 --> 00:01:58.000]  都有這個類似的觀念
[00:01:58.000 --> 00:02:02.000]  如果宗教不有效 幫不到我的
[00:02:02.000 --> 00:02:05.000]  尤其是當我面對困難的時候
[00:02:05.000 --> 00:02:08.000]  它不能夠解除我的困難
[00:02:08.000 --> 00:02:10.000]  這個宗教就不靈了
[00:02:10.000 --> 00:02:13.000]  不靈了 可以講廣東話
[00:02:13.000 --> 00:02:16.000]  這個宗教不夠力
[00:02:16.000 --> 00:02:26.000]  於是大家就選擇去購買 選購一個適合自己的宗教
[00:02:26.000 --> 00:02:30.000]  甚至哪一間教會都是這樣的處理
[00:02:30.000 --> 00:02:32.000]  所以簡單的這麼說
[00:02:32.000 --> 00:02:35.000]  當我們去形容一個人他是迷信的話
[00:02:35.000 --> 00:02:41.000]  其實最常見的現象就是那個人他的理性
[00:02:41.000 --> 00:02:44.000]  被他的感性
[00:02:44.000 --> 00:02:47.000]  或者他自己個人的意願
[00:02:47.000 --> 00:02:54.000]  去壟斷了這個理性或者客觀性
[00:02:54.000 --> 00:02:57.000]  人就變得迷信
[00:02:57.000 --> 00:03:01.000]  今天我就去看一下這個經文
[00:03:01.000 --> 00:03:05.000]  就從當中讓我們學會多一點
[00:03:05.000 --> 00:03:10.000]  怎樣在情和理的裡面有所平衡
[00:03:10.000 --> 00:03:13.000]  所以來到今天馬太福音第22章
[00:03:13.000 --> 00:03:15.000]  第23節 33節
[00:03:15.000 --> 00:03:18.000]  我們一起去看一下這個題目
[00:03:18.000 --> 00:03:21.000]  情理平衡的信仰藝術
[00:03:21.000 --> 00:03:25.000]  因為如果不是這樣的話 是很危險的
[00:03:25.000 --> 00:03:27.000]  我告訴你有什麼危險性
[00:03:27.000 --> 00:03:30.000]  特別我們做教目的 或者我在教會
[00:03:30.000 --> 00:03:32.000]  或者我所接觸過不同的宗教
[00:03:32.000 --> 00:03:34.000]  我會留意到一樣東西
[00:03:34.000 --> 00:03:38.000]  當一個人如果他陷入了一個迷信的狀態
[00:03:38.000 --> 00:03:42.000]  就是說他的個人意願
[00:03:42.000 --> 00:03:48.000]  或者個人的感受凌駕了聖經的客觀性之下
[00:03:48.000 --> 00:03:51.000]  這個人就會做很多事情
[00:03:51.000 --> 00:03:55.000]  嘗試去證明自己是一個
[00:03:55.000 --> 00:03:58.000]  真正相信這個宗教的人
[00:03:58.000 --> 00:04:01.000]  而這種的表現 我們會留意到
[00:04:01.000 --> 00:04:03.000]  譬如在教會當中
[00:04:03.000 --> 00:04:06.000]  很多這類的信徒很熱心的
[00:04:06.000 --> 00:04:08.000]  熱心到一個地步是
[00:04:08.000 --> 00:04:11.000]  什麼教會的東西他都要去參加
[00:04:11.000 --> 00:04:15.000]  而這種信仰的人
[00:04:15.000 --> 00:04:19.000]  就會很喜歡在宗教團體裡面出風頭
[00:04:19.000 --> 00:04:25.000]  希望從當中去肯定自己的信是沒錯的
[00:04:25.000 --> 00:04:30.000]  但這種情況其實不是牧者不知道
[00:04:30.000 --> 00:04:34.000]  不過牧者是什麼心態就很重要
[00:04:34.000 --> 00:04:38.000]  有些牧者看到有些這麼熱心的信徒
[00:04:38.000 --> 00:04:40.000]  全教會的信徒都說
[00:04:40.000 --> 00:04:43.000]  你看看這個什麼弟兄或者這個姊妹
[00:04:43.000 --> 00:04:47.000]  或者那個教徒 你看看他投入得多虔誠
[00:04:47.000 --> 00:04:50.000]  牧師看到這些或者有些傳道人
[00:04:50.000 --> 00:04:53.000]  心懷不軌就會
[00:04:53.000 --> 00:04:57.000]  好了既然是這樣就等他做多點事
[00:04:57.000 --> 00:04:59.000]  還要推動他做多點事
[00:04:59.000 --> 00:05:02.000]  因為這些表現是教會最需要的人
[00:05:02.000 --> 00:05:04.000]  因為教會有很多事要做
[00:05:04.000 --> 00:05:06.000]  而且有很多這類型的牧者
[00:05:06.000 --> 00:05:08.000]  也有很多的想法
[00:05:08.000 --> 00:05:10.000]  希望去推動教會很多事
[00:05:10.000 --> 00:05:13.000]  使自己所做的工作
[00:05:13.000 --> 00:05:16.000]  好像被人覺得是成功的
[00:05:16.000 --> 00:05:19.000]  而猶太人公會也有很多這樣的人
[00:05:19.000 --> 00:05:21.000]  不是祭司不知道
[00:05:21.000 --> 00:05:23.000]  不是法尼賽人不知道
[00:05:23.000 --> 00:05:25.000]  不是殺刀那個人不知道
[00:05:25.000 --> 00:05:28.000]  不是那些大祭司甚至長老他不知道
[00:05:28.000 --> 00:05:31.000]  只不過看到有些人這麼熱心
[00:05:31.000 --> 00:05:33.000]  這麼迷信的時候
[00:05:33.000 --> 00:05:36.000]  成為一個推波助瀾
[00:05:36.000 --> 00:05:39.000]  既可以滿足這個人的需要
[00:05:39.000 --> 00:05:42.000]  又可以滿足到我去搞多些
[00:05:42.000 --> 00:05:46.000]  宗教活動的理據和動力
[00:05:46.000 --> 00:05:49.000]  為什麼不這樣做好呢
[00:05:49.000 --> 00:05:52.000]  用今天說的這些叫win-win position
[00:05:52.000 --> 00:05:54.000]  我首先再重申說一遍
[00:05:54.000 --> 00:05:58.000]  在聖經裡面從來不主張win-win position
[00:05:58.000 --> 00:05:59.000]  不主張
[00:05:59.000 --> 00:06:02.000]  如果你說聖經主張win-win position
[00:06:02.000 --> 00:06:04.000]  我就給一個很簡單的例子給你們
[00:06:04.000 --> 00:06:06.000]  你們會不會馬上明白
[00:06:06.000 --> 00:06:09.000]  耶穌死在十字架上
[00:06:09.000 --> 00:06:11.000]  他是輸光了
[00:06:11.000 --> 00:06:17.000]  但是他贏回上帝要拯救的人
[00:06:17.000 --> 00:06:22.000]  他的失敗在世人裡面認為輸清光的
[00:06:22.000 --> 00:06:25.000]  他沒有賺取這個世界一分一毫
[00:06:25.000 --> 00:06:27.000]  沒有建立一個王國
[00:06:27.000 --> 00:06:29.000]  沒有顯赫的名稱
[00:06:29.000 --> 00:06:32.000]  不過他卻賺取回
[00:06:32.000 --> 00:06:37.000]  幫父神挽回很多認罪悔改的人回到上帝裡面
[00:06:37.000 --> 00:06:38.000]  聖經沒有win-win position
[00:06:38.000 --> 00:06:41.000]  但是教會裡面有很多時候
[00:06:41.000 --> 00:06:43.000]  就借用這種世界的思想
[00:06:43.000 --> 00:06:47.000]  來去以為造就了信徒
[00:06:47.000 --> 00:06:50.000]  他又很有虔誠的感受
[00:06:50.000 --> 00:06:55.000]  又可以同時賺取了教會很多的益處
[00:06:55.000 --> 00:06:58.000]  尤其是人力物力
[00:06:58.000 --> 00:07:03.000]  所以一個牧者的心態是很重要的
[00:07:03.000 --> 00:07:04.000]  我經常都說
[00:07:04.000 --> 00:07:08.000]  如果一個牧者其心不正
[00:07:08.000 --> 00:07:13.000]  很容易你成為一個信徒會被他操控
[00:07:13.000 --> 00:07:16.000]  特別有些信徒很熱心的時候
[00:07:16.000 --> 00:07:19.000]  牧師你有些什麼
[00:07:19.000 --> 00:07:20.000]  我一定幫你
[00:07:20.000 --> 00:07:23.000]  如果牧師心腸不好
[00:07:23.000 --> 00:07:26.000]  用到你盡用到你殘了之後
[00:07:26.000 --> 00:07:29.000]  最後就來到我們以馬來華人心信會
[00:07:29.000 --> 00:07:31.000]  我見過很多不是你們
[00:07:31.000 --> 00:07:33.000]  來了之後就走了
[00:07:33.000 --> 00:07:37.000]  為什麼弟兄或者姊妹為什麼你來
[00:07:37.000 --> 00:07:39.000]  牧師你不知道我在教會
[00:07:39.000 --> 00:07:43.000]  以前教會的牧者用我用到我盡之後
[00:07:43.000 --> 00:07:46.000]  後來有些什麼他一腳踢我
[00:07:46.000 --> 00:07:49.000]  你不知道的嗎
[00:07:49.000 --> 00:07:50.000]  不是不知道
[00:07:50.000 --> 00:07:53.000]  不過那時候自己都蠢
[00:07:53.000 --> 00:07:56.000]  現在他離開了就繼續蠢
[00:07:56.000 --> 00:08:00.000]  很多重複重複的情況出現
[00:08:00.000 --> 00:08:02.000]  所以大家弟兄姊妹
[00:08:02.000 --> 00:08:03.000]  什麼叫做教會
[00:08:03.000 --> 00:08:05.000]  真正的一個教會是
[00:08:05.000 --> 00:08:07.000]  傳到人很小心翼翼地
[00:08:07.000 --> 00:08:10.000]  按聖經的內容去解說
