
[00:00:00.000 --> 00:00:02.960]  我們繼續直接聆聽神的話語
[00:00:02.960 --> 00:00:05.800]  去敬拜上帝
[00:00:05.800 --> 00:00:08.560]  今日的講題是
[00:00:08.560 --> 00:00:13.360]  「兩條門路,兩等根基」
[00:00:13.360 --> 00:00:17.720]  經文是《馬太福音》七章十三至十六節
[00:00:17.720 --> 00:00:22.120]  我們一齊再禱告
[00:00:22.120 --> 00:00:25.800]  天父我們再一次多謝祢
[00:00:25.800 --> 00:00:28.320]  祢賜給我們神的話語
[00:00:28.320 --> 00:00:31.720]  耶穌說過律法的一點一劃
[00:00:31.720 --> 00:00:35.120]  都不能廢去,都要成就
[00:00:35.120 --> 00:00:40.520]  而祢就是來承傳整個律法和先知
[00:00:40.520 --> 00:00:43.520]  將神賜給我們的救恩
[00:00:43.520 --> 00:00:46.120]  賜給我們
[00:00:46.120 --> 00:00:47.200]  主生的一年
[00:00:47.200 --> 00:00:50.000]  我們願意在祢面前學習
[00:00:50.000 --> 00:00:52.920]  愛祢和跟從祢
[00:00:52.920 --> 00:00:57.520]  愛與跟從是我們很想做到的事
[00:00:57.520 --> 00:00:59.320]  主求祢幫助我們
[00:00:59.320 --> 00:01:01.720]  在這個紛亂的世代
[00:01:01.720 --> 00:01:04.520]  我們有智慧去分辨
[00:01:04.520 --> 00:01:07.720]  有智慧去做正確的選擇
[00:01:07.720 --> 00:01:14.320]  更加不會被世界玷污我們的眼光
[00:01:14.320 --> 00:01:18.520]  去扭曲我們肅靈的價值觀
[00:01:18.520 --> 00:01:20.320]  主我們知道
[00:01:20.320 --> 00:01:24.920]  祢在登山補訓給了我們很重要的教導
[00:01:24.920 --> 00:01:26.720]  求祢給我們聽了
[00:01:26.720 --> 00:01:29.120]  又願意去行
[00:01:29.120 --> 00:01:33.720]  做一個聰明的建屋的人
[00:01:33.720 --> 00:01:36.720]  甚至我們每個人都得到祢的喜悅
[00:01:36.720 --> 00:01:40.320]  新的一年更加認識、親近祢
[00:01:40.320 --> 00:01:43.120]  多謝祢聽我們禱告奉耶穌的聖名
[00:01:43.120 --> 00:01:45.520]  阿門
[00:01:45.520 --> 00:01:47.520]  藉堂來到新蒲崗
[00:01:47.520 --> 00:01:50.920]  有五年多的時間
[00:01:50.920 --> 00:01:54.520]  我們一直都反省一個
[00:01:54.520 --> 00:01:56.120]  對一個新的堂會
[00:01:56.120 --> 00:01:58.320]  我們帶出一個主題叫
[00:01:58.320 --> 00:02:01.320]  「肅靈群體的標記」
[00:02:01.320 --> 00:02:01.920]  弟子們
[00:02:01.920 --> 00:02:05.320]  你有沒有想到你是一個肅靈的人
[00:02:05.320 --> 00:02:07.120]  不只是屬於世界
[00:02:07.120 --> 00:02:09.920]  我們是在世而不屬世
[00:02:09.920 --> 00:02:11.320]  我們當然屬於這個世界
[00:02:11.320 --> 00:02:13.320]  我們是在世界上生活
[00:02:13.320 --> 00:02:15.920]  但我們有一個更重要的身份
[00:02:15.920 --> 00:02:18.520]  就是一個基督的門徒
[00:02:18.520 --> 00:02:20.520]  屬於基督
[00:02:20.520 --> 00:02:22.520]  在基督裡
[00:02:22.520 --> 00:02:26.120]  但我們不是想我們自己一個
[00:02:26.120 --> 00:02:29.120]  我們是想我們是一個肅靈的群體
[00:02:29.120 --> 00:02:32.320]  而作為一個肅靈的群體有什麼標記呢?
[00:02:32.320 --> 00:02:34.720]  我們過去幾年提出過
[00:02:34.720 --> 00:02:39.920]  我們要經歷神的同在
