
[00:00:00.000 --> 00:00:07.400]  今天的講題是「愛焦點」,二十二章一至九節
[00:00:07.400 --> 00:00:17.600]  先看看第一個重點,以神為焦點的選擇
[00:00:17.600 --> 00:00:23.600]  好了,剛才講到兩個半支派去奪取河東的分地
[00:00:23.600 --> 00:00:29.400]  他們的分地的過程是怎樣呢?將會和大家去分享
[00:00:29.400 --> 00:00:33.600]  首先看看他們的位置
[00:00:33.600 --> 00:00:39.800]  在上面的是河東,用一個紅色框框框著的,就是他們的分地
[00:00:39.800 --> 00:00:44.000]  在最上面的是馬來西亞支派,中間的是加德支派
[00:00:44.000 --> 00:00:48.400]  然後下面的就是樓面的支派
[00:00:48.400 --> 00:00:53.200]  要講講歷史,他們怎樣奪取這些分地
[00:00:53.200 --> 00:00:58.800]  首先,摩西率領以色列人打敗米甸人
[00:00:58.800 --> 00:01:02.000]  然後樓面加德的兩個支派就說
[00:01:02.000 --> 00:01:08.000]  「我需要這塊地去目測很多我們的伸縮」
[00:01:08.000 --> 00:01:14.200]  然後就說「如果我們在你眼前蒙蔭」
[00:01:14.200 --> 00:01:19.800]  「你給我這塊地和摩西和當時的祭司和縱長老這樣說」
[00:01:19.800 --> 00:01:24.200]  「但是,不要領我們過約旦河,我們不過去」
[00:01:24.200 --> 00:01:28.200]  摩西又怎樣說呢?摩西八個字去回應他們
[00:01:28.200 --> 00:01:31.400]  「你們沒有義氣啊!」
[00:01:31.400 --> 00:01:36.400]  「眾兄弟兄,過河的九個半支派,你們竟然間不去?」
[00:01:36.400 --> 00:01:38.800]  「還有,你們不要灰心壯膽」
[00:01:38.800 --> 00:01:44.600]  「摩西的地,即是加南地,才是你們應許之地」
[00:01:44.600 --> 00:01:51.400]  於是他就說「喂,你們只是增添罪人的數目」
[00:01:51.400 --> 00:01:56.000]  「如果你們是這樣做的話,即是說這個是罪來的」
[00:01:56.000 --> 00:01:59.200]  「是將以色列人放在抗爺」
[00:01:59.200 --> 00:02:03.000]  「如果你們不過去的話,神就會撇下他們在抗爺」
[00:02:03.000 --> 00:02:05.600]  「還有,使得眾民去滅亡」
[00:02:05.600 --> 00:02:12.600]  聽到他這樣說,這兩個支派,就知道糟糕了
[00:02:12.600 --> 00:02:14.800]  「不要了,我們明白的了」
[00:02:14.800 --> 00:02:19.000]  「我們帶兵器過去,我們都會過去的」
[00:02:19.000 --> 00:02:22.600]  「還有,如果他們還未拿到他們自己的產業」
[00:02:22.600 --> 00:02:24.400]  即是九個半支派
[00:02:24.400 --> 00:02:28.000]  直到這九個半支派拿到他們的產業之後
[00:02:28.000 --> 00:02:30.200]  我才回家
[00:02:30.200 --> 00:02:34.800]  摩西就說「好吧,如果你們這樣做的話」
[00:02:34.800 --> 00:02:37.200]  「就當你們無罪了」
[00:02:37.200 --> 00:02:40.400]  「當這九個半支派都拿了他們的分地的時候」
[00:02:40.400 --> 00:02:46.400]  「你們就可以回到這些地方,作為你們的地業」
[00:02:46.400 --> 00:02:54.600]  問題就是,這個只是容許,不是應許,大家留意
[00:02:54.600 --> 00:02:56.800]  這個是容許,不是應許
[00:02:56.800 --> 00:03:01.200]  意思就是加南地才是應許的地方
[00:03:01.200 --> 00:03:04.800]  而約旦河東始終不是
[00:03:04.800 --> 00:03:07.800]  大家要記住這個事情
[00:03:07.800 --> 00:03:12.400]  這兩個半支派寧願要河東的土地
[00:03:12.400 --> 00:03:16.600]  放棄加南地的產業,是不是明智呢?
[00:03:16.600 --> 00:03:19.600]  用三個方面跟大家分享
[00:03:19.600 --> 00:03:22.400]  第一方面,大家都很明白
[00:03:22.400 --> 00:03:26.400]  他們選擇這塊土地的原因是因為這塊土地漂亮
[00:03:26.400 --> 00:03:30.200]  可以目放伸縮
[00:03:30.200 --> 00:03:33.800]  他們沒有理會神的應許之地不在那裡
[00:03:33.800 --> 00:03:36.800]  他們只是顧眼前的利益
[00:03:36.800 --> 00:03:39.600]  眼前的好處而失去焦點
[00:03:39.600 --> 00:03:41.200]  焦點在哪裡?
[00:03:41.200 --> 00:03:43.000]  應許之地
[00:03:43.000 --> 00:03:44.800]  第二,剛剛我也說過
[00:03:44.800 --> 00:03:48.000]  摩西跟我們說,這是罪
