
[00:00:00.000 --> 00:00:03.200]  我們教會粵語堂的崇拜
[00:00:03.200 --> 00:00:05.640]  特別是在講使徒倖傳
[00:00:05.640 --> 00:00:08.040]  今天來到一個很重要的人物
[00:00:08.040 --> 00:00:10.620]  就是史提反
[00:00:10.620 --> 00:00:13.580]  他的申訴和他的殉道
[00:00:13.580 --> 00:00:15.440]  不過在看聖經之前
[00:00:15.440 --> 00:00:17.440]  讓我們先看一個問題
[00:00:17.440 --> 00:00:21.640]  這個問題不知道大家會不會懂得回答
[00:00:21.640 --> 00:00:23.040]  我想問問大家
[00:00:23.040 --> 00:00:27.240]  全世界每年有多少新出版的書呢
[00:00:27.240 --> 00:00:28.400]  有沒有人知道
[00:00:28.400 --> 00:00:30.600]  想不想猜一下
[00:00:30.600 --> 00:00:32.400]  可以或者告訴我
[00:00:32.400 --> 00:00:33.800]  約兩個就可以了
[00:00:33.800 --> 00:00:36.120]  你猜有多少本書
[00:00:36.120 --> 00:00:37.600]  有多少
[00:00:37.600 --> 00:00:38.800]  千萬計
[00:00:38.800 --> 00:00:40.720]  嘩 厲害厲害
[00:00:40.720 --> 00:00:43.040]  你肯定很喜歡看書 是不是
[00:00:43.040 --> 00:00:46.520]  好 那麼有沒有其他答案
[00:00:46.520 --> 00:00:48.600]  對了 我今早在早堂的時候
[00:00:48.600 --> 00:00:50.280]  有位姐妹立刻舉手
[00:00:50.280 --> 00:00:53.000]  她說應該是幾百萬
[00:00:53.000 --> 00:00:54.720]  聽完她很有智慧
[00:00:54.720 --> 00:00:56.400]  她不告訴我多少
[00:00:56.400 --> 00:00:57.560]  她說幾百萬
[00:00:57.560 --> 00:00:58.960]  那麼我們中國人說
[00:00:58.960 --> 00:01:00.960]  怎樣為之幾呀
[00:01:00.960 --> 00:01:02.880]  無三不成幾
[00:01:02.880 --> 00:01:06.840]  全年是超過200萬本
[00:01:06.840 --> 00:01:09.560]  有多少頂姐妹你喜歡看書的
[00:01:09.560 --> 00:01:12.240]  有沒有人每天可以看一本書
[00:01:12.240 --> 00:01:13.080]  沒有了 是不是
[00:01:13.080 --> 00:01:14.400]  就算你有的話
[00:01:14.400 --> 00:01:17.280]  我想每年都只有365本
[00:01:17.280 --> 00:01:18.200]  怎樣去比呢
[00:01:18.200 --> 00:01:20.000]  超過200萬本
[00:01:20.000 --> 00:01:22.640]  如果我們要看完全世界每年的
[00:01:22.640 --> 00:01:24.760]  這些新的書
[00:01:24.760 --> 00:01:26.800]  其實對我們有什麼益處呢
[00:01:26.800 --> 00:01:28.360]  這其實是一個事實
[00:01:28.360 --> 00:01:31.160]  也告訴我們知識是增長得很快
[00:01:31.160 --> 00:01:33.200]  好像《大義利書》十二章
[00:01:33.200 --> 00:01:34.360]  講到末後的日子
[00:01:34.360 --> 00:01:36.440]  我們會來往很頻繁
[00:01:36.440 --> 00:01:38.720]  我們今天交通很方便
[00:01:38.720 --> 00:01:40.080]  我們資訊很發達
[00:01:40.080 --> 00:01:43.080]  但是人的心竟然是虛怯
[00:01:43.080 --> 00:01:47.200]  人的內心仍然是充滿著很多的空虛寂寞
[00:01:47.200 --> 00:01:51.440]  我們仍然是在尋找生命的意義
[00:01:51.440 --> 00:01:54.200]  這是歷世歷代都需要的
[00:01:54.200 --> 00:01:55.680]  究竟在書本裏面
[00:01:55.680 --> 00:01:57.440]  我們可以得到些什麼呢
[00:01:57.440 --> 00:01:59.920]  這些超過200萬本每年新的書
[00:01:59.920 --> 00:02:02.760]  我相信有很多是一些技術的書
[00:02:02.760 --> 00:02:04.920]  包括不同的專業的界別
[00:02:04.920 --> 00:02:08.560]  醫學 建築 或者是工程
[00:02:08.560 --> 00:02:11.720]  物理學 或者是會計
[00:02:11.720 --> 00:02:13.920]  但是有一種書種
[00:02:13.920 --> 00:02:15.920]  我相信很多人都喜歡看的
[00:02:15.920 --> 00:02:17.440]  就是什麼
[00:02:17.440 --> 00:02:19.320]  就是生命的故事
[00:02:19.320 --> 00:02:21.200]  有一些真實的見證
[00:02:21.200 --> 00:02:23.320]  有一些真正能夠激發人心
[00:02:23.320 --> 00:02:24.640]  很勵志的
[00:02:24.640 --> 00:02:25.920]  有血有肉
[00:02:25.920 --> 00:02:28.080]  真正的見證
[00:02:28.080 --> 00:02:29.560]  我不知道你了
[00:02:29.560 --> 00:02:34.200]  我自己其實很喜歡看這一類的一些傳記
[00:02:34.200 --> 00:02:36.960]  我在讀大學的時候雖然是念工程系
[00:02:36.960 --> 00:02:40.720]  但是我也是專門去看一些傳記
[00:02:40.720 --> 00:02:42.480]  有一些屬靈為人的傳記
[00:02:42.480 --> 00:02:45.200]  都成為我成長
[00:02:45.200 --> 00:02:49.120]  屬靈的心路歷程一個很大的幫助
[00:02:49.120 --> 00:02:50.400]  我很鼓勵你們這些姐妹
[00:02:50.400 --> 00:02:52.080]  你今天除了讀經祈禱之外
[00:02:52.080 --> 00:02:57.320]  你試試去讀一些令你真的有啟發性的
[00:02:57.320 --> 00:03:00.560]  一些屬靈為人的生命傳記
[00:03:00.560 --> 00:03:05.680]  原來這些都在幫助我們去認識生命的意義
[00:03:05.680 --> 00:03:08.920]  當然每年超過二百萬本的這些書
[00:03:08.920 --> 00:03:13.400]  你猜哪一本書是最暢銷的呢?
[00:03:13.400 --> 00:03:16.160]  不是賣花讚花香
[00:03:16.160 --> 00:03:20.200]  真的是聖經歷古常新
[00:03:20.200 --> 00:03:25.120]  我們需要將這個這麼古舊的聖經上帝的說話
[00:03:25.120 --> 00:03:28.160]  仍然在每一個世代我們要詮釋出來
[00:03:28.160 --> 00:03:30.200]  而且我們要走出來
[00:03:30.200 --> 00:03:33.360]  讓在這個人世間讓人看見
[00:03:33.360 --> 00:03:35.200]  道成肉身的這位主耶穌
[00:03:35.200 --> 00:03:38.080]  在祂的兒女們的身上的彰顯
