
[00:00:00.000 --> 00:00:04.000]  各位青睞、撼培拉華人基督教會與儒堂的弟兄姊妹
[00:00:04.000 --> 00:00:05.000]  你們好
[00:00:05.000 --> 00:00:06.840]  我是梁永善牧師
[00:00:06.840 --> 00:00:12.680]  很開心可以和大家一起在網絡上分享神的話語
[00:00:12.680 --> 00:00:16.300]  很感謝你們建立這個退修會
[00:00:16.300 --> 00:00:20.640]  其實這個退修會在兩年多前就已經確定了
[00:00:20.640 --> 00:00:22.640]  也都已經記下了
[00:00:22.640 --> 00:00:24.440]  懷著一個很興奮的心情
[00:00:24.440 --> 00:00:26.000]  預備來到大家當中
[00:00:26.000 --> 00:00:29.000]  和大家一起來見面分享
[00:00:29.000 --> 00:00:31.000]  但很可惜因為疫情的緣故
[00:00:31.000 --> 00:00:36.000]  所以我們不能夠現在面對面地去分享
[00:00:36.000 --> 00:00:38.000]  但是這個退修會仍然繼續
[00:00:38.000 --> 00:00:42.000]  所以能夠在網絡上和大家分享
[00:00:42.000 --> 00:00:44.000]  仍然是一個恩典
[00:00:44.000 --> 00:00:46.000]  但是很期望
[00:00:46.000 --> 00:00:49.000]  我們能夠很快地見到面
[00:00:49.000 --> 00:00:52.000]  最重要是希望這個疫情
[00:00:52.000 --> 00:00:54.000]  能夠早日地停止
[00:00:54.000 --> 00:00:56.000]  不只是在澳洲
[00:00:56.000 --> 00:00:58.000]  不只是在香港
[00:00:58.000 --> 00:01:00.000]  而是在世界各地
[00:01:00.000 --> 00:01:02.000]  都能夠停止
[00:01:02.000 --> 00:01:04.000]  讓我們回復正常
[00:01:04.000 --> 00:01:07.000]  但無論環境如何轉變都好
[00:01:07.000 --> 00:01:09.000]  我們仍然深信我們的神
[00:01:09.000 --> 00:01:11.000]  是不會改變人
[00:01:11.000 --> 00:01:13.000]  在這次營會裏面
[00:01:13.000 --> 00:01:16.000]  教會很想我分享三個課題
[00:01:16.000 --> 00:01:18.000]  我覺得非常有意思
[00:01:18.000 --> 00:01:21.000]  第一就是人生階段可變
[00:01:21.000 --> 00:01:23.000]  但是神的恩典
[00:01:23.000 --> 00:01:24.000]  神的愛
[00:01:24.000 --> 00:01:27.000]  是永遠不會改變的
[00:01:27.000 --> 00:01:31.000]  我們要藉著這個訊息
[00:01:31.000 --> 00:01:36.000]  對神有更深的體會和了解
[00:01:36.000 --> 00:01:38.000]  以致原來知道我們所相信的
[00:01:38.000 --> 00:01:40.000]  是值得我們去敬畏
[00:01:40.000 --> 00:01:42.000]  值得我們去尊崇
[00:01:42.000 --> 00:01:46.000]  值得我們去愛的一位神
[00:01:46.000 --> 00:01:48.000]  第二課我們會講到
[00:01:48.000 --> 00:01:51.000]  人生階段可以不斷地轉變
[00:01:51.000 --> 00:01:56.000]  但是我們作為門徒的身份
[00:01:56.000 --> 00:02:00.000]  是絕對不會改變的
[00:02:00.000 --> 00:02:02.000]  當然作為一個門徒的身份
[00:02:02.000 --> 00:02:03.000]  有什麼責任呢?
[00:02:03.000 --> 00:02:05.000]  有什麼挑戰呢?
[00:02:05.000 --> 00:02:08.000]  我們會在第二課分享
[00:02:08.000 --> 00:02:12.000]  第三就是魔鬼
[00:02:12.000 --> 00:02:15.000]  原來無論我們用什麼人生階段
[00:02:15.000 --> 00:02:17.000]  它都有一個原則
[00:02:17.000 --> 00:02:18.000]  就是要把我們拖垮
[00:02:18.000 --> 00:02:22.000]  把我們除去和神的關係
[00:02:22.000 --> 00:02:25.000]  它的攻擊是永遠不斷
[00:02:25.000 --> 00:02:28.000]  方法可能會不同
[00:02:28.000 --> 00:02:30.000]  但原則是一樣的
[00:02:30.000 --> 00:02:35.000]  我們會在主日裏探討這個課題
