
[00:00:00.000 --> 00:00:06.320]  在今天的香港我想其中一個很多人談論的話題應該是選舉
[00:00:06.320 --> 00:00:11.880]  特別是快要來到這個立法會選舉這個討論
[00:00:11.880 --> 00:00:19.240]  談到選舉其實是我們金星會人一個常常說是特色
[00:00:19.240 --> 00:00:23.240]  我們是非常看重選舉的權利
[00:00:23.240 --> 00:00:26.040]  但是選舉這個東西很奇妙
[00:00:26.040 --> 00:00:33.000]  我們要很小心的來看不久之前三個月前馬來西亞剛剛完成大選
[00:00:33.000 --> 00:00:37.240]  當時就看報紙就是在結果出來之後就說
[00:00:37.240 --> 00:00:44.520]  當前的任務是要國家和解尋求合一
[00:00:44.520 --> 00:00:51.960]  在另外一邊失敗的一方就大聲的抗議說這個選舉不公平
[00:00:51.960 --> 00:00:53.480]  有很多的問題
[00:00:53.480 --> 00:00:57.400]  所以選舉好像是有一個結果
[00:00:57.400 --> 00:01:02.120]  但是選舉也可能帶來很多其他的問題
[00:01:02.120 --> 00:01:11.960]  當我看這個片段的時候聽到贏了的一方說要和解要合一
[00:01:11.960 --> 00:01:13.800]  其實這個是非常美好的
[00:01:13.800 --> 00:01:19.880]  因爲你不一同來同心前進的話很多問題都不能解決
[00:01:19.880 --> 00:01:24.120]  但是我在聽的時候我就問自己什麼叫做合一
[00:01:24.120 --> 00:01:25.640]  是什麼意思
[00:01:25.640 --> 00:01:31.640]  同時在另外一方面失敗的就懷疑選舉的結果
[00:01:31.640 --> 00:01:35.320]  我就在想他們會不會要合一
[00:01:35.320 --> 00:01:38.600]  他們又怎樣來看合一
[00:01:38.600 --> 00:01:45.480]  合一這個主題今天我想香港是很重要的一個主題
[00:01:45.480 --> 00:01:49.960]  當我看這個新聞片段的時候聽到兩方在漢化
[00:01:49.960 --> 00:01:53.320]  剛巧那天教會禁闊
[00:01:53.320 --> 00:01:57.960]  就是我們有一些教會按照傳統
[00:01:57.960 --> 00:02:02.360]  把三年之內把全部聖經都看一遍
[00:02:02.360 --> 00:02:09.480]  當天選讀的經文就是今天大家讀約翰福音17章這個經文
[00:02:09.480 --> 00:02:14.520]  而這個經文不斷出現的一個主題也是合一
[00:02:14.520 --> 00:02:21.800]  主耶穌在離開我們回到天父那裏之前
