
[00:00:00.000 --> 00:00:02.280]  願意我們都準備好我們的心
[00:00:02.280 --> 00:00:04.660]  在上帝的面前謙卑下來
[00:00:04.660 --> 00:00:05.620]  我們一起禱告
[00:00:05.620 --> 00:00:08.720]  聖母上帝我們多謝祢
[00:00:08.720 --> 00:00:10.020]  因為祢賜下祢的話語
[00:00:10.020 --> 00:00:12.420]  又賜下聖靈去引導我們
[00:00:12.420 --> 00:00:15.340]  讓我們是能夠明白
[00:00:15.340 --> 00:00:17.220]  有能力去實行
[00:00:17.220 --> 00:00:20.620]  願意祢賜下我們一個謙卑的心
[00:00:20.620 --> 00:00:24.740]  願意被祢引領
[00:00:24.740 --> 00:00:27.380]  被祢提醒教導
[00:00:27.380 --> 00:00:29.500]  祈禱奉耶穌的聖名
[00:00:30.060 --> 00:00:30.560]  對的
[00:00:30.560 --> 00:00:34.820]  不知道大家有沒有試過和別人傳福音呢?
[00:00:34.820 --> 00:00:37.300]  那如果你們和別人傳福音的時候
[00:00:37.300 --> 00:00:38.860]  有沒有聽過類似的反應呢?
[00:00:38.860 --> 00:00:41.900]  又跟我們說這些什麼呢?
[00:00:41.900 --> 00:00:43.740]  跟我們說耶穌
[00:00:43.740 --> 00:00:47.100]  這些信就有
[00:00:47.100 --> 00:00:48.460]  不信就沒有了
[00:00:48.460 --> 00:00:50.300]  有沒有道理呢?
[00:00:50.300 --> 00:00:54.100]  有人不回頭
[00:00:54.100 --> 00:00:54.900]  有人回頭
[00:00:54.900 --> 00:00:57.260]  其實是想說些什麼呢?
[00:00:57.260 --> 00:00:58.940]  其實是想說
[00:00:59.260 --> 00:01:02.060]  信耶穌只是心理作用而已
[00:01:02.060 --> 00:01:03.500]  耶穌不是真的
[00:01:03.500 --> 00:01:05.420]  那你怎麼回應呢?
[00:01:05.420 --> 00:01:10.100]  這句話其實挺有趣的
[00:01:10.100 --> 00:01:13.340]  我也很想真是這樣
[00:01:13.340 --> 00:01:15.140]  世上
[00:01:15.140 --> 00:01:17.500]  你找不找到一樣東西是信就有
[00:01:17.500 --> 00:01:18.300]  不信就沒有的呢?
[00:01:18.300 --> 00:01:21.580]  我好窮又等錢花
[00:01:21.580 --> 00:01:23.900]  不過我信我的銀行戶口
[00:01:23.900 --> 00:01:25.220]  有一億的存款
[00:01:25.220 --> 00:01:27.140]  信就有嘛
[00:01:28.020 --> 00:01:29.460]  那我很開心去提款
[00:01:29.460 --> 00:01:32.260]  不信就沒有
[00:01:32.260 --> 00:01:33.980]  更好啦
[00:01:33.980 --> 00:01:36.980]  就算幾份驗身報告說我有癌症
[00:01:36.980 --> 00:01:38.780]  都沒驚過
[00:01:38.780 --> 00:01:40.820]  不信就沒有嘛
[00:01:40.820 --> 00:01:42.660]  我不信就行了
[00:01:42.660 --> 00:01:44.540]  醫生都不用看
[00:01:44.540 --> 00:01:46.820]  行不行呢?
[00:01:46.820 --> 00:01:50.420]  如果
[00:01:50.420 --> 00:01:52.900]  這是一個事實
[00:01:52.900 --> 00:01:57.460]  不會因為你不信而沒有了
[00:01:58.900 --> 00:02:00.460]  如果那不是一個事實
[00:02:00.460 --> 00:02:03.260]  也不會因為你信而變真
[00:02:03.260 --> 00:02:05.300]  其實
[00:02:05.300 --> 00:02:07.020]  信不信
[00:02:07.020 --> 00:02:09.260]  是我們主觀的取向
[00:02:09.260 --> 00:02:12.460]  主觀的取向完全影響不到
[00:02:12.460 --> 00:02:14.260]  客觀的現實
[00:02:14.260 --> 00:02:15.940]  所以
[00:02:15.940 --> 00:02:17.900]  就算很多人說
[00:02:17.900 --> 00:02:19.380]  我不信耶穌
[00:02:19.380 --> 00:02:22.860]  耶穌也不會因為很多人不信而消失
[00:02:22.860 --> 00:02:25.420]  那你說
[00:02:25.420 --> 00:02:27.460]  我們又怎麼知道
[00:02:27.980 --> 00:02:28.900]  耶穌是真的呢?
[00:02:28.900 --> 00:02:31.220]  這個星期一開始
[00:02:31.220 --> 00:02:32.420]  主要是說到
[00:02:32.420 --> 00:02:34.740]  會開展出一個新的系列
[00:02:34.740 --> 00:02:37.100]  就是約翰一二三書
[00:02:37.100 --> 00:02:41.460]  約翰一書其實是約翰晚年的時候寫的
[00:02:41.460 --> 00:02:43.300]  當時教會呢
[00:02:43.300 --> 00:02:46.140]  正正面對著
[00:02:46.140 --> 00:02:47.820]  異端思想的衝擊
[00:02:47.820 --> 00:02:49.860]  這些思想
[00:02:49.860 --> 00:02:51.620]  有一個想法
[00:02:51.620 --> 00:02:52.740]  因為
[00:02:52.740 --> 00:02:54.700]  人的身體是邪惡的
[00:02:56.620 --> 00:02:58.020]  神的兒子是一個靈
[00:02:58.020 --> 00:03:00.180]  神的靈是聖潔的
[00:03:00.180 --> 00:03:01.900]  不可能
[00:03:01.900 --> 00:03:04.220]  會住在人的肉身之內
[00:03:04.220 --> 00:03:06.780]  所以根據他們的邏輯
[00:03:06.780 --> 00:03:10.780]  耶穌導致肉身是不可能的
[00:03:10.780 --> 00:03:12.820]  是沒有發生這件事的
[00:03:12.820 --> 00:03:14.860]  耶穌的身體
[00:03:14.860 --> 00:03:16.260]  只不過
[00:03:16.260 --> 00:03:18.340]  是一個幻影
[00:03:18.340 --> 00:03:20.500]  不是一個真實的
[00:03:20.500 --> 00:03:21.700]  實體
[00:03:21.700 --> 00:03:23.900]  也不是一個血肉之軀
[00:03:25.980 --> 00:03:26.660]  當時
[00:03:26.660 --> 00:03:28.940]  教會裏面也有些假先知
[00:03:28.940 --> 00:03:30.980]  也有些假先知
[00:03:30.980 --> 00:03:33.860]  於是令不少信徒
[00:03:33.860 --> 00:03:35.020]  信心動搖
[00:03:35.020 --> 00:03:37.860]  對耶穌導致肉身的福音
[00:03:37.860 --> 00:03:40.140]  產生了極大的懷疑
[00:03:40.140 --> 00:03:44.180]  約翰是跟隨過耶穌的滿土
[00:03:44.180 --> 00:03:46.740]  面對這些異端
[00:03:46.740 --> 00:03:49.900]  他用第一身的經歷去反駁
[00:03:49.900 --> 00:03:51.780]  反駁什麼?
[00:03:51.780 --> 00:03:54.660]  反駁一些否定耶穌導致肉身的
[00:03:55.300 --> 00:03:56.100]  一些說法
[00:03:56.100 --> 00:03:57.380]  去證明
[00:03:57.380 --> 00:03:59.020]  耶穌真是
[00:03:59.020 --> 00:04:01.660]  成為肉身來過這個世界
[00:04:01.660 --> 00:04:03.420]  所以
[00:04:03.420 --> 00:04:05.300]  我們一開始就看到
[00:04:05.300 --> 00:04:07.580]  約翰一書第四章
[00:04:07.580 --> 00:04:09.740]  雖然我們還沒讀到第四章
[00:04:09.740 --> 00:04:11.140]  講得很清楚
[00:04:11.140 --> 00:04:14.140]  他說現在有很多假先知來了
[00:04:14.140 --> 00:04:16.140]  不過
[00:04:16.140 --> 00:04:18.540]  我們可以有檢定的方法
[00:04:18.540 --> 00:04:20.780]  有一點你們可以認得出
