
[00:00:00.000 --> 00:00:06.000]  最後第四個片段
[00:00:06.000 --> 00:00:08.800]  耶穌登山變象的片段
[00:00:08.800 --> 00:00:10.200]  正在禱告的時候
[00:00:10.200 --> 00:00:12.500]  耶穌在上面登山變象的時候
[00:00:12.500 --> 00:00:14.200]  祂在做什麼?祂在禱告
[00:00:14.200 --> 00:00:16.200]  祂的面貌改變了
[00:00:16.200 --> 00:00:18.600]  衣服潔白放光
[00:00:18.600 --> 00:00:22.400]  忽然有摩西和以利亞在榮光中顯現
[00:00:22.400 --> 00:00:27.100]  談論原文是說出埃及的事
[00:00:27.100 --> 00:00:33.200]  要拯救上帝指明出埃及出捆綁的事情
[00:00:33.200 --> 00:00:36.900]  就是祂要在耶路撒冷完成的事情
[00:00:36.900 --> 00:00:43.900]  耶穌要做出埃及記裡面的代罪的高揚
[00:00:43.900 --> 00:00:46.300]  耶穌在祈禱的時候
[00:00:46.300 --> 00:00:47.800]  但故事還沒完
[00:00:47.800 --> 00:00:49.800]  說者說話的時候
[00:00:49.800 --> 00:00:53.600]  有一朵雲彩來遮蓋他們
[00:00:53.600 --> 00:00:57.400]  有聲音從雲彩裡說 者是我的愛子
[00:00:57.400 --> 00:01:00.800]  我所揀選的你們要聽從他
[00:01:00.800 --> 00:01:04.400]  這基本上是耶穌受洗的時候的翻版
[00:01:04.400 --> 00:01:06.700]  但是有沒有聖靈呢?沒有
[00:01:06.700 --> 00:01:09.800]  但是有什麼?有雲彩
[00:01:09.800 --> 00:01:11.200]  如果你熟悉《舊約聖經》
[00:01:11.200 --> 00:01:14.900]  你知道在《舊約聖經》的文數記第十一章裡面
[00:01:14.900 --> 00:01:23.300]  說到上帝在雲彩中降臨在以色列的七十個長老面前
[00:01:23.300 --> 00:01:24.900]  接著他們怎樣?
[00:01:24.900 --> 00:01:25.900]  他們中了招
[00:01:25.900 --> 00:01:27.900]  聖靈降臨在他們的身上
[00:01:27.900 --> 00:01:29.100]  他們開始說預言
[00:01:29.100 --> 00:01:32.400]  所以雲彩代表了聖靈
[00:01:32.400 --> 00:01:34.800]  祈禱聖靈
[00:01:34.800 --> 00:01:35.800]  說了一句話
[00:01:35.800 --> 00:01:36.800]  那句話是什麼?
[00:01:36.800 --> 00:01:38.300]  你是我的愛子
[00:01:38.300 --> 00:01:39.100]  我所揀選的
[00:01:39.100 --> 00:01:40.500]  剛才已經說過了
[00:01:40.500 --> 00:01:42.200]  你要做我的君王
[00:01:42.200 --> 00:01:44.900]  不過你要為我受苦
[00:01:44.900 --> 00:01:46.600]  天國的彌臨
