
[00:00:00.000 --> 00:00:02.000]  好,我們看看今天的PowerPoint
[00:00:02.000 --> 00:00:07.000]  聖經很清楚的告訴我們
[00:00:07.000 --> 00:00:09.000]  我相信你也很熟悉,今天那一節的經文
[00:00:09.000 --> 00:00:11.000]  我特地Code一節而已
[00:00:11.000 --> 00:00:13.000]  為什麼呢?我想集中火力
[00:00:13.000 --> 00:00:15.000]  大家一起看那一節的經文
[00:00:15.000 --> 00:00:17.000]  當然這節的經文
[00:00:17.000 --> 00:00:20.000]  那個上文下理我們也要知道
[00:00:20.000 --> 00:00:22.000]  不要做肺炎
[00:00:22.000 --> 00:00:23.000]  為什麼呢?
[00:00:23.000 --> 00:00:25.000]  傳聞是這樣的,上文下理
[00:00:25.000 --> 00:00:28.000]  我們一起讀紅色那裡
[00:00:28.000 --> 00:00:30.000]  不要讀完
[00:00:30.000 --> 00:00:32.000]  大家應該還很精神
[00:00:32.000 --> 00:00:34.000]  剛剛開始,一起預備
[00:00:34.000 --> 00:00:36.000]  你們是地上的鹽
[00:00:36.000 --> 00:00:38.000]  鹽若失了味
[00:00:38.000 --> 00:00:40.000]  怎能叫它再鹹呢
[00:00:40.000 --> 00:00:42.000]  它不再有用
[00:00:42.000 --> 00:00:44.000]  只好被雕在外面
[00:00:44.000 --> 00:00:45.000]  任人踐踏
[00:00:45.000 --> 00:00:47.000]  你們是世上的光
[00:00:47.000 --> 00:00:49.000]  成造在山上是不能隱藏的
[00:00:49.000 --> 00:00:52.000]  人點燈不放在斗底下
[00:00:52.000 --> 00:00:54.000]  而是放在燈台上
[00:00:54.000 --> 00:00:56.000]  就照亮一家的人
[00:00:56.000 --> 00:00:59.000]  你們的光也要這樣照在人前
[00:00:59.000 --> 00:01:01.000]  叫他們看見你們的好行為
[00:01:01.000 --> 00:01:05.000]  把榮耀歸給你們在天上的父
[00:01:05.000 --> 00:01:06.000]  其實聖經這段經文
[00:01:06.000 --> 00:01:09.000]  用了兩樣東西來比喻我們作為基督的門徒
[00:01:09.000 --> 00:01:12.000]  就是鹽和光
[00:01:12.000 --> 00:01:14.000]  不過今天我集中講鹽
[00:01:14.000 --> 00:01:16.000]  因為我發覺如果講光
[00:01:16.000 --> 00:01:18.000]  我的時間是不夠的
[00:01:18.000 --> 00:01:22.000]  但其實如果你明白今天講鹽的部分
[00:01:22.000 --> 00:01:26.000]  其實你對光理解了七七八八
[00:01:26.000 --> 00:01:29.000]  我們先看看一些背景資料
[00:01:29.000 --> 00:01:31.000]  人類的體重有三分之二是水分
