
[00:00:00.000 --> 00:00:03.000]  今日同大家講針燃
[00:00:03.000 --> 00:00:07.000]  咁啱第一章第一節不能夠打出嚟
[00:00:07.000 --> 00:00:09.000]  我哋就背咗佢不如
[00:00:09.000 --> 00:00:12.000]  第一節係咩呢
[00:00:12.000 --> 00:00:16.000]  以色列王大衛兒子所羅門嘅針燃
[00:00:16.000 --> 00:00:20.000]  咁希望我一路都會講到呀
[00:00:20.000 --> 00:00:21.000]  經過好多次咁講嘅時候
[00:00:21.000 --> 00:00:24.000]  你跟住我喺心裏面去背嘅時候
[00:00:24.000 --> 00:00:26.000]  我相信你會背咗呢一節
[00:00:28.000 --> 00:00:30.000]  大約九月呢個月份
[00:00:30.000 --> 00:00:39.000]  各級嘅學校都會陸續咁開始開學上課
[00:00:39.000 --> 00:00:45.000]  我哋教會秋季嘅主日學亦都今日開始上課
[00:00:45.000 --> 00:00:47.000]  咁陣間大家記得去上課
[00:00:47.000 --> 00:00:50.000]  喺在座之中
[00:00:50.000 --> 00:00:53.000]  有好多同學
[00:00:53.000 --> 00:00:56.000]  佢哋係離鄉別井
[00:00:57.000 --> 00:00:59.000]  或者係喺外州嚟
[00:00:59.000 --> 00:01:03.000]  或者喺中國喺香港嚟讀書
[00:01:03.000 --> 00:01:08.000]  喺在座之中亦都有
[00:01:08.000 --> 00:01:10.000]  好多家長
[00:01:10.000 --> 00:01:14.000]  佢哋啱啱可能就係送完佢哋嘅仔女去上大學
[00:01:14.000 --> 00:01:19.000]  就算喺本州讀大學嘅子女
[00:01:19.000 --> 00:01:21.000]  我相信佢哋都情願住喺學校嘅宿舍
[00:01:21.000 --> 00:01:23.000]  唔情願住喺屋企呀係咪
[00:01:25.000 --> 00:01:27.000]  我以前兩個女都係咁
[00:01:27.000 --> 00:01:31.000]  總而言之
[00:01:31.000 --> 00:01:33.000]  仔女大啦
[00:01:33.000 --> 00:01:35.000]  佢哋要離家啦
[00:01:35.000 --> 00:01:39.000]  咁佢哋開始獨立
[00:01:39.000 --> 00:01:43.000]  喺呢個時候當你特別係送行嗰段時間呢
[00:01:43.000 --> 00:01:46.000]  做父母嘅咁你有咩好講呀
[00:01:46.000 --> 00:01:51.000]  或者你諗起你父母有咩同你講呢
[00:01:53.000 --> 00:01:56.000]  我相信做父母大多數都會去講呢
[00:01:56.000 --> 00:02:00.000]  除咗話吩咐佢畀心機讀書之外呢
[00:02:00.000 --> 00:02:04.000]  咁就話佢會話呢個
[00:02:04.000 --> 00:02:07.000]  千祈呢唔好
[00:02:07.000 --> 00:02:11.000]  去群埋啲壞同學壞朋友
[00:02:11.000 --> 00:02:15.000]  唔好同嗰啲壞人去埋堆
[00:02:15.000 --> 00:02:19.000]  佢哋會教錯嚟你會學錯
[00:02:19.000 --> 00:02:22.000]  我哋睇下真言一章第十節
[00:02:23.000 --> 00:02:28.000]  真言一章第十節
[00:02:28.000 --> 00:02:31.000]  佢話我而惡人若引誘你
[00:02:31.000 --> 00:02:33.000]  你不可隨從
[00:02:33.000 --> 00:02:38.000]  咁如果我哋叫啲仔女話
[00:02:38.000 --> 00:02:42.000]  你唔好去學壞
[00:02:42.000 --> 00:02:44.000]  咁佢多數會好簡單
[00:02:44.000 --> 00:02:46.000]  哦知道啦咁呀
[00:02:46.000 --> 00:02:49.000]  但係問題就係
[00:02:51.000 --> 00:02:53.000]  佢哋好多時都係
