
[00:00:00.000 --> 00:00:05.000]  有一次有一個老闆和他的下屬
[00:00:05.000 --> 00:00:07.000]  他的職員這樣說
[00:00:07.000 --> 00:00:09.000]  你相不相信復活這件事
[00:00:09.000 --> 00:00:11.000]  這個職員就回答他
[00:00:11.000 --> 00:00:15.000]  傻的嗎?沒腦的人才會相信這些復活的事
[00:00:15.000 --> 00:00:16.000]  那個老闆就說
[00:00:16.000 --> 00:00:18.000]  咦?我以前也是這樣想的
[00:00:18.000 --> 00:00:20.000]  不過我現在相信了
[00:00:20.000 --> 00:00:21.000]  那個職員就問
[00:00:21.000 --> 00:00:22.000]  咦?這麼有趣?
[00:00:22.000 --> 00:00:23.000]  為什麼?
[00:00:23.000 --> 00:00:24.000]  那個老闆就說
[00:00:24.000 --> 00:00:29.000]  你昨天不是請假去你阿嫲的葬禮嗎?
[00:00:29.000 --> 00:00:33.000]  昨天他來探過你
[00:00:33.000 --> 00:00:34.000]  這是事實
[00:00:34.000 --> 00:00:37.000]  並非每一個人都相信復活的
[00:00:37.000 --> 00:00:38.000]  不過
[00:00:38.000 --> 00:00:41.000]  基督教的核心信仰
[00:00:41.000 --> 00:00:44.000]  卻是相信每一個人都會復活
[00:00:44.000 --> 00:00:46.000]  信神的復活
[00:00:46.000 --> 00:00:49.000]  就要面對審判
[00:00:49.000 --> 00:00:53.000]  你也是受到永恆的奏助
[00:00:53.000 --> 00:00:56.000]  信神的就會復活
[00:00:56.000 --> 00:00:58.000]  接受永恆的賞賜
[00:00:58.000 --> 00:01:00.000]  進入永生
[00:01:28.000 --> 00:01:31.000]  愛丁堡獎勵計劃
[00:01:31.000 --> 00:01:32.000]  如果在香港來的
[00:01:32.000 --> 00:01:34.000]  有我這個年紀都會記得
[00:01:34.000 --> 00:01:36.000]  不過我不敢肯定現在還有沒有
[00:01:36.000 --> 00:01:39.000]  當時我參與的其中一個活動
[00:01:39.000 --> 00:01:41.000]  就是幾個人
[00:01:41.000 --> 00:01:42.000]  有幾天的時間
[00:01:42.000 --> 00:01:44.000]  背著背包
[00:01:44.000 --> 00:01:46.000]  拿著一個指南針
[00:01:46.000 --> 00:01:48.000]  一個地圖
[00:01:48.000 --> 00:01:51.000]  在不同的地方找路
[00:01:51.000 --> 00:01:54.000]  去指定的地方來會合
[00:01:54.000 --> 00:01:56.000]  我記得有一天
[00:01:56.000 --> 00:01:59.000]  我們走錯了一條路
[00:01:59.000 --> 00:02:01.000]  迷失了路
[00:02:01.000 --> 00:02:03.000]  最後走多了幾里的路
[00:02:03.000 --> 00:02:05.000]  最後當我們抵達
[00:02:05.000 --> 00:02:07.000]  我們預計的目的地的時候
[00:02:07.000 --> 00:02:09.000]  天已經黑了
[00:02:09.000 --> 00:02:11.000]  由於我還很記得那時候
[00:02:11.000 --> 00:02:13.000]  天已黑,沒有光
[00:02:13.000 --> 00:02:15.000]  很累,又冷,又餓
[00:02:15.000 --> 00:02:18.000]  因為我們遲了去到
[00:02:18.000 --> 00:02:21.000]  所以剩下來給我們紮營的地方也不多
[00:02:21.000 --> 00:02:24.000]  所以我們很匆忙的
[00:02:24.000 --> 00:02:27.000]  隨便找了一個地方來紮營
[00:02:27.000 --> 00:02:29.000]  我都忘記了
[00:02:29.000 --> 00:02:32.000]  我是不是選營地的那個
[00:02:32.000 --> 00:02:33.000]  或者是煮飯的那個
[00:02:33.000 --> 00:02:35.000]  總之我記得的就是
[00:02:35.000 --> 00:02:37.000]  當我躺在營幕裡面的時候
[00:02:37.000 --> 00:02:40.000]  發覺地很不平,很硬
[00:02:40.000 --> 00:02:42.000]  整晚都睡得很不舒服
[00:02:42.000 --> 00:02:45.000]  第二天起床收營的時候
[00:02:45.000 --> 00:02:49.000]  發覺營下面原來全部都是牛屎
[00:02:49.000 --> 00:02:52.000]  這是一個很好的經驗
[00:02:52.000 --> 00:02:55.000]  雖然大家可能覺得有什麼大不了
[00:02:55.000 --> 00:02:56.000]  因為大家都知道
[00:02:56.000 --> 00:02:58.000]  睡在營幕裡面
[00:02:58.000 --> 00:03:00.000]  只不過是一個很短暫的時間
[00:03:00.000 --> 00:03:02.000]  三兩天的時間
[00:03:02.000 --> 00:03:04.000]  不過那個簡單的故事
[00:03:04.000 --> 00:03:06.000]  確實讓我想到
[00:03:06.000 --> 00:03:08.000]  住在帳篷裡面
[00:03:08.000 --> 00:03:11.000]  不單只是短暫的一個經驗
[00:03:11.000 --> 00:03:13.000]  更加在這個經驗裡面告訴我們
[00:03:13.000 --> 00:03:16.000]  其實有很多環境的因素
[00:03:16.000 --> 00:03:18.000]  是我們沒有辦法控制得到的
[00:03:18.000 --> 00:03:20.000]  因為如果不是的話
[00:03:20.000 --> 00:03:24.000]  我都不會選擇一個滿地牛屎的地點
[00:03:24.000 --> 00:03:26.000]  來去紮營
[00:03:26.000 --> 00:03:28.000]  保羅就很明白
[00:03:28.000 --> 00:03:31.000]  人生的短暫和人生的有限
