
[00:00:00.000 --> 00:00:02.000]  上一次講完男性系列之後
[00:00:02.000 --> 00:00:05.000]  沒有收到一些令我詫異的投訴
[00:00:05.000 --> 00:00:07.000]  似乎都沒有影響弟兄姊妹
[00:00:07.000 --> 00:00:09.000]  家庭婚姻的幸福
[00:00:09.000 --> 00:00:11.000]  我同工亦都沒有任何的意見
[00:00:11.000 --> 00:00:13.000]  所以都感謝主
[00:00:13.000 --> 00:00:15.000]  男性系列到了今天是第二講
[00:00:15.000 --> 00:00:17.000]  我們今天的題目是
[00:00:17.000 --> 00:00:19.000]  我願男人無爭論
[00:00:19.000 --> 00:00:21.000]  讓我們一起低頭先讓我禱告
[00:00:21.000 --> 00:00:25.000]  親愛的主我們求祢
[00:00:25.000 --> 00:00:27.000]  在我們心靈當中教我們
[00:00:27.000 --> 00:00:30.000]  讓我們看見我們能夠成長的方向
[00:00:30.000 --> 00:00:32.000]  又讓我們在祢面前蒙恩
[00:00:32.000 --> 00:00:34.000]  主願祢的聖靈
[00:00:34.000 --> 00:00:36.000]  在我們心靈當中親自祝福我們
[00:00:36.000 --> 00:00:38.000]  奉耶穌名求
[00:00:38.000 --> 00:00:43.000]  男人除了和憤怒扯上關係之外
[00:00:43.000 --> 00:00:47.000]  亦都經常和爭論扯上關係
[00:00:47.000 --> 00:00:49.000]  男人常常都有爭論
[00:00:49.000 --> 00:00:51.000]  不如我又問下大家
[00:00:51.000 --> 00:00:55.000]  你有沒有見過男人和男人爭論呢
[00:00:55.000 --> 00:00:57.000]  有見過的請舉手
[00:00:57.000 --> 00:01:00.000]  今次多了
[00:01:00.000 --> 00:01:02.000]  又或者我再問
[00:01:02.000 --> 00:01:07.000]  有沒有見過男人和男人爭論的請舉手
[00:01:07.000 --> 00:01:08.000]  沒有
[00:01:08.000 --> 00:01:11.000]  其實每個人都見過男人和男人爭論
[00:01:11.000 --> 00:01:15.000]  或者你不敢舉手
[00:01:15.000 --> 00:01:17.000]  但你不舉手代表什麼呢
[00:01:17.000 --> 00:01:21.000]  難道代表你就是那個爭論的男人
[00:01:21.000 --> 00:01:24.000]  在日常生活中
[00:01:24.000 --> 00:01:28.000]  男人的爭論是常見的例子
[00:01:28.000 --> 00:01:30.000]  比如在新聞報道中
[00:01:30.000 --> 00:01:32.000]  我們所熟悉的立法會
[00:01:32.000 --> 00:01:35.000]  我們常常見到男人和男人爭論
[00:01:35.000 --> 00:01:38.000]  並且是火爭爭論
[00:01:38.000 --> 00:01:39.000]  大聲的爭論
[00:01:39.000 --> 00:01:42.000]  甚至是力竭聲沙的爭論
[00:01:42.000 --> 00:01:46.000]  現代科技中有一種產品叫咪
[00:01:46.000 --> 00:01:49.000]  這個咪令到大家在爭論的時候
[00:01:49.000 --> 00:01:51.000]  都將焦點放在那裡
[00:01:51.000 --> 00:01:54.000]  大家搶著咪
[00:01:54.000 --> 00:01:55.000]  然後拿著咪來說
[00:01:55.000 --> 00:01:58.000]  代表著我爭取到發言權
[00:01:58.000 --> 00:02:00.000]  其實是一個很愚蠢的想法
[00:02:00.000 --> 00:02:01.000]  因為關了電源之後
[00:02:01.000 --> 00:02:03.000]  你拿著咪就沒有發言權
[00:02:03.000 --> 00:02:05.000]  不過因為有咪的緣故
[00:02:05.000 --> 00:02:08.000]  在男人爭論裡多了一個行為
[00:02:08.000 --> 00:02:10.000]  就是爭咪
[00:02:10.000 --> 00:02:12.000]  其實在90年代的時候
[00:02:12.000 --> 00:02:13.000]  在新聞報道裡
[00:02:13.000 --> 00:02:16.000]  我們常常見到台灣的立法會裡
[00:02:16.000 --> 00:02:18.000]  那些立委會的議員
[00:02:18.000 --> 00:02:19.000]  他們大聲的爭論
[00:02:19.000 --> 00:02:21.000]  令到大家搶咪
[00:02:21.000 --> 00:02:24.000]  最後就發展到大家扭在一起
[00:02:24.000 --> 00:02:26.000]  不單是動口又動手
[00:02:26.000 --> 00:02:28.000]  不過請大家不要誤會
[00:02:28.000 --> 00:02:29.000]  動口的意思
[00:02:29.000 --> 00:02:31.000]  不是代表著他們拿著咪
[00:02:31.000 --> 00:02:32.000]  來大聲說話
[00:02:32.000 --> 00:02:33.000]  動口的意思
[00:02:33.000 --> 00:02:36.000]  是指他們用口來咬對方
[00:02:36.000 --> 00:02:39.000]  其後這個文化就傳到了香港
[00:02:39.000 --> 00:02:41.000]  於是我們真的好了
[00:02:41.000 --> 00:02:42.000]  不需要坐飛機去台灣的時候
[00:02:42.000 --> 00:02:44.000]  欣賞這種表演
[00:02:44.000 --> 00:02:45.000]  我們在香港裡
[00:02:45.000 --> 00:02:46.000]  只要打開電視機
[00:02:46.000 --> 00:02:48.000]  在新聞節目裡
[00:02:48.000 --> 00:02:49.000]  我們同樣可以欣賞到
[00:02:49.000 --> 00:02:52.000]  本地化的一種表演
[00:02:52.000 --> 00:02:54.000]  更加吊詭的
[00:02:54.000 --> 00:02:56.000]  就是我們為這種爭論
[00:02:56.000 --> 00:02:58.000]  賦予了一個很偉大
[00:02:58.000 --> 00:02:59.000]  很高貴
[00:02:59.000 --> 00:03:01.000]  很有身份的名稱
[00:03:01.000 --> 00:03:03.000]  這個名稱叫做言論自由
[00:03:03.000 --> 00:03:05.000]  這個名稱叫做監察政府
[00:03:05.000 --> 00:03:08.000]  這個名稱叫做盡議員的本分
[00:03:08.000 --> 00:03:11.000]  其實不只是那些讀了很多書
[00:03:11.000 --> 00:03:12.000]  叫什麼大狀
[00:03:12.000 --> 00:03:13.000]  大學教授
[00:03:13.000 --> 00:03:15.000]  或者掛著什麼議員名銜的人
[00:03:15.000 --> 00:03:18.000]  他們懂得爭論 愛爭論
[00:03:18.000 --> 00:03:21.000]  其實很多目不識兵的叔叔伯伯
[00:03:21.000 --> 00:03:24.000]  他們同樣都是愛爭論
[00:03:24.000 --> 00:03:25.000]  和懂得爭論
[00:03:25.000 --> 00:03:26.000]  不相信嗎
[00:03:26.000 --> 00:03:28.000]  你看維園叔叔伯伯
[00:03:28.000 --> 00:03:29.000]  維園叔叔伯伯你就知道了
[00:03:29.000 --> 00:03:31.000]  這些維園叔叔伯伯
[00:03:31.000 --> 00:03:33.000]  他們都明白搶麥克風的重要性
[00:03:33.000 --> 00:03:35.000]  只不過在那個場景裡
[00:03:35.000 --> 00:03:38.000]  他沒辦法搶到那些嘉賓手中的麥克風
