
[00:00:00.000 --> 00:00:02.000]  在這段時間我用《約翰一書》
[00:00:02.000 --> 00:00:04.000]  和大家去思想我們怎樣成為一個
[00:00:04.000 --> 00:00:05.500]  使人得志的群體
[00:00:05.500 --> 00:00:07.000]  合神心意的群體
[00:00:07.000 --> 00:00:09.000]  那我不再重複這些題目
[00:00:09.000 --> 00:00:12.500]  在上個星期八月四號
[00:00:12.500 --> 00:00:15.000]  我們要成為一個遵行主導的群體
[00:00:15.000 --> 00:00:19.000]  《約翰一書》二章三十一節提醒我們
[00:00:19.000 --> 00:00:21.500]  我們要遵行神的話語
[00:00:21.500 --> 00:00:24.000]  遵行的意思就是守住神的道
[00:00:24.000 --> 00:00:28.000]  長期的忍耐、堅持
[00:00:28.000 --> 00:00:31.000]  更加帶出了要完全信服神的意思
[00:00:31.000 --> 00:00:34.000]  在《約翰一書》提醒我們
[00:00:34.000 --> 00:00:36.500]  約翰給了一個舊的命令
[00:00:36.500 --> 00:00:38.500]  其實是新的命令
[00:00:38.500 --> 00:00:41.000]  就是耶穌給予我們彼此相愛的命令
[00:00:41.000 --> 00:00:43.500]  就是要靠著耶穌的生命的典範
[00:00:43.500 --> 00:00:45.500]  去活出來的命令
[00:00:45.500 --> 00:00:49.500]  而且更加教導我們要以愛化恨
[00:00:49.500 --> 00:00:51.000]  去愛我們的仇敵
[00:00:51.000 --> 00:00:53.500]  或者先不要說愛仇敵
[00:00:53.500 --> 00:00:54.500]  先放下自己的憤怒
[00:00:54.500 --> 00:00:58.000]  不要讓自己的心裏面有仇恨生根
[00:00:58.000 --> 00:01:01.000]  聖經教我們不可含怒到日落
[00:01:01.000 --> 00:01:05.000]  這個是上兩星期的訊息
[00:01:05.000 --> 00:01:09.000]  今天我們會再看《約翰一書》的二章十二至十七節
[00:01:09.000 --> 00:01:12.500]  我們怎樣成為一個勝過世界的群體
[00:01:12.500 --> 00:01:14.500]  就是這一次在一個危險的角落裏面
[00:01:14.500 --> 00:01:16.000]  我們願意願意走出去
[00:01:16.000 --> 00:01:18.500]  因為我們能夠勝過這個世界
[00:01:18.500 --> 00:01:20.000]  怎樣能夠勝過這個世界呢?
[00:01:20.000 --> 00:01:23.000]  我們再求聖靈打開我們的心
