
[00:00:00.000 --> 00:00:02.240]  親愛的兄弟姊妹,主內平安
[00:00:02.240 --> 00:00:04.920]  今天很高興見到你們都坐得很滿
[00:00:04.920 --> 00:00:08.200]  你們都有些新的面孔,有些熟悉的面孔
[00:00:08.200 --> 00:00:10.320]  亦都有些很久沒見的面孔
[00:00:10.320 --> 00:00:14.640]  很感謝主,我們有主日一齊敬拜
[00:00:14.640 --> 00:00:18.560]  一齊去參加今天的主日早上的崇拜
[00:00:18.560 --> 00:00:20.320]  我們滿心感謝
[00:00:20.320 --> 00:00:23.640]  之前兩次說到,我都是說彼得厚書
[00:00:23.640 --> 00:00:27.040]  第一章和第二章,今天去到第三章
[00:00:27.040 --> 00:00:32.320]  很多人都知道,彼得厚書第三章主要是說「主在來」
[00:00:32.320 --> 00:00:38.560]  「主在來」是一個我們經常聽到的題目
[00:00:38.560 --> 00:00:40.600]  我們很多時候聽到「主在來」
[00:00:40.600 --> 00:00:43.720]  我們有幾個問號
[00:00:43.720 --> 00:00:45.440]  第一就是「幾時」
[00:00:45.440 --> 00:00:47.800]  「幾時」很重要
[00:00:47.800 --> 00:00:51.360]  我們最好有個時機,讓我可以預備一下
[00:00:51.360 --> 00:00:53.840]  很多時候我們都會這樣說
[00:00:53.840 --> 00:00:58.080]  有人約你出街,你當然是約好時間地點
[00:00:58.080 --> 00:01:00.680]  不過這個年代很多人都不守時
[00:01:00.680 --> 00:01:03.440]  很多時候都約了都不出現
[00:01:03.440 --> 00:01:06.080]  或者約了到時改期都有
[00:01:06.080 --> 00:01:09.840]  因為在科技資訊的年代
[00:01:09.840 --> 00:01:11.840]  很多時候我們一個WhatsApp發出去
[00:01:11.840 --> 00:01:13.640]  「很忙,要開OT」
[00:01:13.640 --> 00:01:16.000]  「不舒服,今天不出現」
[00:01:16.000 --> 00:01:20.840]  我們今天很多時候濫用了高科技、高資訊
[00:01:20.840 --> 00:01:22.840]  過往不是的,約了人去哪裡
[00:01:22.840 --> 00:01:24.680]  在那裡等,不見不散
[00:01:24.680 --> 00:01:28.480]  你突然不出現,他可能在那裡等你幾個小時
[00:01:28.480 --> 00:01:30.960]  又找不到他,又沒有手提電話
[00:01:30.960 --> 00:01:34.120]  但是你問到「主在來」是「幾時」
[00:01:34.120 --> 00:01:36.480]  真的不是那麼容易回答你
[00:01:36.480 --> 00:01:38.200]  待會會說多一點
[00:01:38.200 --> 00:01:39.880]  第二件事就是「主在來」
[00:01:39.880 --> 00:01:42.080]  就是「與我何干」
[00:01:42.080 --> 00:01:43.600]  「與我何干」很文雅
[00:01:43.600 --> 00:01:46.160]  其實就是「關我乜嘢事」
[00:01:46.160 --> 00:01:48.240]  就是「主在來」而已,那又怎樣
[00:01:48.240 --> 00:01:50.240]  是「跟我乜關係」
[00:01:50.240 --> 00:01:54.800]  這個其實我們待會會多放一點時間去說說
[00:01:54.800 --> 00:01:59.040]  第三就是如果真的「主在來」
[00:01:59.040 --> 00:02:02.280]  又不知道「幾時」,又「很關我事」的話
[00:02:02.280 --> 00:02:05.800]  那我們有什麼「現在」可以做呢?
[00:02:05.800 --> 00:02:06.840]  「現在」
