
[00:00:00.000 --> 00:00:05.600]  當神帶領以色列人走上一條新的道路的時候,
[00:00:05.600 --> 00:00:10.700]  其實神的心意是要他們進入一個新的領域。
[00:00:10.700 --> 00:00:14.400]  過約旦河只不過是一個過程而已。
[00:00:14.400 --> 00:00:17.200]  有時候我們很喜歡講過紅海過約旦河,
[00:00:17.200 --> 00:00:19.400]  但事實上你要明白,
[00:00:19.400 --> 00:00:23.200]  過紅海過約旦河只是一個過程。
[00:00:23.200 --> 00:00:26.500]  神自中的心意是要把以色列人,
[00:00:26.500 --> 00:00:32.800]  會把神的百姓帶到神所應許的地界當中。
[00:00:32.800 --> 00:00:36.900]  所以每當我們要來憑信心跟隨神的時候,
[00:00:36.900 --> 00:00:38.900]  我們真的要求神來帶領我們,
[00:00:38.900 --> 00:00:44.200]  讓我們確信是有一個應許的地界來爲我們預備。
[00:00:44.200 --> 00:00:47.300]  但另一方面我們也看見每當我們跟從神的時候,
[00:00:47.300 --> 00:00:50.600]  我們心中也總是有一個掙扎不是嗎?
[00:00:50.600 --> 00:00:52.600]  什麼掙扎呢?
[00:00:52.600 --> 00:00:57.300]  我把它叫做應許與現實之間的一個掙扎。
[00:00:57.300 --> 00:00:59.800]  一方面你看見神的應許,
[00:00:59.800 --> 00:01:02.800]  何等的真實,何等的寶貴。
[00:01:02.800 --> 00:01:06.600]  但另一方面我們也常常看見我們現實的環境,
[00:01:06.600 --> 00:01:09.800]  好像讓我們寸步難行不是嗎?
[00:01:09.800 --> 00:01:11.500]  就像約蘇亞一樣,
[00:01:11.500 --> 00:01:15.200]  當約蘇亞準備帶領以色列人進入迦南美地的時候,
[00:01:15.200 --> 00:01:19.400]  迦南美地是以色列人所盼望要進入的應許之地。
[00:01:19.400 --> 00:01:21.600]  所以一方面很興奮的,
[00:01:21.600 --> 00:01:26.800]  但另一方面約蘇亞是面對前面多少場征戰。
[00:01:26.800 --> 00:01:28.400]  那都不是開玩笑的,
[00:01:28.400 --> 00:01:32.300]  這征戰是真的會要人命的一些征戰。
[00:01:32.300 --> 00:01:39.400]  我們看見約蘇亞要面對一場又一場現實的戰爭,
[00:01:39.400 --> 00:01:42.600]  而且特別是這段聖經是講到
[00:01:42.600 --> 00:01:47.200]  約蘇亞進了迦南地五年之後的事情。
[00:01:47.200 --> 00:01:49.700]  經過了五年的征戰,
[00:01:49.700 --> 00:01:51.800]  其實在十三章第一節,
[00:01:51.800 --> 00:01:56.700]  神對約蘇亞講了一句其實挺泄氣的話。
[00:01:56.700 --> 00:01:59.800]  神對約蘇亞說約蘇亞你年紀老邁了,ok?
[00:01:59.800 --> 00:02:05.000]  這第一句話已經很,不是太,
[00:02:05.000 --> 00:02:06.900]  說你年紀老邁了,
[00:02:06.900 --> 00:02:08.200]  然後下一句話,
[00:02:08.200 --> 00:02:13.300]  還有很多未得之地,哇,多麼令人泄氣。
[00:02:13.300 --> 00:02:15.100]  不但是約蘇亞很泄氣,
[00:02:15.100 --> 00:02:19.300]  我相信整個以色列人都很泄氣。
[00:02:19.300 --> 00:02:21.500]  我們的領袖年紀老邁,
[00:02:21.500 --> 00:02:23.100]  還有很多未得之地,
[00:02:23.100 --> 00:02:25.600]  真的令人泄氣。
[00:02:25.600 --> 00:02:32.400]  的確,應許跟現實之間還是有很大的差距。
[00:02:32.400 --> 00:02:34.300]  第二,今天在你的生命當中,
[00:02:34.300 --> 00:02:37.700]  你是否也面對同樣的掙扎?
[00:02:37.700 --> 00:02:41.600]  你是否也面對很多的未得之地呢?
[00:02:41.600 --> 00:02:42.900]  也許在你的工作上,
[00:02:42.900 --> 00:02:45.400]  你覺得你不可能再突破了。
[00:02:45.400 --> 00:02:46.900]  在你的家庭生活當中,
[00:02:46.900 --> 00:02:49.000]  你覺得不可能再恢復了。
[00:02:49.000 --> 00:02:50.200]  在你的服飾當中,
[00:02:50.200 --> 00:02:51.700]  你覺得疲倦了,
[00:02:51.700 --> 00:02:54.200]  不可能有什麼果效了。
[00:02:54.200 --> 00:02:54.900]  當然我告訴你,
[00:02:54.900 --> 00:02:57.400]  今天無論你所面對的未得之地,
[00:02:57.400 --> 00:02:59.900]  有多少未得之地,
[00:02:59.900 --> 00:03:04.300]  神說現今就是你應當勇敢向前,
[00:03:04.300 --> 00:03:08.800]  進入神所應許的新的領域的時刻到了。
[00:03:08.800 --> 00:03:10.100]  在今天在經文當中,
[00:03:10.100 --> 00:03:13.000]  迦勒就是我們最好的榜樣。
[00:03:13.000 --> 00:03:17.900]  正當以色列人在面對非常泄氣的一個環境的時候,
[00:03:17.900 --> 00:03:24.000]  迦勒卻在這個時刻很勇敢地站立起來,
[00:03:24.000 --> 00:03:28.000]  要得着那個應許的山地。
[00:03:28.000 --> 00:03:30.500]  所以我們要從今天這段經文當中,
