
[00:00:00.000 --> 00:00:03.300]  要等到五百年之後
[00:00:03.300 --> 00:00:06.060]  五百年之後,馬太福音第一章二數一節
[00:00:06.060 --> 00:00:09.500]  大家都很熟悉,馬利亞章要生一個兒子
[00:00:09.500 --> 00:00:12.000]  你要給他起名叫耶穌
[00:00:12.000 --> 00:00:18.080]  因為他要將自己的百姓從罪惡裡救出來
[00:00:18.080 --> 00:00:21.660]  如果你沒看過舊樣子,你不明白他在說些甚麼
[00:00:21.660 --> 00:00:24.220]  你以為他在說甚麼,每個字都懂
[00:00:24.220 --> 00:00:26.460]  你想跟我們說,你跟我都有罪
[00:00:26.460 --> 00:00:28.940]  於是你要需要有個救主幫我們救出
[00:00:28.940 --> 00:00:33.640]  我們可以跟他講,我們可以講四律,甚麼都可以
[00:00:33.640 --> 00:00:36.500]  但是你要知道,馬太是一個以色列人
[00:00:36.500 --> 00:00:39.800]  他在說一個much bigger things
[00:00:39.800 --> 00:00:40.960]  the coming of the kingdom of God
[00:00:40.960 --> 00:00:46.480]  他在說,但以你等到死都在等待的事情
[00:00:46.480 --> 00:00:48.800]  就是有個君王要來
[00:00:48.800 --> 00:00:50.600]  上帝國他要臨在
[00:00:50.600 --> 00:00:54.000]  而這個君王會為我們解決罪惡的問題
[00:00:54.000 --> 00:00:57.320]  這個君王不像大衛
[00:00:57.320 --> 00:00:59.240]  這個君王是大衛之子
[00:00:59.240 --> 00:01:01.160]  但是他超越大衛
[00:01:01.160 --> 00:01:07.840]  他要將我們從罪惡裡拯救出來
[00:01:07.840 --> 00:01:11.680]  這個君王怎樣將我們從罪惡裡拯救出來
[00:01:11.680 --> 00:01:13.520]  How?
[00:01:13.520 --> 00:01:16.360]  我要帶你回去看《歧視》雙胞胎
[00:01:16.360 --> 00:01:19.240]  《歧視》雙胞胎
[00:01:19.240 --> 00:01:20.680]  稍後我再告訴你
[00:01:20.680 --> 00:01:28.160]  如果你看《彈耳利書》,整本書,你會發覺這兩個故事是雙胞胎
[00:01:28.160 --> 00:01:33.400]  不過,如果你看的範圍不單止是《彈耳利書》
[00:01:33.400 --> 00:01:36.520]  如果OIA不只是《彈耳利書》
[00:01:36.520 --> 00:01:39.040]  如果OIA整本聖經的時候
[00:01:39.040 --> 00:01:45.760]  他發現原來《獅子坑》的故事有另外一個雙胞胎
[00:01:45.760 --> 00:01:50.760]  另外一個故事跟《獅子坑》的樣子是完全一樣的
[00:01:50.760 --> 00:01:53.440]  是什麼故事?
[00:01:53.440 --> 00:01:56.280]  竟然是主耶穌基督的受洗復活
[00:01:56.280 --> 00:01:57.800]  不是我說的
[00:01:57.800 --> 00:01:59.360]  是正義學者說的
[00:01:59.360 --> 00:02:00.280]  為什麼呢?
[00:02:00.280 --> 00:02:01.560]  一樣道理
[00:02:01.560 --> 00:02:04.120]  你看回他整個脈絡
[00:02:04.120 --> 00:02:06.040]  你看回他整個故事
[00:02:06.040 --> 00:02:10.320]  完全這兩個故事是雙胞胎
[00:02:10.320 --> 00:02:12.960]  但是你為什麼被人冤枉
[00:02:12.960 --> 00:02:14.960]  是因為他超乎了他的同輩
[00:02:14.960 --> 00:02:16.040]  耶穌為什麼被人冤枉?
[00:02:16.040 --> 00:02:18.680]  因為他超乎了法力塞人
[00:02:18.680 --> 00:02:20.240]  兩個人都是無過
[00:02:20.240 --> 00:02:22.920]  人家要去找他們的把柄
[00:02:22.920 --> 00:02:25.160]  然後告他們為叛亂者
[00:02:25.160 --> 00:02:27.760]  然後也有人想將他們釋放
[00:02:27.760 --> 00:02:30.560]  而他們兩個都信靠神
[00:02:30.560 --> 00:02:32.480]  兩個都被扔在坑中
[00:02:32.480 --> 00:02:35.080]  有石頭封閉著那個坑
[00:02:35.080 --> 00:02:37.040]  兩個都是早晨出來
[00:02:37.040 --> 00:02:40.720]  兩個都出坑,得到權力
[00:02:40.720 --> 00:02:42.360]  分別在哪裡?
[00:02:42.360 --> 00:02:44.680]  但以你真的沒事
[00:02:44.680 --> 00:02:49.800]  所以,你死了
[00:02:49.800 --> 00:02:51.960]  我不知道你讀聖經的時候
[00:02:51.960 --> 00:02:54.320]  有沒有這樣的感覺
[00:02:54.320 --> 00:02:57.560]  有時候讀聖經不只是看故事
[00:02:57.560 --> 00:02:58.960]  例如這幅畫
[00:02:58.960 --> 00:03:00.480]  你看到什麼?
[00:03:00.480 --> 00:03:02.640]  有隻鹿
[00:03:02.640 --> 00:03:07.600]  你看到多少隻鹿呢?
[00:03:07.600 --> 00:03:09.520]  這隻小鹿
[00:03:09.520 --> 00:03:11.520]  盲的你都看得到
[00:03:11.520 --> 00:03:15.120]  但後面還有一隻
[00:03:15.120 --> 00:03:16.000]  看聖經的時候
[00:03:16.000 --> 00:03:17.320]  很多時候都是這樣說的
[00:03:17.320 --> 00:03:21.400]  我們盯著看我們眼前的故事
[00:03:21.400 --> 00:03:25.120]  我們看不到故事背後有更大的故事
[00:03:25.120 --> 00:03:28.040]  上帝不是要我們看但以理
[00:03:28.040 --> 00:03:31.480]  上帝不是要我們看前面
[00:03:31.480 --> 00:03:35.080]  那隻鹿上帝要我們有更偉大的故事
[00:03:35.080 --> 00:03:37.080]  而所有小的故事
[00:03:37.080 --> 00:03:42.560]  都是指向更偉大的故事
[00:03:42.560 --> 00:03:43.800]  他要生一個兒子
[00:03:43.800 --> 00:03:45.480]  他的名字叫耶穌
[00:03:45.480 --> 00:03:47.080]  耶穌就是God says
[00:03:47.080 --> 00:03:48.600]  上帝是我們的拯救
[00:03:48.600 --> 00:03:50.520]  因為他要將自己的百姓
[00:03:50.520 --> 00:03:52.160]  從罪惡裡面拯救出去
[00:03:52.160 --> 00:03:53.960]  如何?
[00:03:53.960 --> 00:03:56.120]  通過他的十字架
[00:03:56.120 --> 00:03:59.560]  上帝將我們
[00:03:59.560 --> 00:04:01.880]  從罪惡裡面拯救出去
[00:04:01.880 --> 00:04:03.480]  祈書
[00:04:03.480 --> 00:04:05.560]  祈仁
[00:04:05.560 --> 00:04:06.360]  祈事
[00:04:06.360 --> 00:04:09.880]  最後祈壞
[00:04:09.880 --> 00:04:12.240]  當你去看但以理書
[00:04:12.240 --> 00:04:13.440]  1至12章的時候
[00:04:13.440 --> 00:04:17.560]  你發覺裡面很多異象
[00:04:17.560 --> 00:04:19.640]  很多願景
[00:04:19.640 --> 00:04:22.080]  第一章是整本書的罪惡
[00:04:22.080 --> 00:04:25.120]  是在介紹上帝的子民
[00:04:25.120 --> 00:04:26.960]  秘魯
[00:04:26.960 --> 00:04:27.800]  巴比倫
[00:04:27.800 --> 00:04:29.000]  一去到第二章
[00:04:29.000 --> 00:04:33.160]  一開始有一個很重要很重要很重要的異象
[00:04:33.160 --> 00:04:35.120]  當然沒有人知道為什麼
[00:04:35.120 --> 00:04:36.560]  大家都在爭論什麼?
[00:04:36.560 --> 00:04:38.280]  有一個金頭
[00:04:38.280 --> 00:04:40.120]  即是銀色的身
[00:04:40.120 --> 00:04:41.400]  然後有一個金黃色
[00:04:41.400 --> 00:04:42.960]  然後有鑽石
[00:04:42.960 --> 00:04:46.120]  然後上面有天上有塊石頭
[00:04:46.120 --> 00:04:46.680]  頂下來
[00:04:46.680 --> 00:04:48.320]  將它全部倒塌
[00:04:48.320 --> 00:04:51.000]  我不知道你如何去明白這些異象
[00:04:51.000 --> 00:04:52.240]  但是很簡單的
[00:04:52.240 --> 00:04:54.000]  其實我們拿到一個中心點就可以了
[00:04:54.000 --> 00:04:55.000]  中心點是什麼?
[00:04:55.000 --> 00:04:56.920]  列國傾覆
[00:04:56.920 --> 00:04:58.720]  臣國來臨的異象
[00:04:58.720 --> 00:05:00.480]  有一天
[00:05:00.480 --> 00:05:03.680]  所有的事情都要過去
[00:05:03.680 --> 00:05:05.680]  甚至我們應用上
[00:05:05.680 --> 00:05:07.360]  Apple會過去
[00:05:07.360 --> 00:05:08.480]  Microsoft會過去
[00:05:08.480 --> 00:05:09.520]  Google會過去
[00:05:09.520 --> 00:05:10.560]  Facebook會過去
[00:05:10.560 --> 00:05:11.600]  Instagram會過去
[00:05:11.600 --> 00:05:13.360]  一切都要過去
[00:05:13.360 --> 00:05:15.600]  所有的公司都很年輕
[00:05:15.600 --> 00:05:17.840]  只能熬很久
[00:05:17.840 --> 00:05:18.960]  這一切都要過去
