
[00:00:00.000 --> 00:00:01.320]  彭姊妹早晨
[00:00:01.320 --> 00:00:03.000]  弟兄姊妹早
[00:00:03.000 --> 00:00:03.880]  你們好嗎
[00:00:03.880 --> 00:00:04.640]  你們好嗎
[00:00:04.640 --> 00:00:06.200]  好
[00:00:06.200 --> 00:00:07.240]  天氣凍不凍
[00:00:07.240 --> 00:00:09.240]  天氣冷不冷
[00:00:09.240 --> 00:00:11.720]  有沒有冷親
[00:00:11.720 --> 00:00:12.240]  有沒有什麼
[00:00:12.240 --> 00:00:13.920]  如果冷親就不會在這裡
[00:00:13.920 --> 00:00:16.040]  有沒有賴床
[00:00:16.040 --> 00:00:18.120]  OK
[00:00:18.120 --> 00:00:20.520]  我媽媽是出了院
[00:00:20.520 --> 00:00:22.520]  我媽媽出了院
[00:00:22.520 --> 00:00:24.880]  就是想跟大家分享少少
[00:00:24.880 --> 00:00:29.280]  就是一些所謂憂慮重擔
[00:00:29.280 --> 00:00:30.840]  想跟大家分享一點
[00:00:30.840 --> 00:00:33.400]  我所謂的憂慮和重擔
[00:00:33.400 --> 00:00:36.600]  我媽媽的健康就是我的重擔
[00:00:36.600 --> 00:00:41.200]  我媽媽的健康就是我的重擔
[00:00:41.200 --> 00:00:44.320]  事實上我身體都頗疲倦的
[00:00:44.320 --> 00:00:46.800]  其實我身體都挺疲倦的
[00:00:46.800 --> 00:00:50.400]  因為我差不多每一天都要由宇景灣
[00:00:50.400 --> 00:00:55.800]  出去柴灣那裡
[00:00:55.800 --> 00:00:58.360]  其實我每天都要從宇景灣
[00:00:58.360 --> 00:01:01.160]  去差不多到柴灣那裡
[00:01:01.160 --> 00:01:03.320]  我媽媽住在柴灣
[00:01:03.320 --> 00:01:05.600]  我媽媽住在柴灣
[00:01:05.600 --> 00:01:07.760]  有很多的事需要處理
[00:01:07.760 --> 00:01:10.840]  有很多事情需要處理
[00:01:10.840 --> 00:01:11.400]  不說了
[00:01:11.400 --> 00:01:14.000]  這就是有神的恩典在當中
[00:01:14.000 --> 00:01:15.200]  不多說了
[00:01:15.200 --> 00:01:16.840]  這裡面有神的恩典在當中
[00:01:16.840 --> 00:01:18.160]  只提一件
[00:01:18.160 --> 00:01:21.160]  只看一點
[00:01:21.160 --> 00:01:26.640]  就是說我媽媽因為臥床兩個月
[00:01:26.640 --> 00:01:29.440]  因為我媽媽已經臥床兩個月了
[00:01:29.440 --> 00:01:32.480]  她差不多肌肉萎縮了
[00:01:32.480 --> 00:01:34.520]  全身差不多肌肉都萎縮了
[00:01:34.520 --> 00:01:35.840]  很硬的
[00:01:35.840 --> 00:01:37.400]  很硬
[00:01:37.400 --> 00:01:43.560]  護士就告訴我
[00:01:43.560 --> 00:01:52.320]  我媽媽開始有壓瘡的出現
[00:01:52.320 --> 00:01:53.800]  看護士就跟我說
[00:01:53.800 --> 00:01:58.000]  我媽媽已經開始有這個「入窗出現」了
[00:01:58.000 --> 00:01:59.280]  這個叫「肉倉」
[00:01:59.280 --> 00:02:01.800]  有些人就叫「壓倉」
[00:02:01.800 --> 00:02:03.880]  有些護士這樣說
[00:02:03.880 --> 00:02:06.120]  壓力的壓
[00:02:06.120 --> 00:02:10.440]  有的也管這個叫做「壓窗」
[00:02:10.440 --> 00:02:14.680]  我突然間想起
[00:02:14.680 --> 00:02:17.960]  我突然想起
[00:02:17.960 --> 00:02:22.720]  就是有位弟兄之前
[00:02:22.720 --> 00:02:27.640]  送了很多盒醫療用品給教會
[00:02:27.640 --> 00:02:28.360]  我突然想起
[00:02:28.360 --> 00:02:32.560]  之前有一位弟兄送了很多盒的醫療用品給教會
[00:02:32.560 --> 00:02:35.880]  我拿了一盒
[00:02:35.880 --> 00:02:38.000]  但是在教會裝修的時候
[00:02:38.000 --> 00:02:40.320]  就扔掉其他的東西了
[00:02:40.320 --> 00:02:42.160]  但是在教會裝修的時候
