
[00:00:00.000 --> 00:00:04.560]  多謝神給我有機會繼續和大家分享
[00:00:04.560 --> 00:00:06.560]  是已忽所書
[00:00:06.560 --> 00:00:10.640]  第四章
[00:00:10.640 --> 00:00:17.380]  我的祈求是聖靈親自作為我們的導師
[00:00:17.380 --> 00:00:20.160]  而不是大家聽我的講道
[00:00:20.160 --> 00:00:22.400]  讓我們再次低頭祈禱
[00:00:22.400 --> 00:00:25.380]  祈求祢安靜我們的心
[00:00:26.300 --> 00:00:30.220]  教導我們怎樣可以 怎樣來到敬拜祢
[00:00:30.220 --> 00:00:32.740]  求聖靈教導我們
[00:00:32.740 --> 00:00:34.280]  做我們的導師
[00:00:34.280 --> 00:00:37.540]  讓我們明白祢自己的話語
[00:00:37.540 --> 00:00:40.220]  祈禱是奉主耶穌的名字
[00:00:40.220 --> 00:00:46.520]  今天我繼續講到已忽所書
[00:00:46.520 --> 00:00:51.380]  剛才讀的經文是從第四章第一節到第六節
[00:00:51.380 --> 00:00:57.280]  今天我覆蓋的內容一直是到第十六節
[00:00:57.280 --> 00:01:02.060]  但我的中心就在第一節到第六節
[00:01:02.060 --> 00:01:05.620]  我希望大家能夠打開你自己的聖經
[00:01:05.620 --> 00:01:07.300]  如果你有帶聖經的話
[00:01:07.300 --> 00:01:09.340]  或者打開你的手機
[00:01:09.340 --> 00:01:12.780]  打開已忽所書第四章
[00:01:12.780 --> 00:01:18.700]  我們會希望大家一邊聽一邊讀
[00:01:18.700 --> 00:01:21.880]  亦都一路能夠來思考
[00:01:21.880 --> 00:01:27.680]  我將今天的題目分為四部份
[00:01:27.680 --> 00:01:33.820]  第一部份是我們想一想教會合一的意義是甚麼
[00:01:33.820 --> 00:01:40.220]  第二件事就是講到如何維繫教會的合一
[00:01:40.220 --> 00:01:47.580]  第三方面是教會合一在有甚麼不變的本質
[00:01:47.580 --> 00:01:53.460]  然後第四是講到教會如何在合一裏能夠增長
[00:01:53.460 --> 00:02:06.280]  剛才所讀的經文大家是用和合盤來讀
[00:02:06.280 --> 00:02:10.520]  在我準備今天的講道的時候
[00:02:10.520 --> 00:02:14.260]  我亦都是參考其他的聖經版本
[00:02:14.260 --> 00:02:17.860]  其中一個版本是呂鎮忠的譯本
[00:02:17.860 --> 00:02:23.620]  我覺得是非常合適在這裏跟大家講
[00:02:23.620 --> 00:02:25.260]  讓我讀一次
[00:02:25.260 --> 00:02:32.740]  「所以我為主的緣故做囚犯的勸你們
[00:02:32.740 --> 00:02:40.060]  行事為人要對得起你們所蒙的呼召」
[00:02:40.060 --> 00:02:45.020]  為何我喜歡這個譯本其中有幾個原因
[00:02:45.020 --> 00:02:50.500]  在英文的聖經裏面有「therefore」即是「所以」
[00:02:50.500 --> 00:02:58.200]  「所以」這兩個字將第四章連接起以上的經文
[00:02:58.200 --> 00:03:04.020]  就是說從第一章到第三章是一個大分段
[00:03:04.020 --> 00:03:08.640]  從第四章到第六章是另一個分段
[00:03:08.640 --> 00:03:12.640]  另外他提醒了我一件事
[00:03:12.640 --> 00:03:14.400]  這個第一節
[00:03:14.400 --> 00:03:18.640]  請你回到剛才的講道
[00:03:18.640 --> 00:03:26.960]  這裏講到神對我們有一個呼召在此
[00:03:26.960 --> 00:03:34.520]  而你們需要在呼召和我們行事為人
[00:03:34.520 --> 00:03:37.560]  有一個平衡在此
[00:03:37.560 --> 00:03:43.760]  「你們行事為人要對得起你們所蒙的呼召」
[00:03:43.760 --> 00:03:47.300]  即是你一邊放在神的救恩在左手邊
[00:03:47.300 --> 00:03:49.920]  另一方面你考慮一下
[00:03:49.920 --> 00:03:56.340]  你自己的行事為人是否真的對得起你所得到的救恩
[00:03:56.340 --> 00:04:06.400]  因此我希望能夠重複一下
[00:04:06.400 --> 00:04:08.400]  重點性地重複一下
[00:04:08.400 --> 00:04:13.440]  從第一章到第三章的一些重點
[00:04:13.440 --> 00:04:18.320]  因為我相信如果我們更加了解明白
[00:04:18.320 --> 00:04:22.080]  救恩對我們的重要性的話
[00:04:22.080 --> 00:04:30.160]  我們亦都會能夠相應地回應神對救恩的那種寶貴
[00:04:30.160 --> 00:04:33.700]  我們相對會懂得怎樣去回應祂
[00:04:33.700 --> 00:04:37.160]  「行事為人」是中文的一個很長的翻譯
[00:04:37.160 --> 00:04:40.520]  英文就是Walk
[00:04:40.520 --> 00:04:46.440]  就是我們信了甚麼我們應該怎樣去走
[00:04:46.440 --> 00:04:51.280]  在呼召裏面我們想到幾樣東西
[00:04:51.280 --> 00:04:56.640]  從第一章到第三章
