
[00:00:00.000 --> 00:00:02.000]  好 各位姐妹們 早安
[00:00:02.000 --> 00:00:07.420]  我們做基督徒呢 究竟在真理裏面呢
[00:00:07.420 --> 00:00:13.120]  就是如果你的心靈不是一直這樣轉化、改變呢
[00:00:13.120 --> 00:00:16.640]  我們由信主到現在呢 可能就是
[00:00:16.640 --> 00:00:21.660]  哦 沒有動過的 挺好的 有教會 有崇拜
[00:00:21.660 --> 00:00:26.040]  或者有團契 有我們的探訪
[00:00:26.040 --> 00:00:30.320]  全世界的基督徒呢 可能都是比較安於一個
[00:00:30.320 --> 00:00:34.560]  就算西方社會都是呢 妥妥當當
[00:00:34.560 --> 00:00:37.640]  因為呢 你知道啦 特別香港人 很忙的
[00:00:37.640 --> 00:00:41.860]  香港人那些電梯不是站的 走的 走的
[00:00:41.860 --> 00:00:45.000]  還有呢 你如果多事 阻礙一下他 就「唧唧唧」
[00:00:45.000 --> 00:00:47.480]  就是覺得你 走開啦
[00:00:47.480 --> 00:00:50.200]  你有沒有試過大家下樓 叫東西吃啊?
[00:00:50.200 --> 00:00:52.360]  啊 你腦袋突然間空白的時候呢
[00:00:52.360 --> 00:00:55.720]  你快點走到後面 因為呢 真是不要阻礙別人謀生
[00:00:55.720 --> 00:00:59.640]  都是的 別人已經想好了 你還在「唧唧唧唧唧唧」
[00:00:59.640 --> 00:01:02.780]  省省吧 這樣是吧
[00:01:02.780 --> 00:01:06.200]  在衝亡的節奏裏面呢
[00:01:06.200 --> 00:01:09.660]  我們有家庭 我們有工作
[00:01:09.660 --> 00:01:12.340]  老闆不是人那樣品的嘛
[00:01:12.340 --> 00:01:14.820]  沒那麼多事 總之做完那些事
[00:01:14.820 --> 00:01:19.040]  你知道我們香港呢 講求效率 都挺拼命的
[00:01:19.040 --> 00:01:21.000]  那我們做基督徒呢
[00:01:21.000 --> 00:01:24.960]  在這些這麼大的工作壓力 照顧家庭的擔子裏面
[00:01:24.960 --> 00:01:30.040]  教會裏面經常講宣教啊 衝衝出去啊 傳福音啊
[00:01:30.040 --> 00:01:33.080]  我們有時候會有心無力的
[00:01:33.080 --> 00:01:37.440]  我記得我去年六月 熱天的時候來港島呢
[00:01:37.440 --> 00:01:41.480]  就叫大家不要做隔夜油炸鬼
[00:01:41.480 --> 00:01:44.400]  今天我們利用這個約伯記呢
[00:01:44.400 --> 00:01:47.200]  很想在我們基督徒生命裏面呢
[00:01:47.200 --> 00:01:51.600]  去沉溯一下 想一下 檢視一下自己
[00:01:51.600 --> 00:01:56.680]  究竟信的神呢 和我的關係 自己的關係
[00:01:56.680 --> 00:01:59.920]  是去到什麼光景呢
[00:01:59.920 --> 00:02:02.400]  那麼坦白一點吧
[00:02:02.400 --> 00:02:05.400]  基本上我奉獻了 每個禮拜回來
[00:02:05.400 --> 00:02:08.200]  你還想我怎樣啊 是不是啊
