
[00:00:00.000 --> 00:00:01.560]  各位弟兄姐妹好
[00:00:01.560 --> 00:00:07.480]  我們今天再看約翰一書的一段經文
[00:00:07.480 --> 00:00:09.400]  講到彼此相愛
[00:00:09.400 --> 00:00:12.440]  但這個相愛是在神的恩典裏面
[00:00:12.440 --> 00:00:15.000]  絕對不是我們可以自己做到的
[00:00:15.000 --> 00:00:17.000]  我們首先有一個禱告
[00:00:17.000 --> 00:00:19.280]  天父我們多謝祢
[00:00:19.280 --> 00:00:21.560]  讓我們今天早上一同去敬拜祢
[00:00:21.560 --> 00:00:23.320]  一同學習祢的話語
[00:00:23.320 --> 00:00:26.520]  我們很感恩因為祢給我們有美好的生命
[00:00:26.520 --> 00:00:28.360]  能夠去彼此相愛
[00:00:28.360 --> 00:00:30.200]  願意我們一同學習
[00:00:30.200 --> 00:00:32.120]  祈禱奉主耶穌基督的名
[00:00:32.120 --> 00:00:33.120]  阿們
[00:00:33.120 --> 00:00:36.360]  我相信大家都聽過
[00:00:36.360 --> 00:00:39.040]  十六世紀一位很出名的藝術家
[00:00:39.040 --> 00:00:40.480]  達文西
[00:00:40.480 --> 00:00:44.600]  他有一幅畫大家應該會有印象
[00:00:44.600 --> 00:00:46.280]  就是《最後晚餐》
[00:00:46.280 --> 00:00:47.360]  主耶穌坐在那裏
[00:00:47.360 --> 00:00:50.720]  有些門徒在他旁邊
[00:00:50.720 --> 00:00:53.040]  原來這件事情
[00:00:53.040 --> 00:00:54.960]  當達文西未畫這幅畫
[00:00:54.960 --> 00:00:57.040]  有一個故事
[00:00:57.040 --> 00:01:00.640]  就是達文西和一個藝術家的同事
[00:01:00.640 --> 00:01:02.400]  有很大的爭執
[00:01:02.400 --> 00:01:03.880]  鬧得很不開心
[00:01:03.880 --> 00:01:06.800]  達文西很痛苦
[00:01:06.800 --> 00:01:10.600]  他很憤怒這位同事
[00:01:10.600 --> 00:01:13.920]  於是他畫這幅畫的時候
[00:01:13.920 --> 00:01:16.480]  他用了這個人物的臉
[00:01:16.480 --> 00:01:19.480]  他的樣子畫在尤大身上
[00:01:19.480 --> 00:01:20.520]  就是說
[00:01:20.520 --> 00:01:24.040]  希望他發洩他的報復心
[00:01:24.040 --> 00:01:27.120]  說以後人們看過這幅畫
[00:01:27.120 --> 00:01:32.040]  鄙視尤大就是這個人物
[00:01:32.040 --> 00:01:36.280]  於是出賣耶穌尤大的樣子
[00:01:36.280 --> 00:01:37.440]  人們一看
[00:01:37.440 --> 00:01:38.480]  就是那個人
[00:01:38.480 --> 00:01:40.120]  一看就認得到
[00:01:40.120 --> 00:01:42.400]  已經令他非常尷尬
[00:01:42.400 --> 00:01:43.400]  然後
[00:01:43.400 --> 00:01:45.440]  達文西繼續畫這幅畫
[00:01:45.440 --> 00:01:46.320]  一直畫的時候
[00:01:46.320 --> 00:01:48.440]  畫到主耶穌的樣子
[00:01:48.440 --> 00:01:50.960]  但當他畫到主耶穌的容貌的時候
[00:01:50.960 --> 00:01:53.240]  他畫到畫極都畫不到
[00:01:53.240 --> 00:01:55.160]  就是毫無進展
[00:01:55.160 --> 00:01:56.560]  他明白了
[00:01:56.560 --> 00:01:59.640]  耶穌基督一個這樣的人物
[00:01:59.640 --> 00:02:00.720]  這麼愛的人物
[00:02:00.720 --> 00:02:01.880]  他根本
[00:02:01.880 --> 00:02:03.560]  那個下仇恨的心
[00:02:03.560 --> 00:02:05.400]  沒有辦法畫下去
[00:02:05.400 --> 00:02:09.280]  於是他就刪除了尤大那幅畫
[00:02:09.280 --> 00:02:10.680]  就是那個臉的臉容
[00:02:10.680 --> 00:02:12.360]  再畫多一次尤大
[00:02:12.360 --> 00:02:14.400]  當然不就是這個樣子
[00:02:14.400 --> 00:02:16.480]  然後才很工整的
[00:02:16.480 --> 00:02:18.800]  畫到耶穌基督的臉貌出來
[00:02:18.800 --> 00:02:20.280]  就成為了今天
[00:02:20.280 --> 00:02:24.200]  歷代都稱讚的一幅作品
[00:02:24.200 --> 00:02:26.600]  這個故事告訴我們
[00:02:26.600 --> 00:02:30.240]  如果我們願意擺下仇恨
[00:02:30.240 --> 00:02:32.320]  高舉耶穌基督的愛
[00:02:32.320 --> 00:02:35.520]  這個帶來很大的美善
[00:02:35.520 --> 00:02:37.040]  我們很多時候都是這樣
[00:02:37.040 --> 00:02:40.120]  人經過一些爭拗
