
[00:00:00.000 --> 00:00:06.000]  弟兄姊妹,我相信大家應該都聽過這個浪子的比喻是吧?
[00:00:06.000 --> 00:00:10.000]  那在這個浪子的比喻這個故事當中
[00:00:10.000 --> 00:00:16.000]  你覺得哪一個孩子比較好呢?
[00:00:16.000 --> 00:00:21.000]  如果是你,你想做哪一個孩子呢?
[00:00:21.000 --> 00:00:25.000]  你心裏應該有個答案是吧?
[00:00:25.000 --> 00:00:28.000]  那兩個兒子呢,如果大家有注意的話
[00:00:28.000 --> 00:00:31.000]  這兩個孩子都有一些變化
[00:00:31.000 --> 00:00:36.000]  一個呢,你可以說是由壞變成好
[00:00:36.000 --> 00:00:40.000]  那另外一個呢,就像本來好像好好的
[00:00:40.000 --> 00:00:42.000]  但是後來好像又改變了
[00:00:42.000 --> 00:00:46.000]  但是不變的呢,就是那個父親
[00:00:46.000 --> 00:00:49.000]  所以我今天集中來講這個父親
[00:00:49.000 --> 00:00:51.000]  因爲可能比較容易講
[00:00:51.000 --> 00:00:55.000]  那不管面對怎樣的兒女
[00:00:55.000 --> 00:01:00.000]  這個父親呢,我看到他有一顆爲父的心
[00:01:00.000 --> 00:01:05.000]  那他的爲父的心反映在哪一些方面呢?
[00:01:05.000 --> 00:01:11.000]  我總結了有五點關於這個父親的爲父的心
[00:01:11.000 --> 00:01:13.000]  那首先呢,第一點
[00:01:13.000 --> 00:01:16.000]  我覺得這個父親呢,他是一個放手
[00:01:16.000 --> 00:01:19.000]  尊重兒女的選擇的一個父親
[00:01:19.000 --> 00:01:24.000]  那我們一般,特別像我們中國人的家長呢
[00:01:24.000 --> 00:01:26.000]  我們經常會跟孩子說
[00:01:26.000 --> 00:01:31.000]  孩子孩子,你要聽我的話,我這是爲你好
[00:01:31.000 --> 00:01:37.000]  那也許有的時候,我們說的真的是爲孩子好
[00:01:37.000 --> 00:01:41.000]  但是很多時候呢,其實可能也是我們爲了
[00:01:41.000 --> 00:01:47.000]  期望兒女來滿足我們自己父母的一種虛榮心
[00:01:47.000 --> 00:01:49.000]  比如說你可能,如果你的孩子說
[00:01:49.000 --> 00:01:53.000]  我要想去唸藝術,要想去唸音樂
[00:01:53.000 --> 00:01:56.000]  你就是說,這些工作賺不了錢
[00:01:56.000 --> 00:02:00.000]  你還是去唸個醫生,念個律師
[00:02:00.000 --> 00:02:04.000]  那故事當中這個父親呢,他面對這個小兒子
[00:02:04.000 --> 00:02:10.000]  他生前就跟爸爸說,請你把我應得的家業分給我
[00:02:10.000 --> 00:02:14.000]  那他在爸爸還沒死,他就提出要分家產
[00:02:14.000 --> 00:02:18.000]  可是這個爸爸呢,竟然二話不說
[00:02:18.000 --> 00:02:21.000]  就把這個財產來分給他們
[00:02:21.000 --> 00:02:24.000]  如果是你,你會這樣做嗎?
[00:02:24.000 --> 00:02:26.000]  偉雄,如果你的孩子這樣跟你說
[00:02:26.000 --> 00:02:31.000]  你會有什麼反應?揍他一頓
[00:02:31.000 --> 00:02:33.000]  那按照猶太人的習俗呢
[00:02:33.000 --> 00:02:37.000]  長子是可以得兩份的家業
[00:02:37.000 --> 00:02:42.000]  小兒子呢,應得的家業呢,大概就是三分之一
[00:02:42.000 --> 00:02:44.000]  那一般來說,這些做父親的
[00:02:44.000 --> 00:02:49.000]  他們會把家業預先就劃分好
[00:02:49.000 --> 00:02:54.000]  但是他還是不會在生前就把這個家業分給孩子
[00:02:54.000 --> 00:02:57.000]  直到他臨死之前
[00:02:57.000 --> 00:03:02.000]  所以按道理呢,這個父親他可以不聽這個小兒子的話
[00:03:02.000 --> 00:03:04.000]  不分這個家業
[00:03:04.000 --> 00:03:06.000]  但是呢,也許這個爸爸呢
[00:03:06.000 --> 00:03:11.000]  他看到兒子離開家的心,已經很堅定
[00:03:11.000 --> 00:03:16.000]  就算他不分呢,這個孩子的心,他也留不住了
[00:03:16.000 --> 00:03:20.000]  我們有一句話說,勉強是沒有幸福的,對不對?
[00:03:20.000 --> 00:03:25.000]  有時候,即使你知道孩子的選擇是錯的
[00:03:25.000 --> 00:03:27.000]  但是如果你跟他說完了以後
[00:03:27.000 --> 00:03:31.000]  提醒了以後,他還是不聽,堅持要這樣做的話
