
[00:00:00.000 --> 00:00:01.560]  第五間教會
[00:00:01.560 --> 00:00:03.220]  撒迪
[00:00:03.220 --> 00:00:08.720]  撒迪和最後的老底家是被上帝罵得最嚴重的
[00:00:08.720 --> 00:00:12.660]  你要寫信給撒迪教會的使者說
[00:00:12.660 --> 00:00:16.660]  哪有上帝的七靈和七火星這樣說
[00:00:16.660 --> 00:00:18.660]  我知道你的行為
[00:00:18.660 --> 00:00:21.220]  就是名義上你是活的
[00:00:21.220 --> 00:00:23.560]  實際上你是死的
[00:00:23.560 --> 00:00:28.860]  名義上可能當時社會地位都頗高的
[00:00:28.860 --> 00:00:30.860]  但實際上你是死的
[00:00:30.860 --> 00:00:35.560]  你要警醒兼顧那些剩下快要死的
[00:00:35.560 --> 00:00:40.560]  因為我發現你的行為在我上帝面前沒有一樣是完全
[00:00:40.560 --> 00:00:43.560]  這個完全不是說完美的
[00:00:43.560 --> 00:00:45.560]  所謂完全就是沒有成熟
[00:00:45.560 --> 00:00:47.560]  就是說其實這個人
[00:00:47.560 --> 00:00:48.560]  你生了一個嬰兒
[00:00:48.560 --> 00:00:50.560]  這個嬰兒會曉成長的
[00:00:50.560 --> 00:00:52.560]  他沒有一樣完全
[00:00:52.560 --> 00:00:54.560]  一個嬰兒不會成長
[00:00:54.560 --> 00:00:56.560]  一個嬰兒是沒有生命的
[00:00:56.560 --> 00:00:59.560]  但是在這間這麼差的撒迪教會裏面
[00:00:59.560 --> 00:01:01.560]  也有正一點點
[00:01:01.560 --> 00:01:03.560]  上帝仍然呼召他們
[00:01:03.560 --> 00:01:05.560]  叫他們去迴轉
[00:01:05.560 --> 00:01:09.560]  所以要記得你所領受所聽見的
[00:01:09.560 --> 00:01:12.560]  要遵守又要悔改
[00:01:12.560 --> 00:01:15.560]  悔改這個字基本上每間教會都是不斷重覆的
[00:01:15.560 --> 00:01:17.560]  就是你壞的那些
[00:01:17.560 --> 00:01:21.560]  我覺得上帝你要真的欣賞上帝那種憐憫
[00:01:21.560 --> 00:01:26.560]  你記得上次我們說彼得求書最後彼得最後最後那樣東西
[00:01:26.560 --> 00:01:27.560]  他就死了
[00:01:27.560 --> 00:01:28.560]  他說甚麼呢
[00:01:28.560 --> 00:01:32.560]  他說一日如千年千年如一日
[00:01:32.560 --> 00:01:34.560]  他說不是上帝不回來審判
[00:01:34.560 --> 00:01:38.560]  而是上帝有這個憐憫
[00:01:38.560 --> 00:01:41.560]  希望眾人都會悔改
[00:01:41.560 --> 00:01:44.560]  你去到啟示號這個悔改這個字眼
[00:01:44.560 --> 00:01:46.560]  真是不斷的重覆
[00:01:46.560 --> 00:01:51.560]  你若不警醒我必如賊一樣來到
[00:01:51.560 --> 00:01:53.560]  我幾時來到你那裏
[00:01:53.560 --> 00:01:54.560]  你絕不會知道
[00:01:54.560 --> 00:02:00.560]  然而再殺敵你還有幾位未曾沾污自己衣服的
[00:02:00.560 --> 00:02:03.560]  他們會穿白衣與我同行
[00:02:03.560 --> 00:02:06.560]  因為他們是配穿的
[00:02:06.560 --> 00:02:09.560]  如果你就這樣讀啟示號
[00:02:09.560 --> 00:02:10.560]  不讀保羅書信
[00:02:10.560 --> 00:02:14.560]  你真是以為我們得救是憑行為的
[00:02:14.560 --> 00:02:18.560]  但是我們整體看完整本新聖經
[00:02:18.560 --> 00:02:20.560]  我們知道是憑恩典
[00:02:20.560 --> 00:02:22.560]  是因順稱義的
[00:02:22.560 --> 00:02:27.560]  不過這個信心是有極其大的生命力
[00:02:27.560 --> 00:02:31.560]  以至這個信心是會創造一種生命
[00:02:31.560 --> 00:02:35.560]  是配穿上帝最後給我們的白衣
[00:02:35.560 --> 00:02:37.560]  你這樣都基督徒
[00:02:37.560 --> 00:02:39.560]  這件事是不會發生的
[00:02:39.560 --> 00:02:42.560]  當上帝來審判這個世界的人的時候
[00:02:42.560 --> 00:02:45.560]  接著說基督徒的名冊出來了
[00:02:45.560 --> 00:02:48.560]  不會有人想說講你都可以
[00:02:48.560 --> 00:02:50.560]  你知道我們有時會說
[00:02:50.560 --> 00:02:52.560]  是呀因為因順稱義嘛傻仔
[00:02:52.560 --> 00:02:54.560]  不會發生的
[00:02:54.560 --> 00:02:56.560]  即是你去到名字走出去
[00:02:56.560 --> 00:02:59.560]  是呀是呀我都知道他是基督徒
[00:02:59.560 --> 00:03:01.560]  他就是和我沒有不同
[00:03:01.560 --> 00:03:02.560]  我那時不斷冤枉他
[00:03:02.560 --> 00:03:03.560]  他是抵入去的
[00:03:03.560 --> 00:03:07.560]  我們怎樣去平衡其實無法平衡
[00:03:07.560 --> 00:03:09.560]  是兩者都要兼備
[00:03:09.560 --> 00:03:10.560]  兩者都要兼容
[00:03:10.560 --> 00:03:14.560]  我們的得救完全是因著順
[00:03:14.560 --> 00:03:15.560]  靠著因緣因著順
[00:03:15.560 --> 00:03:17.560]  但是另外一個
[00:03:17.560 --> 00:03:21.560]  這個信心是極其有大力的
[00:03:21.560 --> 00:03:24.560]  得勝的必穿白衣
[00:03:24.560 --> 00:03:25.560]  你也不亦
[00:03:25.560 --> 00:03:28.560]  我也不從生命冊上逃去他的名字
[00:03:28.560 --> 00:03:33.560]  我要在我父面前和我父眾使者面前
[00:03:33.560 --> 00:03:35.560]  宣認他的名
[00:03:35.560 --> 00:03:38.560]  你又不要有些人會用這節聖經說
[00:03:38.560 --> 00:03:41.560]  喂喂那個名冊上的名字還可以逃的嗎
[00:03:41.560 --> 00:03:43.560]  不是上帝有本生命冊嗎
[00:03:43.560 --> 00:03:45.560]  即是上帝揀選了我就不會逃
[00:03:45.560 --> 00:03:49.560]  但你不可以將系統神學和聖經神學兩個混在一起
[00:03:49.560 --> 00:03:50.560]  這個講的是聖經神學
[00:03:50.560 --> 00:03:52.560]  即是在畫圖畫給你聽
[00:03:52.560 --> 00:03:54.560]  你不要以為你自己是
[00:03:54.560 --> 00:03:56.560]  上帝可以將你的名除去
[00:03:56.560 --> 00:03:58.560]  或者因為你不悔改
[00:03:58.560 --> 00:04:01.560]  因為你不忠心於他
[00:04:01.560 --> 00:04:02.560]  其實你與他無分
[00:04:02.560 --> 00:04:04.560]  這個是用聖經神學去看的
[00:04:04.560 --> 00:04:10.560]  凡有耳朵的都應當聽聖靈向眾教會所說的話
[00:04:10.560 --> 00:04:15.560]  你要寫信給非拉鐵非教會的使者說
[00:04:15.560 --> 00:04:19.560]  那神聖真實的拿著大衛約時的
