
[00:00:00.000 --> 00:00:04.800]  各位電影節目的早上,大家好嗎?
[00:00:04.800 --> 00:00:10.440]  感謝天父又讓我們在這裡相聚
[00:00:10.440 --> 00:00:15.160]  上一次,我們前兩星期跟大家說到
[00:00:15.160 --> 00:00:17.680]  面對大風暴,是不是?
[00:00:17.680 --> 00:00:20.680]  其實我們現在這個世界都面對著一個
[00:00:20.680 --> 00:00:23.720]  大的疫情的風暴
[00:00:23.720 --> 00:00:27.600]  風暴去到今天的情況是怎樣呢?
[00:00:27.600 --> 00:00:30.280]  這個數字都是昨天的
[00:00:30.280 --> 00:00:37.600]  昨天全球確診的數字是8萬4117人
[00:00:37.600 --> 00:00:41.760]  有個案的國家共有56個
[00:00:41.760 --> 00:00:44.480]  甚至令到我們看到
[00:00:44.480 --> 00:00:47.080]  令到南韓和其他的國家
[00:00:47.080 --> 00:00:50.760]  突然之間都有一個措手不及
[00:00:50.760 --> 00:00:54.200]  似乎這些風暴未有減弱
[00:00:54.200 --> 00:00:56.320]  還更加厲害多些
[00:00:56.320 --> 00:00:59.920]  仍然有很多人在受苦裏面
[00:00:59.920 --> 00:01:04.000]  惶恐裏面生活著
[00:01:04.000 --> 00:01:06.120]  上一次和大家分享的就是
[00:01:06.120 --> 00:01:09.120]  我們在這些困難,在這些風暴裏面
[00:01:09.120 --> 00:01:11.880]  最大的風暴是我們自己的內心裏面這個風暴
[00:01:11.880 --> 00:01:14.200]  惶恐、不安
[00:01:14.200 --> 00:01:16.360]  未能夠依靠神
[00:01:16.360 --> 00:01:18.480]  我們學習的功課是
[00:01:18.480 --> 00:01:21.240]  我們自己不能夠救自己
[00:01:21.240 --> 00:01:25.800]  所以我們要呼求神的拯救
[00:01:25.800 --> 00:01:30.720]  而今天我們看剛才主席和我們讀的經文
[00:01:30.720 --> 00:01:34.680]  這段經文其實是在歷代之下
[00:01:34.680 --> 00:01:38.520]  七章,這裏記載著前後記載著甚麼呢?
[00:01:38.520 --> 00:01:40.800]  就是所羅門王,我們會很認識
[00:01:40.800 --> 00:01:42.400]  大衛的兒子
