
[00:00:00.000 --> 00:00:02.000]  (主席) 大家好 各位媒體朋友 早安
[00:00:02.000 --> 00:00:08.000]  (主席) 今天我們會以C篇23篇作為我們港島領袖的訊息
[00:00:08.000 --> 00:00:14.000]  (主席) 有少少抱歉 因為這個其實是在我們之前一個禮拜的崇拜
[00:00:14.000 --> 00:00:17.000]  (主席) 已經開始了的港島的系列
[00:00:17.000 --> 00:00:21.000]  (主席) 上一次已經講了C篇23篇的第一和第二節
[00:00:21.000 --> 00:00:26.000]  (主席) 那次是甚麼時候呢? 就是剛剛山竹颱風來的那個禮拜
[00:00:26.000 --> 00:00:30.000]  (主席) 星期六晚堂我們可以照常舉行
[00:00:30.000 --> 00:00:35.000]  (主席) 但是星期日的三堂的崇拜就因為颱風取消了
[00:00:35.000 --> 00:00:39.000]  (主席) 所以我想問一問特定節目有沒有機會之前上網看回
[00:00:39.000 --> 00:00:45.000]  (主席) 或者你看過一個文字記錄 看了上一次第一講的講對
[00:00:45.000 --> 00:00:48.000]  (主席) 有沒有哪位特定節目 或者你那星期六晚回來聽過
[00:00:48.000 --> 00:00:50.000]  (主席) 都有部份
[00:00:50.000 --> 00:00:53.000]  (主席) 所以不好意思 我一會兒會很快的和大家有少少的溫習
[00:00:53.000 --> 00:00:56.000]  (主席) 看看第一和第二節的一些重點的訊息
[00:00:56.000 --> 00:01:01.000]  (主席) 如果你想詳細一點 你可以上教會的網頁 都可以看得到的
[00:01:01.000 --> 00:01:06.000]  (主席) 但是這個還不是最重要 最重要的是我想問一下
[00:01:06.000 --> 00:01:11.000]  (主席) 有沒有哪一位是可以背了C篇23篇的? 我們當中的兄姊妹
[00:01:11.000 --> 00:01:15.000]  (主席) 這個比聽我上個禮拜上次的訊息還要多
[00:01:15.000 --> 00:01:21.000]  (主席) 最重要的是你背了23篇 你能夠將神的話藏在你的生命裏面
[00:01:21.000 --> 00:01:26.000]  (主席) 我相信23篇是很多基督徒都很喜歡的一篇詩篇
[00:01:26.000 --> 00:01:30.000]  (主席) 甚至有很多的音樂家 他們將C篇23篇的歌詞
[00:01:30.000 --> 00:01:33.000]  (主席) 來到去譜成很多好聽的詩歌
[00:01:33.000 --> 00:01:35.000]  (主席) 所以如果你記不到經文都不要緊
[00:01:35.000 --> 00:01:40.000]  (主席) 你記下一些詩歌 可能你喜歡唱的一些23篇的詩歌
[00:01:40.000 --> 00:01:44.000]  (主席) 都能夠成為在你的信仰 在你的生活裏面
[00:01:44.000 --> 00:01:49.000]  (主席) 我相信神會透過C篇23篇來幫助到你 祝福到你
[00:01:49.000 --> 00:01:53.000]  (主席) 如果是這樣 我們趁這個機會 希望你今天還未背得到
[00:01:53.000 --> 00:01:56.000]  (主席) 你可以下次我會再講C篇23篇的時候
