
[00:00:00.000 --> 00:00:06.000]  我想讓大家在座的都是奉公守法的居民
[00:00:06.000 --> 00:00:09.000]  我想大家想像一下如果你犯了嚴重的罪行
[00:00:09.000 --> 00:00:11.000]  甚至被判死刑
[00:00:11.000 --> 00:00:16.000]  不過刑期是一年之後才執行
[00:00:16.000 --> 00:00:17.000]  我想大家想一想
[00:00:17.000 --> 00:00:19.000]  在這段時間裏面你沒得上訴
[00:00:19.000 --> 00:00:25.000]  在等候刑罰來臨之前的那段時間
[00:00:25.000 --> 00:00:26.000]  大家會有什麼感覺?
[00:00:26.000 --> 00:00:31.000]  大家如何生活在這一年的裏面呢?
[00:00:31.000 --> 00:00:35.000]  你會不會做一些事去嘗試扭轉這個局面
[00:00:35.000 --> 00:00:44.000]  還是無助地、恐懼地等候這個死的來臨呢?
[00:00:44.000 --> 00:00:45.000]  不要說真實經歷
[00:00:45.000 --> 00:00:48.000]  我相信想一想都覺得很恐怖,對不對?
[00:00:48.000 --> 00:00:53.000]  不過這個恐怖卻是真實地發生在當日
[00:00:53.000 --> 00:00:56.000]  以斯帖時代的尤大人
[00:00:56.000 --> 00:00:58.000]  我想和大家一起看看這個故事
[00:00:58.000 --> 00:01:02.000]  用這個故事我們去更加體驗神的信實、慈愛
[00:01:02.000 --> 00:01:05.000]  以及祂的憐憫
[00:01:05.000 --> 00:01:08.000]  如果大家記得的話
[00:01:08.000 --> 00:01:13.000]  大家記得在正月十三日
[00:01:13.000 --> 00:01:15.000]  就是一月十三日
[00:01:15.000 --> 00:01:19.000]  哈曼通過抽籤的形式
[00:01:19.000 --> 00:01:25.000]  決定哪一天去殺盡當時在波斯閣的所有尤大人
[00:01:25.000 --> 00:01:28.000]  抽籤出來的日子就是亞達月十三日
[00:01:28.000 --> 00:01:30.000]  即是十二月十三日
[00:01:30.000 --> 00:01:33.000]  由一月十三日到十二月十三日
[00:01:33.000 --> 00:01:35.000]  還有十一個月的時間
[00:01:35.000 --> 00:01:37.000]  大家想像在這十一個月裏面
[00:01:37.000 --> 00:01:38.000]  不會有聆訊
[00:01:38.000 --> 00:01:40.000]  也不會有上訴的機會
[00:01:40.000 --> 00:01:43.000]  而這班尤大人在波斯閣裏面
[00:01:43.000 --> 00:01:49.000]  就是等待十一個月後會來到的死亡
[00:01:49.000 --> 00:01:53.000]  如果我們看經文的時候
[00:01:53.000 --> 00:01:56.000]  這個大家就可以看到
[00:01:56.000 --> 00:02:01.000]  好像片段的感覺就是這班人安放在監獄裏面
[00:02:01.000 --> 00:02:03.000]  等死刑的來臨
[00:02:03.000 --> 00:02:07.000]  我們可以想像這班人是相當的悲傷
[00:02:07.000 --> 00:02:09.000]  抑鬱甚至是恐懼
[00:02:09.000 --> 00:02:14.000]  而當這個波斯人知道了這班所謂的
