
[00:00:00.000 --> 00:00:04.900]  提問姐妹,我們今天的訊息是我們教會的主題的第三個部分
[00:00:04.900 --> 00:00:08.900]  第一次我們今天的講題是我們教會第三季的主題
[00:00:08.900 --> 00:00:12.900]  是在《馬太福音》的二十五章三十一到四十六節
[00:00:12.900 --> 00:00:16.200]  是在《馬太福音》的二十五章三十一到四十六節
[00:00:16.200 --> 00:00:20.200]  我們今年的主題叫《蒙照在基督裡成熟》
[00:00:20.200 --> 00:00:23.200]  我們今年的主題是《蒙照在基督裡成熟》
[00:00:23.200 --> 00:00:27.500]  我們已經講了兩個,到目前為止兩個主題
[00:00:27.500 --> 00:00:30.900]  我們已經在前段時間講了兩個主題
[00:00:30.900 --> 00:00:32.900]  第一個主題就是成為門徒
[00:00:32.900 --> 00:00:34.400]  第一個主題是成為門徒
[00:00:34.400 --> 00:00:36.400]  第二個主題是造就門徒
[00:00:36.400 --> 00:00:38.200]  第二個主題是造就門徒
[00:00:38.200 --> 00:00:41.600]  今天我們要講第三個主題叫服侍他人
[00:00:41.600 --> 00:00:44.200]  今天我們要講第三個主題就是服侍他人
[00:00:44.200 --> 00:00:47.300]  我們要先問大家一個問題
[00:00:47.300 --> 00:00:50.000]  我想在這裡問大家一個問題
[00:00:50.000 --> 00:00:56.900]  因為今天的主題就是主耶穌要再來,我們怎麼預備好
[00:00:56.900 --> 00:01:00.600]  因為今天的主題就是主耶穌要再來,我們怎麼預備好
[00:01:00.600 --> 00:01:02.200]  所以今天我要問一個問題
[00:01:02.200 --> 00:01:06.600]  如果今天主耶穌再來,你是不是已經預備好了
[00:01:06.600 --> 00:01:11.100]  所以我的問題就是如果主耶穌今天回來,你預備好嗎
[00:01:11.100 --> 00:01:13.400]  這個問題應該挺容易回答的吧
[00:01:13.400 --> 00:01:15.400]  這個問題應該很容易去回答的,是不是
[00:01:15.400 --> 00:01:18.700]  我們每個人不是說馬上就是說是的
[00:01:18.700 --> 00:01:20.400]  這個其實不是一個很容易的問題
[00:01:20.400 --> 00:01:24.500]  我們應該很容易回答說是
[00:01:24.500 --> 00:01:29.500]  如果另外一個方向來問,如果今天是你自己的最後一天
[00:01:29.500 --> 00:01:31.300]  你是不是已經預備好建築了
[00:01:31.300 --> 00:01:34.200]  如果我把這個問題換去另一個角度去看
[00:01:34.200 --> 00:01:37.200]  如果今天是你最後一天的時候,你預備好嗎
[00:01:37.200 --> 00:01:40.200]  希望經過今天的信息讓我們知道
[00:01:40.200 --> 00:01:42.600]  我們應該時刻都預備好
[00:01:42.600 --> 00:01:46.700]  希望今天主題聽完之後讓你知道我們今天要時刻準備好
