
[00:00:00.000 --> 00:00:05.000]  今天我們來到這裡,有一個題目想和大家分享,是主啊,興起發光
[00:00:05.000 --> 00:00:13.000]  今天藉著這個日子,我想和大家分享聖經裡面一個很出名的一段的頌歌,叫西面頌
[00:00:13.000 --> 00:00:19.000]  我相信大家如果有讀過《路加福音》知道,是一個聖經裡面其中一段的經文
[00:00:19.000 --> 00:00:24.000]  雖然這個時候,耶穌不是很小,應該大概是祂四十天
[00:00:24.000 --> 00:00:31.000]  大左右再上去祂的父母,帶祂上去聖殿裡面,一個將祂的奉獻
[00:00:31.000 --> 00:00:36.000]  但我相信大家知道,在新約時代,耶穌出世那段時間
[00:00:36.000 --> 00:00:43.000]  當時候的以色列人,都是落在一個受壓制的環境裡面
[00:00:43.000 --> 00:00:47.000]  作為一個神的子民,沒有自己的國家,沒有自己的地圖
[00:00:47.000 --> 00:00:52.000]  在民生,在宗教,在政治各方面都是受壓力
[00:00:52.000 --> 00:00:57.000]  一點都不比今天輕,可能當時有些人穿著一件六四的T恤
[00:00:57.000 --> 00:01:05.000]  可能有些人沒有機會去示威去遊行,或者當時有些憤慮黨用短刀去暗殺
[00:01:05.000 --> 00:01:08.000]  今天已經很斯文,扔招已經很斯文
[00:01:08.000 --> 00:01:15.000]  但昔日有很多的不滿意那種情緒力量,在那裡的發揮
[00:01:15.000 --> 00:01:24.000]  而當時是四百年,自馬拉基之後,沒有默示的四百年,一直到耶穌降生的時候
[00:01:24.000 --> 00:01:28.000]  神的心意又再次顯現在以色列民的當中
[00:01:28.000 --> 00:01:32.000]  今天我想藉著幾節的經文,跟大家去分享這個題目
[00:01:32.000 --> 00:01:38.000]  或者我們先讀一些經文,我相信PowerPoint應該是預備了的
[00:01:38.000 --> 00:01:45.000]  請跟我讀出這兩節經文,請讀
[00:02:09.000 --> 00:02:13.000]  在新約聖經裡告訴我們其實聖殿有很多的特色
[00:02:13.000 --> 00:02:19.000]  分開不同的園域,有祭司院,有男人院,有女人院,有愛邦院
[00:02:19.000 --> 00:02:25.000]  也有些門,有些池子,有不同時候,不同的人在當中結集,有不同的目的
[00:02:25.000 --> 00:02:31.000]  有些人真的很虔誠,一生在那裡守望,在那裡祈禱,在那裡等候
[00:02:31.000 --> 00:02:36.000]  但也有些人,他存在的心態可能有些經濟活動
[00:02:36.000 --> 00:02:44.000]  因為如果你看到在那裡賣羊、牛,或者換一些錢,聖殿稅的錢
[00:02:44.000 --> 00:02:46.000]  是有些經濟的活動在當中
[00:02:46.000 --> 00:02:52.000]  有些人也因為方便的緣故,帶著一些器具,穿過聖殿這樣走
[00:02:52.000 --> 00:02:57.000]  當聖殿是一個捷徑,而不是尊重聖殿
[00:02:57.000 --> 00:03:02.000]  而當時的宗教,也有很多的張力、文士、法利、賽人、祭司
[00:03:02.000 --> 00:03:09.000]  因為政治的緣故,因為傳統,因為一些他們看不明白上帝的心意的緣故
[00:03:09.000 --> 00:03:11.000]  造成很多宗教的壓力
[00:03:11.000 --> 00:03:15.000]  在這個時候,有一個人出現,是西面
[00:03:15.000 --> 00:03:20.000]  剛才經文告訴我們,他的人生有一個命定
[00:03:20.000 --> 00:03:22.000]  我給的題目是一個榮耀的命定
[00:03:22.000 --> 00:03:27.000]  因為聖經說到,在早幾節說到,這個西面是又公義又虔誠
[00:03:27.000 --> 00:03:31.000]  是素來等候,以色列的安慰者來到
[00:03:31.000 --> 00:03:34.000]  聖靈在他身上,他又得到聖靈的啟示
[00:03:34.000 --> 00:03:38.000]  我們知道在聖經裏面,舊約去到耶穌之前
[00:03:38.000 --> 00:03:43.000]  一路都說到,聖靈不是臨到每一個人的身上
[00:03:43.000 --> 00:03:47.000]  西面是其中一個人,聖靈臨在他的身上
[00:03:47.000 --> 00:03:50.000]  即是有一個工作,要等他完成
[00:03:50.000 --> 00:03:53.000]  不是每一個人都有聖靈在他生命裏面,當時
[00:03:53.000 --> 00:03:59.000]  當時,聖靈在西面的身上,似乎要他唱出這首重歌
[00:03:59.000 --> 00:04:04.000]  他說,如今,照你的話,可以釋放僕人去世
[00:04:04.000 --> 00:04:08.000]  因為用眼睛看到你的舊因
[00:04:08.000 --> 00:04:15.000]  很多人生有不同的命定
[00:04:15.000 --> 00:04:20.000]  今天有小朋友,我要用我的表達方式
[00:04:20.000 --> 00:04:22.000]  這些代表一些人生
[00:04:22.000 --> 00:04:26.000]  有不同的人生,都是過著很平凡的日子
[00:04:26.000 --> 00:04:29.000]  這是另一個人生
[00:04:29.000 --> 00:04:32.000]  但西面是一個這樣的人,是很獨特的人
[00:04:32.000 --> 00:04:34.000]  我不知道大家有沒有看Facebook
[00:04:34.000 --> 00:04:37.000]  當然我是一個經常看Facebook的人
[00:04:37.000 --> 00:04:40.000]  最近有一個弟兄,他說到
[00:04:40.000 --> 00:04:43.000]  沒有問他,拿了他的版權
[00:04:43.000 --> 00:04:47.000]  他說,香港每一個人都是跟著一條正路走
[00:04:47.000 --> 00:04:52.000]  入大學,畢業,找一份文職的工作
[00:04:52.000 --> 00:04:55.000]  最好是金融或專業人士
[00:04:55.000 --> 00:04:59.000]  超時工作,再工作,期望升職,跳槽
[00:04:59.000 --> 00:05:03.000]  加薪,加人工,然後工作,工作,又工作
[00:05:03.000 --> 00:05:09.000]  結婚,供樓,工作,生子,工作,又工作
[00:05:09.000 --> 00:05:13.000]  我不知道你認不認同這樣的人生
[00:05:13.000 --> 00:05:17.000]  但我想說,人生裡的一種生活狀態
[00:05:17.000 --> 00:05:21.000]  和耶穌所應許的豐盛生命是有所不同
[00:05:21.000 --> 00:05:25.000]  聖殿裡剛才說到很多人有不同的活動
[00:05:25.000 --> 00:05:27.000]  有些比較好,高尚一點
[00:05:27.000 --> 00:05:29.000]  有些也不是那麼好
[00:05:29.000 --> 00:05:31.000]  他可能過一個宗教生活
[00:05:31.000 --> 00:05:34.000]  他是沒有宗教那種生命的能力
[00:05:34.000 --> 00:05:37.000]  去活出一種生命的命定
[00:05:37.000 --> 00:05:41.000]  西面是神所使用的一個人
[00:05:41.000 --> 00:05:44.000]  當他見到約瑟和瑪利亞
[00:05:44.000 --> 00:05:48.000]  抱著40天的嬰孩耶穌來到聖殿的時候
[00:05:48.000 --> 00:05:52.000]  在裡面的聖靈告訴他,這個就是救世主
[00:05:52.000 --> 00:05:55.000]  當他見到這樣的生命的時候
[00:05:55.000 --> 00:05:57.000]  他的生命不再一樣
[00:05:57.000 --> 00:06:08.000]  他的生命變成一個黃金的生命
[00:06:08.000 --> 00:06:13.000]  因為他是一個有聖靈在他裡面
[00:06:13.000 --> 00:06:15.000]  知道這個命定,這個時候來到
[00:06:15.000 --> 00:06:17.000]  他的生命就轉變了
[00:06:17.000 --> 00:06:19.000]  他一生所等候的事情
[00:06:19.000 --> 00:06:21.000]  這個時候就成就了
[00:06:21.000 --> 00:06:23.000]  他的生命不再一樣
[00:06:23.000 --> 00:06:25.000]  和其他生命工作,工作又工作
[00:06:25.000 --> 00:06:27.000]  生孩子又生孩子,不會生很多
[00:06:27.000 --> 00:06:29.000]  不再一樣
[00:06:29.000 --> 00:06:31.000]  因為他的生命見到這個救主
[00:06:31.000 --> 00:06:33.000]  臨到世界
[00:06:33.000 --> 00:06:35.000]  這種的命定
[00:06:35.000 --> 00:06:38.000]  是我們每一個的基督徒都需要經歷
[00:06:38.000 --> 00:06:40.000]  今天我們存著不同的目的
[00:06:40.000 --> 00:06:41.000]  回來教會
[00:06:41.000 --> 00:06:43.000]  或者今天覺得很擠迫
[00:06:43.000 --> 00:06:45.000]  下次早點吧,或者下次怎樣
[00:06:45.000 --> 00:06:48.000]  但是我們所追求的不單是一個宗教的生活
[00:06:48.000 --> 00:06:50.000]  我們要追求一個宗教的信仰
[00:06:50.000 --> 00:06:52.000]  一個生命要活出來
[00:06:52.000 --> 00:06:55.000]  好像世面一樣
[00:06:55.000 --> 00:06:57.000]  我不是叫大家不要上班
[00:06:57.000 --> 00:06:59.000]  不要生孩子,不要供樓,不要結婚
[00:06:59.000 --> 00:07:01.000]  而在這一切的事裡面
[00:07:01.000 --> 00:07:03.000]  讓神的靈充滿我們的生命
[00:07:03.000 --> 00:07:05.000]  在這一切的範疇裡面
[00:07:05.000 --> 00:07:07.000]  我們生命活出的那種能力
[00:07:07.000 --> 00:07:09.000]  讓神的救恩要臨到萬民
[00:07:09.000 --> 00:07:11.000]  世面
[00:07:11.000 --> 00:07:15.000]  經過由以賽雅開始,七百年前講到
[00:07:15.000 --> 00:07:17.000]  這個李賽雅要降臨
[00:07:17.000 --> 00:07:19.000]  經過四百年靜默的時候
[00:07:19.000 --> 00:07:21.000]  這個時候祂等到了
[00:07:21.000 --> 00:07:24.000]  感謝神,今天我們每一次慶祝聖誕的時候
[00:07:24.000 --> 00:07:28.000]  我們都是見到這樣的大君王要臨到地上
[00:07:28.000 --> 00:07:30.000]  祂的救恩不單是在我們生命裡面
[00:07:30.000 --> 00:07:33.000]  也是全人類的救恩
[00:07:33.000 --> 00:07:35.000]  親愛的姐妹
[00:07:39.000 --> 00:07:41.000]  有一段時間我們講完提到
[00:07:41.000 --> 00:07:44.000]  教育的參算,祂自己的眼目
[00:07:44.000 --> 00:07:47.000]  很多人都認為祂是好的,是好的,是好的
[00:07:47.000 --> 00:07:50.000]  但是最後祂的眼睛被挖出來
[00:07:50.000 --> 00:07:52.000]  今天我們看什麼為好呢
