
[00:00:00.000 --> 00:00:04.000]  大家好,眨眼又一日,又來到《聖經》
[00:00:04.000 --> 00:00:09.200]  《生命說書》網絡和大家繼續在《聖經》人和《聖經》的事上
[00:00:09.200 --> 00:00:12.600]  來認識主耶穌,認識我們的天父
[00:00:12.600 --> 00:00:15.200]  今次仍然在曠野
[00:00:15.200 --> 00:00:20.400]  今日我給的題目不是《聖經》的字,是我的字
[00:00:20.400 --> 00:00:23.200]  就是叫《阿倫的妥協》
[00:00:23.200 --> 00:00:26.800]  《阿倫的妥協》,阿倫是妥協了一次
[00:00:26.800 --> 00:00:31.600]  今次事情真是很大了
[00:00:31.600 --> 00:00:36.800]  有時說妥協這件事,我們經常都要做的
[00:00:36.800 --> 00:00:43.200]  原因就是人與人之間,周時都是你遷就我,我遷就你
[00:00:43.200 --> 00:00:47.000]  很多時在某些事上是要妥協的
[00:00:47.000 --> 00:00:52.800]  是要雙贏的妥協,多贏的妥協才好
[00:00:52.800 --> 00:00:57.600]  有時有些妥協,如果你說是對於一些罪惡的事情
[00:00:57.600 --> 00:01:01.000]  對於不對的事情妥協,那不行了
[00:01:01.000 --> 00:01:05.200]  特別是在一些神學問題上,真理問題上
[00:01:05.200 --> 00:01:07.600]  我們是很不想妥協的
[00:01:07.600 --> 00:01:12.800]  今次阿倫就遭遇到一件事,壓力很大
[00:01:12.800 --> 00:01:16.800]  他做了一個妥協,我們看看這個妥協吧
[00:01:16.800 --> 00:01:20.400]  《阿倫的妥協》,就是我今日的題目
[00:01:20.400 --> 00:01:23.200]  《初級記》第32章第一節
[00:01:23.200 --> 00:01:27.200]  這段是出現過在聖經裏面好幾次的
[00:01:27.200 --> 00:01:31.000]  跟大家再看這一段,以前我記得我說過的
[00:01:31.000 --> 00:01:33.000]  都是這件事件
[00:01:33.000 --> 00:01:34.400]  32章第一節
[00:01:34.400 --> 00:01:40.000]  「百姓見摩西馳言不下山」
[00:01:40.000 --> 00:01:45.600]  「就大家聚集到阿倫那裏,對他說」
[00:01:45.600 --> 00:01:53.200]  「起來,為我們做神像,可以在我們前面引路」
[00:01:53.200 --> 00:01:58.000]  「因為領我們出埃及地的那個摩西」
[00:01:58.000 --> 00:02:03.200]  「我們不知道他做了什麼事」
[00:02:03.200 --> 00:02:05.600]  好,繼續讀完
[00:02:05.600 --> 00:02:07.000]  「阿倫對他們說」
[00:02:07.000 --> 00:02:11.800]  「你們去摘下你們妻子兒女以上的金環」
[00:02:11.800 --> 00:02:17.600]  「拿來給我,百姓就都摘下他們以上的金環,拿來給阿倫」
