
[00:00:00.000 --> 00:00:04.400]  今天早上我和大家分享的題目是大事明
[00:00:04.400 --> 00:00:08.800]  記載在《馬太福音》第28章16至20節
[00:00:08.800 --> 00:00:10.400]  如果大家方便的話
[00:00:10.400 --> 00:00:12.800]  請你打開你的聖經
[00:00:12.800 --> 00:00:16.400]  我們在餘下的分享時間
[00:00:16.400 --> 00:00:20.800]  我們將會集中來看這幾節的經文
[00:00:20.800 --> 00:00:27.600]  讓我先讀一次
[00:00:27.600 --> 00:00:28.800]  16節
[00:00:29.600 --> 00:00:32.400]  十一個門徒往加利利去
[00:00:32.400 --> 00:00:35.800]  到了耶穌約定的山上
[00:00:35.800 --> 00:00:38.800]  他們見了耶穌就拜他
[00:00:38.800 --> 00:00:42.200]  然而還有人疑惑
[00:00:42.200 --> 00:00:44.800]  耶穌進前來對他們說
[00:00:44.800 --> 00:00:49.800]  天上地下所有的權柄都賜給我了
[00:00:49.800 --> 00:00:54.200]  所以你們要去洗萬民作我的門徒
[00:00:54.200 --> 00:00:58.400]  奉父子聖靈的名給他們施洗
[00:00:58.400 --> 00:01:03.600]  凡我所吩咐你們的都教訓他們遵守
[00:01:03.600 --> 00:01:05.600]  我就常與你們同在
[00:01:05.600 --> 00:01:08.200]  直到世界的末了
[00:01:08.200 --> 00:01:11.400]  這段經文也是《馬太福音》
[00:01:11.400 --> 00:01:17.800]  完結之前最後五節的聖經
[00:01:17.800 --> 00:01:19.400]  這裡記載著
[00:01:19.400 --> 00:01:23.400]  復活了的主耶穌和門徒
[00:01:23.400 --> 00:01:29.200]  臨離開回到天父之前
[00:01:29.200 --> 00:01:34.200]  給門徒一個吩咐一個祝福
[00:01:34.200 --> 00:01:41.000]  在今天我們一般都稱這個為大事明
[00:01:41.000 --> 00:01:44.200]  不知道你們想到大事明這三個字
[00:01:44.200 --> 00:01:49.200]  你們會在腦海裡想到什麼
[00:01:49.200 --> 00:01:57.600]  傳福音?去幫人洗禮?去教訓其他人?
[00:01:57.600 --> 00:02:03.200]  有些比較調皮的牧師會這樣
[00:02:03.200 --> 00:02:05.400]  如果你問大事明是什麼?
[00:02:05.400 --> 00:02:07.000]  如果你回答傳福音
[00:02:07.000 --> 00:02:11.800]  他就會告訴你錯
[00:02:11.800 --> 00:02:15.200]  因為在這個大事明這幾節的經文裡
[00:02:15.200 --> 00:02:19.400]  傳福音這三個字是沒有出現過的
[00:02:19.400 --> 00:02:23.400]  當然我都說比較調皮的就會這樣說
[00:02:23.400 --> 00:02:26.400]  但其實裡面都蘊含著這個意思
[00:02:26.400 --> 00:02:30.400]  不過不是全部
[00:02:30.400 --> 00:02:33.000]  在從十六節開始
[00:02:33.000 --> 00:02:39.200]  我們一直在用心思去了解這段經文
[00:02:39.200 --> 00:02:44.000]  我們一般都以為耶穌收了十二個門徒
[00:02:44.000 --> 00:02:47.600]  但是來到福音書的結尾
[00:02:47.600 --> 00:02:49.800]  特意說十一
[00:02:49.800 --> 00:02:51.800]  心水清的弟兄姊妹都知道
[00:02:51.800 --> 00:02:56.400]  啊!猶大賣主那個
[00:02:56.400 --> 00:02:59.200]  在幾卷福音書中
[00:02:59.200 --> 00:03:06.800]  唯有是馬太福音記載他自殺死了
[00:03:06.800 --> 00:03:09.200]  既然前面說他已經死了
[00:03:09.200 --> 00:03:12.200]  所以來到這裡見復活的主
[00:03:12.200 --> 00:03:18.200]  只有十一個人在歷史流程當中
[00:03:18.200 --> 00:03:20.800]  都很清楚的一件事
[00:03:20.800 --> 00:03:26.400]  這十一個人為什麼會去加利利?
[00:03:26.400 --> 00:03:29.600]  其實他們是加利利人
[00:03:29.600 --> 00:03:30.800]  本身在加利利
[00:03:30.800 --> 00:03:32.800]  他們跟從耶穌的時候
[00:03:32.800 --> 00:03:38.200]  都在加利利
[00:03:38.200 --> 00:03:44.400]  為什麼會去加利利呢?
[00:03:44.400 --> 00:03:48.800]  其實在福音書結尾的下半節
[00:03:48.800 --> 00:03:54.200]  或者是大概過了三分二的篇幅之後
[00:03:54.200 --> 00:03:56.200]  三卷福音書馬太馬拉路加
[00:03:56.200 --> 00:03:59.800]  都有同一個藍圖
[00:03:59.800 --> 00:04:01.600]  那個圖像就是
[00:04:01.600 --> 00:04:09.600]  耶穌和門徒原本一直在加利利傳道趕鬼醫治等等的工作
[00:04:09.600 --> 00:04:13.600]  去到大概過了三分二的篇幅之後
[00:04:13.600 --> 00:04:16.400]  就記載耶穌和門徒一起
[00:04:16.400 --> 00:04:21.000]  浩浩蕩蕩地南下去到耶路撒冷
[00:04:21.000 --> 00:04:24.000]  由加利利去耶路撒冷多遠呢?
[00:04:24.000 --> 00:04:26.800]  今天一天之內就完成了
[00:04:26.800 --> 00:04:29.600]  因為已經有好的快速公路
[00:04:29.600 --> 00:04:32.400]  大概六小時車程左右
[00:04:32.400 --> 00:04:35.600]  由加利利可以差不多去到耶路撒冷
[00:04:35.600 --> 00:04:38.000]  約六個小時有多遠?
[00:04:38.000 --> 00:04:42.200]  大概由這裡一直開車去韶關
[00:04:42.200 --> 00:04:43.400]  你可以想像一下
[00:04:43.400 --> 00:04:44.600]  如果你坐旅遊巴
[00:04:44.600 --> 00:04:48.800]  即是六小時左右的時間
[00:04:48.800 --> 00:04:50.800]  要走的話
[00:04:50.800 --> 00:04:52.800]  如果沒有什麼好的公路
[00:04:52.800 --> 00:04:54.400]  其實是挺難走的
[00:04:54.400 --> 00:04:56.800]  如果在夏天的時候
[00:04:56.800 --> 00:05:01.400]  那些地方去到四十多五十度的溫度
[00:05:01.400 --> 00:05:04.400]  其實是要走很久的時間
[00:05:04.400 --> 00:05:05.600]  無論如何
[00:05:05.600 --> 00:05:11.400]  這一群門徒他們現在從耶路撒冷回到加利利
[00:05:11.400 --> 00:05:15.200]  當日他們和耶穌一起去了耶路撒冷
[00:05:15.200 --> 00:05:19.000]  耶穌跟著就在那裡釘十字架死了
[00:05:19.000 --> 00:05:23.000]  對於這群門徒來說是相當失落的
[00:05:23.000 --> 00:05:28.000]  他們的老師、他們的夫子、他們的領袖
[00:05:28.000 --> 00:05:31.000]  去到那裡,去到耶路撒冷
[00:05:31.000 --> 00:05:32.000]  然後死了
[00:05:32.000 --> 00:05:34.200]  他們怎麼辦呢?
[00:05:34.200 --> 00:05:38.000]  花旗當然是人之常情
[00:05:38.000 --> 00:05:40.600]  十六節下半節繼續告訴我們
[00:05:40.600 --> 00:05:51.000]  他們去到耶穌約定的一個山上
[00:05:51.000 --> 00:05:55.000]  什麼時候約定的呢?
[00:05:55.000 --> 00:05:58.000]  如果是沒去耶路撒冷之前約定
[00:05:58.000 --> 00:06:01.000]  那去還有什麼意思呢?
[00:06:01.000 --> 00:06:05.000]  人都死了
[00:06:05.000 --> 00:06:09.000]  去到加利利約定一個山
[00:06:09.000 --> 00:06:12.000]  如果我告訴你
[00:06:12.000 --> 00:06:17.000]  我和你有一個約會
[00:06:17.000 --> 00:06:20.800]  我們在馬鞍山等
[00:06:20.800 --> 00:06:23.000]  那你會想到什麼呢?
[00:06:23.000 --> 00:06:25.000]  什麼時候呢?
[00:06:25.000 --> 00:06:26.000]  今天不好吧
[00:06:26.000 --> 00:06:29.000]  天色這樣的狀況
[00:06:29.000 --> 00:06:31.000]  什麼時候呢?
[00:06:31.000 --> 00:06:33.000]  在馬鞍山頂
[00:06:33.000 --> 00:06:36.000]  還是在馬鞍山頭還是尾那裡等呢?
[00:06:36.000 --> 00:06:37.000]  馬鞍山郊野公園
[00:06:37.000 --> 00:06:41.000]  就是駕車上去那個位置的郊野公園等
[00:06:41.000 --> 00:06:45.000]  還是在大水坑那裡
[00:06:45.000 --> 00:06:48.000]  又或者去到馬鞍山西貢那邊
[00:06:48.000 --> 00:06:51.000]  站一會等等在哪個位置等
[00:06:51.000 --> 00:06:53.000]  馬鞍山就指住在那裡的馬鞍山
[00:06:53.000 --> 00:06:57.000]  當我們說約定在馬鞍山等
[00:06:57.000 --> 00:06:59.000]  我們都會有很多疑惑
[00:06:59.000 --> 00:07:02.000]  很多問號到底在哪裡呢?
[00:07:02.000 --> 00:07:03.000]  具體的地點
[00:07:03.000 --> 00:07:05.000]  具體的時間
