
[00:00:00.000 --> 00:00:02.000]  爲福音
[00:00:02.000 --> 00:00:04.000]  全心努力
[00:00:04.000 --> 00:00:06.000]  同受苦難
[00:00:06.000 --> 00:00:08.000]  忍耐等候
[00:00:08.000 --> 00:00:10.000]  因爲經上面說
[00:00:10.000 --> 00:00:12.000]  因信心所做的功夫
[00:00:12.000 --> 00:00:14.000]  因愛心所受的苦難
[00:00:14.000 --> 00:00:16.000]  因盼望主耶穌基督
[00:00:16.000 --> 00:00:18.000]  所承的忍耐
[00:00:18.000 --> 00:00:20.000]  信往愛
[00:00:20.000 --> 00:00:22.000]  我們有信心我們傳福音
[00:00:22.000 --> 00:00:24.000]  要花功夫
[00:00:24.000 --> 00:00:26.000]  要努力去做
[00:00:26.000 --> 00:00:28.000]  我們愛別人
[00:00:28.000 --> 00:00:30.000]  有的時候
[00:00:30.000 --> 00:00:32.000]  還會遭受到苦難
[00:00:32.000 --> 00:00:34.000]  有的時候爲別人跑斷了腿
[00:00:34.000 --> 00:00:36.000]  做足了事情
[00:00:36.000 --> 00:00:38.000]  卻換來一場羞辱
[00:00:38.000 --> 00:00:40.000]  有人說是
[00:00:40.000 --> 00:00:42.000]  熱屁股貼了人家冷
[00:00:42.000 --> 00:00:44.000]  熱臉貼了人家冷屁股
[00:00:44.000 --> 00:00:46.000]  一樣
[00:00:46.000 --> 00:00:48.000]  那麼有的時候我們要
[00:00:48.000 --> 00:00:50.000]  等候主耶穌基督
[00:00:50.000 --> 00:00:52.000]  我們盼望要耐心的等候
[00:00:52.000 --> 00:00:54.000]  不是嗎
[00:00:54.000 --> 00:00:56.000]  感謝神讚美神
[00:00:56.000 --> 00:00:58.000]  後來我又講一個
[00:00:58.000 --> 00:01:00.000]  叫做爲福音
[00:01:00.000 --> 00:01:02.000]  同德獎賞
[00:01:02.000 --> 00:01:04.000]  因爲保羅說
[00:01:04.000 --> 00:01:06.000]  我們傳福音好像我們在打仗一樣
[00:01:06.000 --> 00:01:08.000]  我們在鬥拳一樣
[00:01:08.000 --> 00:01:10.000]  我們不是白打
[00:01:10.000 --> 00:01:12.000]  我們好像在賽跑一樣
[00:01:12.000 --> 00:01:14.000]  我們要跑第一
[00:01:14.000 --> 00:01:16.000]  我們要同德獎賞
[00:01:16.000 --> 00:01:18.000]  在後方看兵器的
[00:01:18.000 --> 00:01:20.000]  在前方打仗的
