
[00:00:00.000 --> 00:00:02.000]  大家好 父親節快樂
[00:00:02.000 --> 00:00:08.000]  不過最近看報紙時
[00:00:08.000 --> 00:00:13.000]  會發覺港人的爸爸分數不太好
[00:00:13.000 --> 00:00:15.000]  如果用10分來計算
[00:00:15.000 --> 00:00:18.000]  10分是滿分的話
[00:00:18.000 --> 00:00:22.000]  你猜一下港人的爸爸開心指數有多少呢?
[00:00:22.000 --> 00:00:26.000]  是啊 不合格 低於5
[00:00:26.000 --> 00:00:28.000]  3.9
[00:00:28.000 --> 00:00:35.000]  你猜壓力指數大嗎?
[00:00:35.000 --> 00:00:38.000]  大了 如果用10分來計算
[00:00:38.000 --> 00:00:40.000]  你猜一下拿多少分呢?
[00:00:40.000 --> 00:00:42.000]  8.9之間
[00:00:42.000 --> 00:00:44.000]  8.2
[00:00:44.000 --> 00:00:48.000]  五分之一的港人爸爸
[00:00:48.000 --> 00:00:52.000]  還會偷偷地哭
[00:00:52.000 --> 00:00:56.000]  因為大男人不可以在老婆面前哭
[00:00:56.000 --> 00:00:59.000]  也不可以在子女面前哭
[00:00:59.000 --> 00:01:02.000]  也不可以在別人面前哭
[00:01:02.000 --> 00:01:06.000]  你看到這個數字也讓我們體會到
[00:01:06.000 --> 00:01:10.000]  原來在香港做父母的壓力真的大
[00:01:10.000 --> 00:01:12.000]  特別是做爸爸的
[00:01:12.000 --> 00:01:14.000]  我們傳統中國人的文化
[00:01:14.000 --> 00:01:18.000]  男人大丈夫就怎樣
[00:01:18.000 --> 00:01:20.000]  流血不流淚
[00:01:20.000 --> 00:01:22.000]  所以死忍難忍
[00:01:22.000 --> 00:01:26.000]  也不健康 應該哭就哭
[00:01:26.000 --> 00:01:28.000]  有什麼苦澀
[00:01:28.000 --> 00:01:29.000]  心理學家跟我們說
[00:01:29.000 --> 00:01:31.000]  女人跟男人很不一樣
[00:01:31.000 --> 00:01:35.000]  女人不開心找女朋友不斷發脾氣
[00:01:35.000 --> 00:01:38.000]  說出來就沒事了
[00:01:38.000 --> 00:01:41.000]  男人在裡面悶悶不樂
[00:01:41.000 --> 00:01:44.000]  回家也不跟老婆發脾氣
[00:01:44.000 --> 00:01:46.000]  那就很大件事
[00:01:46.000 --> 00:01:49.000]  我們看到其實生命裡
[00:01:49.000 --> 00:01:52.000]  怎樣可以做一個合神心意的父親
[00:01:52.000 --> 00:01:55.000]  我們等一下會在聖經裡看
[00:01:55.000 --> 00:01:59.000]  神給我們的話語的啟迪
[00:01:59.000 --> 00:02:01.000]  但先來看兩幅相片
[00:02:01.000 --> 00:02:04.000]  這兩幅相片在右上角
[00:02:04.000 --> 00:02:07.000]  你會看到一個29歲的爸爸
[00:02:07.000 --> 00:02:12.000]  抱著他自己兩個星期大的兒子
[00:02:12.000 --> 00:02:14.000]  是不是很可愛
[00:02:14.000 --> 00:02:16.000]  很溫馨
[00:02:16.000 --> 00:02:19.000]  大家可以留意右下角的那幅
[00:02:19.000 --> 00:02:22.000]  就是這個兩個星期大的兒子
[00:02:22.000 --> 00:02:24.000]  已經長大成人了
[00:02:24.000 --> 00:02:26.000]  現在兒子變成29歲了
[00:02:26.000 --> 00:02:31.000]  穿回爸爸29年前的T恤
[00:02:31.000 --> 00:02:36.000]  然後抱著自己兩個星期大的兒子
[00:02:36.000 --> 00:02:39.000]  所以這裡有三代人
[00:02:39.000 --> 00:02:42.000]  大家都看得明白
[00:02:42.000 --> 00:02:45.000]  你看到這個生命的延續
[00:02:45.000 --> 00:02:47.000]  其實這幅相片有名堂
[00:02:47.000 --> 00:02:49.000]  叫做《Circle of Life》
[00:02:49.000 --> 00:02:52.000]  說生命好像一個延續一樣
[00:02:52.000 --> 00:02:54.000]  我們剛才聽到
[00:02:54.000 --> 00:02:56.000]  這麼可愛的兒童私班的小朋友
[00:02:56.000 --> 00:02:58.000]  唱的歌
[00:02:58.000 --> 00:03:03.000]  做爸爸要有天父而來的DNA
[00:03:03.000 --> 00:03:05.000]  我們可能外貌
[00:03:05.000 --> 00:03:08.000]  某些性格都像我們的父親
[00:03:08.000 --> 00:03:09.000]  但最重要的是
[00:03:09.000 --> 00:03:12.000]  我們都要一起學校天上的爸爸
[00:03:12.000 --> 00:03:15.000]  如果我們沒有天父那種性情
[00:03:15.000 --> 00:03:19.000]  我們很難做到一個合神心意的好爸爸
[00:03:19.000 --> 00:03:20.000]  做兒女一樣
[00:03:20.000 --> 00:03:23.000]  你要做一個孝順父親的好兒女
[00:03:23.000 --> 00:03:27.000]  你都需要有天上的父親這種DNA
[00:03:27.000 --> 00:03:30.000]  因為在他的身上我們能夠擁有
[00:03:30.000 --> 00:03:32.000]  可以真正連戳別人
[00:03:32.000 --> 00:03:33.000]  愛別人
[00:03:33.000 --> 00:03:36.000]  和真正用真理勸戒別人
[00:03:36.000 --> 00:03:40.000]  這個其實就是我今天講章的一個撮要
[00:03:40.000 --> 00:03:43.000]  你們可以聽完
[00:03:43.000 --> 00:03:45.000]  但當然不是這麼簡單
[00:03:45.000 --> 00:03:47.000]  要和大家再分享
[00:03:47.000 --> 00:03:48.000]  你看看
[00:03:48.000 --> 00:03:49.000]  中國人有一句說話
[00:03:49.000 --> 00:03:51.000]  虎父無丸子
[00:03:51.000 --> 00:03:53.000]  有其父必有其子
[00:03:53.000 --> 00:03:55.000]  保羅就和我們說
[00:03:55.000 --> 00:03:57.000]  他說
[00:03:57.000 --> 00:03:59.000]  臨前四章十五節
[00:03:59.000 --> 00:04:00.000]  他怎麼說呢?我們一起讀
[00:04:00.000 --> 00:04:02.000]  你們學基督的
[00:04:02.000 --> 00:04:04.000]  師父雖有一萬
[00:04:04.000 --> 00:04:06.000]  為父的卻是不多
[00:04:06.000 --> 00:04:08.000]  因我在基督耶穌裡
[00:04:08.000 --> 00:04:10.000]  用福音生了你們
[00:04:10.000 --> 00:04:12.000]  我們只是看這裡
[00:04:12.000 --> 00:04:16.000]  保羅他勸勉那些哥林多教會的弟兄姊妹說
[00:04:16.000 --> 00:04:19.000]  你們要學基督
[00:04:19.000 --> 00:04:20.000]  為什麼呢?
[00:04:20.000 --> 00:04:21.000]  因為原來
[00:04:21.000 --> 00:04:26.000]  在我們這個所謂牧養教會的群體裡
[00:04:26.000 --> 00:04:28.000]  師父雖有一萬
[00:04:28.000 --> 00:04:30.000]  很多人喜歡做師父
[00:04:30.000 --> 00:04:31.000]  什麼是師父呢?
[00:04:31.000 --> 00:04:34.000]  在當時羅馬帝國的時代
[00:04:34.000 --> 00:04:37.000]  他們家裡有那些所謂奴隸
[00:04:37.000 --> 00:04:39.000]  但那些奴隸
[00:04:39.000 --> 00:04:41.000]  不像我們今天那些非戎印戎
[00:04:41.000 --> 00:04:43.000]  只是做家務
[00:04:43.000 --> 00:04:46.000]  有些奴隸有不同的等級
[00:04:46.000 --> 00:04:49.000]  有些奴隸就是這裡所說的那種師父
[00:04:49.000 --> 00:04:51.000]  是一種教師
[00:04:51.000 --> 00:04:55.000]  他原來是教育自己主人的兒女
[00:04:55.000 --> 00:04:59.000]  這些是有學問有知識的奴僕
[00:04:59.000 --> 00:05:01.000]  而在教會的群體裡
[00:05:01.000 --> 00:05:03.000]  有很多人很學無
[00:05:03.000 --> 00:05:05.000]  做查經組長
[00:05:05.000 --> 00:05:08.000]  或者做傳道人
[00:05:08.000 --> 00:05:09.000]  記住
[00:05:09.000 --> 00:05:13.000]  我們去傳講真理的同時
[00:05:13.000 --> 00:05:16.000]  可能有很多人會很羨慕這個位份
[00:05:16.000 --> 00:05:18.000]  但有這個位份
[00:05:18.000 --> 00:05:19.000]  你還要的
[00:05:19.000 --> 00:05:20.000]  你還需要的
[00:05:20.000 --> 00:05:23.000]  就是有一個為父的心
[00:05:23.000 --> 00:05:24.000]  因為如果不是的話
[00:05:24.000 --> 00:05:25.000]  你說完
[00:05:25.000 --> 00:05:29.000]  但是你聽到那些羊仔
[00:05:29.000 --> 00:05:30.000]  有問題有困難
[00:05:30.000 --> 00:05:31.000]  有掙扎
[00:05:31.000 --> 00:05:33.000]  是誰去陪伴他們呢?
[00:05:33.000 --> 00:05:34.000]  誰去牧養他們呢?
[00:05:34.000 --> 00:05:37.000]  這個就是牧羊人的職責
[00:05:37.000 --> 00:05:38.000]  做牧者
[00:05:38.000 --> 00:05:41.000]  做一個小組的組長
[00:05:41.000 --> 00:05:43.000]  他都需要做這種功能
