
[00:00:00.000 --> 00:00:04.000]  現在我們會看第六和第七
[00:00:04.000 --> 00:00:07.000]  在我們的資料上
[00:00:07.000 --> 00:00:10.000]  我們有兩種不同的反省
[00:00:10.000 --> 00:00:14.000]  一個是叫做Introspection
[00:00:14.000 --> 00:00:18.000]  一個是叫做Reflection
[00:00:18.000 --> 00:00:25.000]  中文兩樣東西都是叫做內省反省
[00:00:25.000 --> 00:00:33.000]  現在我想說這兩樣東西最主要的不同
[00:00:33.000 --> 00:00:37.000]  就是當一個人安靜內省的時候
[00:00:37.000 --> 00:00:41.000]  他一直在做這些動作
[00:00:41.000 --> 00:00:47.000]  他一直在Introspection範圍裏面
[00:00:47.000 --> 00:00:52.000]  這個人內省是不斷進入內裡
[00:00:52.000 --> 00:00:57.000]  然後就被困在牛角尖裏
[00:00:57.000 --> 00:01:00.000]  這個就是Introspection
[00:01:00.000 --> 00:01:02.000]  所以有很多人跟你說
[00:01:02.000 --> 00:01:03.000]  我很有內省
[00:01:03.000 --> 00:01:04.000]  我經常都反省
[00:01:04.000 --> 00:01:06.000]  不過你看他反省
[00:01:06.000 --> 00:01:08.000]  有一個氣氛
[00:01:08.000 --> 00:01:09.000]  我們一會兒再看
[00:01:09.000 --> 00:01:12.000]  Introspection有什麼性質
[00:01:12.000 --> 00:01:13.000]  於是你會知道
[00:01:13.000 --> 00:01:15.000]  如果你是落在這樣的光景
[00:01:15.000 --> 00:01:18.000]  其實這個內省是不健康的
[00:01:18.000 --> 00:01:21.000]  一直轉轉轉轉轉轉進去自己那裏
[00:01:21.000 --> 00:01:23.000]  而沒有辦法走出來
[00:01:23.000 --> 00:01:25.000]  是牛角尖
[00:01:25.000 --> 00:01:27.000]  注意牛角尖是這個
[00:01:27.000 --> 00:01:29.000]  如果Reflection是內省
[00:01:29.000 --> 00:01:31.000]  是你反省過之後
[00:01:31.000 --> 00:01:35.000]  你會一直一直這樣出來
[00:01:35.000 --> 00:01:39.000]  於是你也可以跟人有關係
[00:01:39.000 --> 00:01:41.000]  你反省完之後
[00:01:41.000 --> 00:01:44.000]  跟這個宇宙萬物和這個世界
[00:01:44.000 --> 00:01:46.000]  是可以打成一片的
[00:01:46.000 --> 00:01:49.000]  還有你理悟是深刻一點的
[00:01:49.000 --> 00:01:52.000]  這個人應該是開闊了出來的
[00:01:52.000 --> 00:01:54.000]  Reflection就是這樣
[00:01:54.000 --> 00:01:59.000]  而這個是最主要的不同
[00:01:59.000 --> 00:02:01.000]  所以有很多時候
[00:02:01.000 --> 00:02:03.000]  如果你說我禱告生活裏面
[00:02:03.000 --> 00:02:04.000]  我禱告完之後我反省
[00:02:04.000 --> 00:02:06.000]  你可能是轉牛角尖
[00:02:06.000 --> 00:02:08.000]  有時候你轉牛角尖你未必知道
[00:02:08.000 --> 00:02:09.000]  轉轉轉轉的時候
[00:02:09.000 --> 00:02:11.000]  你很久很久的時間
[00:02:11.000 --> 00:02:13.000]  你停在停頓了的時候
[00:02:13.000 --> 00:02:15.000]  你會發覺我發生什麼事呢
[00:02:15.000 --> 00:02:17.000]  為什麼我一直這樣反省
[00:02:17.000 --> 00:02:18.000]  都沒有辦法出來
[00:02:18.000 --> 00:02:19.000]  你會知道
[00:02:19.000 --> 00:02:21.000]  你是在Introspection裏面
[00:02:21.000 --> 00:02:24.000]  是你和你自己在聊天
[00:02:24.000 --> 00:02:27.000]  你和你自己在聊天
[00:02:27.000 --> 00:02:29.000]  你根本沒有和神
[00:02:29.000 --> 00:02:32.000]  或者沒有和外界聊天
[00:02:32.000 --> 00:02:33.000]  所以有時候禱告
[00:02:33.000 --> 00:02:35.000]  也都叫做Introspection
[00:02:35.000 --> 00:02:39.000]  就是說禱告會淪落到一個地步
[00:02:39.000 --> 00:02:41.000]  就是你和你自己在聊天
[00:02:41.000 --> 00:02:44.000]  這個是禱告裏面說的
[00:02:44.000 --> 00:02:51.000]  這個是說人的向度
[00:02:51.000 --> 00:02:54.000]  所以每一個人都會思想
[00:02:54.000 --> 00:02:56.000]  每一個人都會反省
[00:02:56.000 --> 00:02:58.000]  每一個人都會做這些事
[00:02:58.000 --> 00:03:01.000]  只不過你的向度放在哪裏
