
[00:00:00.000 --> 00:00:04.200]  我今早想同大家去睇一睇獵王寄上第十九章
[00:00:04.200 --> 00:00:05.200]  分為一個題目
[00:00:05.200 --> 00:00:08.200]  從人生的低谷走出來
[00:00:08.200 --> 00:00:10.600]  同大家講個故事
[00:00:10.600 --> 00:00:15.000]  有一個爸爸要教他四歲大的女兒綁鞋帶
[00:00:15.000 --> 00:00:17.800]  經過幾個月不斷嘗試
[00:00:17.800 --> 00:00:21.400]  這個小女孩終於成功綁了鞋帶
[00:00:21.400 --> 00:00:26.000]  這只是他人生裏面第一次自己成功綁鞋帶
[00:00:26.000 --> 00:00:28.800]  他爸爸站在他身邊很開心
[00:00:29.400 --> 00:00:34.000]  但很可惜突然間聽到這個小女孩哭起來
[00:00:34.000 --> 00:00:36.000]  爸爸就覺得很奇怪
[00:00:36.000 --> 00:00:37.400]  他就問個女兒
[00:00:37.400 --> 00:00:38.400]  女兒呀女兒呀
[00:00:38.400 --> 00:00:40.000]  為什麼你會哭起來
[00:00:40.000 --> 00:00:42.200]  這個女兒就跟爸爸講
[00:00:42.200 --> 00:00:46.000]  因為我終於自己可以綁鞋帶了
[00:00:46.000 --> 00:00:47.400]  爸爸就說
[00:00:47.400 --> 00:00:49.000]  那你應該很開心的
[00:00:49.000 --> 00:00:50.000]  為什麼你要哭呢
[00:00:50.000 --> 00:00:52.400]  這個女兒就跟她爸爸說
[00:00:52.400 --> 00:00:57.600]  因為我知道我以後一生要自己負責綁鞋帶
[00:00:59.000 --> 00:01:01.800]  這個故事讓我們看到一個人生
[00:01:01.800 --> 00:01:04.000]  好像一種不明文的規律
[00:01:04.000 --> 00:01:07.000]  就是當我們高峰過後之後
[00:01:07.000 --> 00:01:09.400]  總會有落在低谷的機會
[00:01:09.400 --> 00:01:14.800]  有位弟兄他經過了十幾年很努力的工作
[00:01:14.800 --> 00:01:20.400]  工作裏面爬到在公司裏面一個不錯的位置上
[00:01:20.400 --> 00:01:24.200]  後來公司很快來了一位上司
[00:01:24.200 --> 00:01:27.600]  這位上司跟他有些不好的協調
[00:01:27.800 --> 00:01:31.200]  很快這位弟兄又要在他的高位裏面被辭退
[00:01:31.200 --> 00:01:33.800]  有一位國內的姐妹
[00:01:33.800 --> 00:01:36.400]  她做生意做得很好
[00:01:36.400 --> 00:01:40.200]  她有一個很愛惜她的丈夫
[00:01:40.200 --> 00:01:43.800]  有一個讀書頗厲害的兒子
[00:01:43.800 --> 00:01:46.200]  可惜這個姐妹患上了抑鬱症
[00:01:46.200 --> 00:01:52.600]  都知道有初遇的姐妹遇上一個很反叛的女兒
[00:01:52.600 --> 00:01:55.200]  令到她在生命裏面覺得很疲累
[00:01:55.800 --> 00:02:00.200]  人生很多高高低低很多時候是我們不能避免
[00:02:00.200 --> 00:02:02.600]  很多時候會發生在自己身上
[00:02:02.600 --> 00:02:07.200]  也有機會發生在自己身邊所認識的人身上
[00:02:07.200 --> 00:02:12.200]  面對挫折面對人生的低谷我們應該怎樣做
[00:02:12.200 --> 00:02:15.800]  即使我們現在目前覺得事事平順
[00:02:15.800 --> 00:02:19.200]  我們有沒有信心做好心理準備
[00:02:19.200 --> 00:02:23.800]  接受人生下一場風暴的來臨
[00:02:24.600 --> 00:02:27.600]  感謝神今日讓我們能夠藉著以利亞的經歷
[00:02:27.600 --> 00:02:29.600]  讓我們能夠明白到
[00:02:29.600 --> 00:02:32.600]  即使我們落在人生的挫折低谷的時候
[00:02:32.600 --> 00:02:36.200]  我們仍然是有出路有盼望
[00:02:36.200 --> 00:02:41.000]  在舊約和所羅門王之後
[00:02:41.000 --> 00:02:46.600]  以色列這個國家分離了兩個國家
[00:02:46.600 --> 00:02:49.400]  南邊的猶大和北邊的以色列
[00:02:49.400 --> 00:02:52.400]  不過到了阿哈王統治的時候
[00:02:52.800 --> 00:02:56.200]  在皇后耶誓別大力鼓吹之下
[00:02:56.200 --> 00:03:00.800]  敬拜巴力和亞瑟拉這個偶像非常之盛行
[00:03:00.800 --> 00:03:06.200]  以色列人陷在拜巴力一個黑暗的時代
[00:03:06.200 --> 00:03:11.400]  神就在這個黑暗的時代裏興起了先知以利亞
[00:03:11.400 --> 00:03:14.000]  尼王記上第十八章
[00:03:14.000 --> 00:03:19.200]  是記載在先知以利亞的人生的高峰
[00:03:19.200 --> 00:03:22.600]  人生的高峰有三個事件
[00:03:22.600 --> 00:03:24.400]  可以讓我們看得到
[00:03:24.400 --> 00:03:28.600]  第一件事就是他一個人獨立在加密山頂
[00:03:28.600 --> 00:03:32.000]  去戰勝這四百五十個巴力先知
[00:03:32.000 --> 00:03:35.000]  將他們擊敗徹底地打敗
[00:03:35.000 --> 00:03:38.000]  第二個事蹟就是當時以色列
[00:03:38.000 --> 00:03:40.400]  正是陷在三年的饑荒裏面
[00:03:40.400 --> 00:03:44.400]  以利亞向神求降雨穿大地
[00:03:44.400 --> 00:03:50.600]  第三個事蹟就是神的聖靈降臨在以利亞身上
[00:03:50.800 --> 00:03:56.200]  奔跑快過馬匹追趕到阿哈王的馬車
[00:03:56.200 --> 00:03:59.800]  以利亞以為他所付出的努力
[00:03:59.800 --> 00:04:03.400]  能夠使得阿哈王甚至以色列民能夠回轉
[00:04:03.400 --> 00:04:04.800]  歸向耶和華
[00:04:04.800 --> 00:04:08.600]  帶來政治上和信仰上的復興和改革
[00:04:08.600 --> 00:04:11.000]  但當我們看第十九章的時候
[00:04:11.000 --> 00:04:12.800]  我們看到這位的以利亞
[00:04:12.800 --> 00:04:16.200]  被皇后耶駒威脅要殺死他
[00:04:16.200 --> 00:04:18.000]  開始逃命
[00:04:18.200 --> 00:04:21.000]  在極疲倦之下去到羅騰樹下
[00:04:21.000 --> 00:04:22.600]  去向神求一死
[00:04:22.600 --> 00:04:24.600]  在整張聖經裏面
[00:04:24.600 --> 00:04:28.200]  我們看到神怎樣去介入幫助以利亞
[00:04:28.200 --> 00:04:30.600]  從他人生的低谷裏面走到出來
[00:04:30.600 --> 00:04:32.600]  重拾人生的方向
[00:04:32.600 --> 00:04:34.600]  在整張聖經裏面
