
[00:00:00.000 --> 00:00:02.000]  各位頂尖的早安
[00:00:02.000 --> 00:00:05.000]  很高興今天可以和大家一起去敬拜神
[00:00:05.000 --> 00:00:08.000]  也很高興可以和大家一起分享神的話語
[00:00:08.000 --> 00:00:11.000]  今天是報道主日
[00:00:11.000 --> 00:00:13.000]  講到傳福音的課題
[00:00:13.000 --> 00:00:16.000]  講到傳福音我就會想起保羅
[00:00:16.000 --> 00:00:19.000]  因為保羅在他的書信裏面
[00:00:19.000 --> 00:00:21.000]  花很多篇幅是講到福音
[00:00:21.000 --> 00:00:24.000]  講到他自己怎樣傳福音
[00:00:24.000 --> 00:00:26.000]  所以我今天的講題是
[00:00:26.000 --> 00:00:29.000]  保羅傳福音的心智
[00:00:29.000 --> 00:00:32.000]  剛才所讀的一段聖經
[00:00:32.000 --> 00:00:35.000]  是保羅寫給羅馬教會的
[00:00:35.000 --> 00:00:38.000]  書信裏面其中一段
[00:00:38.000 --> 00:00:41.000]  第一章就是在開首的時候
[00:00:41.000 --> 00:00:45.000]  開首保羅就和他們去分享
[00:00:45.000 --> 00:00:49.000]  講到他自己是很想
[00:00:49.000 --> 00:00:52.000]  去到羅馬傳福音
[00:00:52.000 --> 00:00:55.000]  給當地的外邦人
[00:00:55.000 --> 00:00:59.000]  但是保羅就說有阻隔
[00:00:59.000 --> 00:01:02.000]  就是他去不了
[00:01:02.000 --> 00:01:05.000]  接著他又說無論是任何的人
[00:01:05.000 --> 00:01:09.000]  他都欠了他們福音的債
[00:01:09.000 --> 00:01:12.000]  他很想盡力
[00:01:12.000 --> 00:01:16.000]  將福音傳給在羅馬的人
[00:01:16.000 --> 00:01:21.000]  這個就是保羅作為一個宣教士
[00:01:21.000 --> 00:01:24.000]  他寫信給羅馬的教會
[00:01:24.000 --> 00:01:26.000]  介紹自己
[00:01:26.000 --> 00:01:28.000]  他說我很想去羅馬
[00:01:28.000 --> 00:01:30.000]  現在仍有阻隔
[00:01:30.000 --> 00:01:33.000]  很明顯保羅沒有去到羅馬
[00:01:33.000 --> 00:01:39.000]  而他又想和羅馬的頂子妹
[00:01:39.000 --> 00:01:42.000]  分享他對福音的意象
[00:01:42.000 --> 00:01:44.000]  他傳福音的意象
[00:01:44.000 --> 00:01:46.000]  所以在他的羅馬書裏面
[00:01:46.000 --> 00:01:50.000]  開始講到他自己怎樣傳福音
[00:01:50.000 --> 00:01:55.000]  大家有沒有覺得有些特別呢
[00:01:55.000 --> 00:01:59.000]  保羅曾經這樣說
[00:01:59.000 --> 00:02:02.000]  他說我立了一個志向
[00:02:02.000 --> 00:02:05.000]  不會在基督的名被稱的地方
[00:02:05.000 --> 00:02:07.000]  傳福音
[00:02:07.000 --> 00:02:10.000]  免得建造在別人的根基上
[00:02:10.000 --> 00:02:12.000]  覺得是不是有點奇怪呢
[00:02:12.000 --> 00:02:16.000]  他說了主的名被稱的地方
[00:02:16.000 --> 00:02:18.000]  他又不去那裏傳福音
[00:02:18.000 --> 00:02:20.000]  但是羅馬有教會
[00:02:20.000 --> 00:02:23.000]  主的名當然被稱過
[00:02:23.000 --> 00:02:26.000]  但是他說我很想來羅馬
[00:02:26.000 --> 00:02:29.000]  向羅馬的外國人傳福音
[00:02:29.000 --> 00:02:31.000]  會不會有些矛盾呢
[00:02:31.000 --> 00:02:35.000]  如果我們仔細再看羅馬書
[00:02:35.000 --> 00:02:37.000]  我們會明白
[00:02:37.000 --> 00:02:41.000]  其實保羅是有更遠的意象
[00:02:41.000 --> 00:02:43.000]  其實沒錯
[00:02:43.000 --> 00:02:45.000]  他真的很想去羅馬
[00:02:45.000 --> 00:02:48.000]  我相信他很樂意在羅馬傳福音
[00:02:48.000 --> 00:02:53.000]  但是他最終想去的地方是西班牙
[00:02:53.000 --> 00:02:55.000]  他因為要去西班牙傳福音
[00:02:55.000 --> 00:03:01.000]  他希望在西班牙的路程裏面
[00:03:01.000 --> 00:03:04.000]  中途停一停在羅馬
[00:03:04.000 --> 00:03:08.000]  然後再去西班牙傳福音
[00:03:08.000 --> 00:03:11.000]  所以在這張聖經裏面
[00:03:11.000 --> 00:03:15.000]  他特別提到他自己的心志
[00:03:15.000 --> 00:03:20.000]  希望羅馬教會給他的支持
[00:03:20.000 --> 00:03:22.000]  在第十五章
[00:03:22.000 --> 00:03:24.000]  剛才讀的是第一章
[00:03:24.000 --> 00:03:27.000]  然後在第十五章你明白
[00:03:27.000 --> 00:03:31.000]  一個書信頭和尾都很重要
[00:03:31.000 --> 00:03:36.000]  他說如今在這裏沒有什麼可循的地方
[00:03:36.000 --> 00:03:40.000]  在這幾年我很希望去西班牙
[00:03:40.000 --> 00:03:46.000]  去的時候就能夠去一去你們的地方
[00:03:46.000 --> 00:03:49.000]  希望從你們那裏經過
[00:03:49.000 --> 00:03:51.000]  得見你們
[00:03:51.000 --> 00:03:52.000]  和你們交往
[00:03:52.000 --> 00:03:53.000]  稍為滿足
[00:03:53.000 --> 00:03:55.000]  所以他真的很想去羅馬
[00:03:55.000 --> 00:03:58.000]  但是最終的目的地其實是西班牙
[00:03:58.000 --> 00:04:01.000]  然後說到蒙尼地送行
[00:04:01.000 --> 00:04:03.000]  蒙尼送行
[00:04:03.000 --> 00:04:06.000]  這裏不是說在機場和你打過招呼
[00:04:06.000 --> 00:04:07.000]  不是
[00:04:07.000 --> 00:04:09.000]  蒙尼送行
[00:04:09.000 --> 00:04:13.000]  是當時宣教士的術語
[00:04:13.000 --> 00:04:16.000]  送行就是得到你們的支持
[00:04:16.000 --> 00:04:18.000]  得到你們的贊助等等
[00:04:18.000 --> 00:04:20.000]  蒙你們送行
[00:04:20.000 --> 00:04:22.000]  讓我能夠成行
[00:04:22.000 --> 00:04:24.000]  我辦完這件事
[00:04:24.000 --> 00:04:25.000]  辦什麼事呢
[00:04:25.000 --> 00:04:27.000]  就是保留在馬其頓
[00:04:27.000 --> 00:04:30.000]  等一大地方收集到一些善款
[00:04:30.000 --> 00:04:32.000]  拿去耶路撒冷
[00:04:32.000 --> 00:04:34.000]  他很想完成這件事
[00:04:34.000 --> 00:04:36.000]  將這些善果交付明白
[00:04:36.000 --> 00:04:38.000]  我就起程了
[00:04:38.000 --> 00:04:39.000]  去你們那裏
[00:04:39.000 --> 00:04:43.000]  然後我最終是要去西班牙
[00:04:43.000 --> 00:04:49.000]  當時的西班牙比較落後
[00:04:49.000 --> 00:04:57.000]  所以當時的人會覺得比較野蠻的地方
[00:04:57.000 --> 00:04:59.000]  和現在很不同
[00:04:59.000 --> 00:05:00.000]  現在很厲害
[00:05:00.000 --> 00:05:02.000]  足球隊很厲害
[00:05:02.000 --> 00:05:06.000]  所以他就很想去西班牙
[00:05:06.000 --> 00:05:10.000]  但當時的西班牙是羅馬人的殖民地
[00:05:10.000 --> 00:05:12.000]  羅馬人在那裏駐兵
[00:05:12.000 --> 00:05:15.000]  這裏是塞哥維亞
[00:05:15.000 --> 00:05:18.000]  塞哥維亞是很出名的地標
[00:05:18.000 --> 00:05:20.000]  是一個引水道
[00:05:20.000 --> 00:05:29.000]  大概是在公元第一世紀末期建築
[00:05:29.000 --> 00:05:31.000]  到現在仍然存在
[00:05:31.000 --> 00:05:36.000]  我去看這引水道都覺得很驚訝
[00:05:36.000 --> 00:05:38.000]  怎麽建一座建築物
[00:05:38.000 --> 00:05:39.000]  好像二千年了
[00:05:39.000 --> 00:05:42.000]  還是那麽穩定的
[00:05:42.000 --> 00:05:46.000]  所以如果保羅真的有機會去西班牙
[00:05:46.000 --> 00:05:50.000]  他又剛好去到塞哥維亞
