
[00:00:00.000 --> 00:00:02.380]  史詩的時代結束了之後
[00:00:02.380 --> 00:00:05.360]  以色列就進入了王國的時期
[00:00:05.360 --> 00:00:07.980]  第一位王是索羅王
[00:00:07.980 --> 00:00:11.400]  他的首都設在他的家鄉基比亞
[00:00:11.400 --> 00:00:12.900]  他死了之後
[00:00:12.900 --> 00:00:16.540]  他的兒子伊斯波切繼任為王
[00:00:16.540 --> 00:00:18.420]  在同一時間裏面
[00:00:18.420 --> 00:00:20.980]  大衛王亦在希伯倫那裏作王
[00:00:20.980 --> 00:00:22.860]  所以有三年之久
[00:00:22.860 --> 00:00:26.220]  在以色列當中有兩位王同時存在
[00:00:26.220 --> 00:00:29.020]  到了伊斯波切死了之後
[00:00:29.020 --> 00:00:31.660]  大衛王就名正言順地
[00:00:31.660 --> 00:00:33.780]  成為了全以色列的王
[00:00:33.780 --> 00:00:36.060]  他後來遷都到了錫安
[00:00:36.060 --> 00:00:37.860]  即是今天的耶路撒冷
[00:00:37.860 --> 00:00:39.220]  他死了之後
[00:00:39.220 --> 00:00:42.700]  接續他的就是他的兒子索羅門
[00:00:42.700 --> 00:00:44.980]  這幾位王統治的時候
[00:00:44.980 --> 00:00:46.780]  王國是統一的
[00:00:46.780 --> 00:00:50.420]  所以聖經學者稱這段時間叫做聯合王國的時期
[00:00:50.420 --> 00:00:54.860]  大概在主前1044到主前931年
[00:00:54.860 --> 00:00:56.860]  在索羅門死了之後
[00:00:56.860 --> 00:01:00.380]  王國就分裂為南北兩個部分
[00:01:00.380 --> 00:01:03.620]  聖經稱南邊的國家叫做猶大
[00:01:03.620 --> 00:01:06.100]  有些學者叫做猶大王國
[00:01:06.100 --> 00:01:10.100]  由索羅門的兒子羅波安所統治
[00:01:10.100 --> 00:01:13.620]  首都仍然繼續在耶路撒冷
[00:01:13.620 --> 00:01:16.020]  北國聖經稱他為以色列
[00:01:16.020 --> 00:01:18.660]  有些時候又叫做以法連
[00:01:18.660 --> 00:01:21.260]  學者又叫做以色列王國
[00:01:21.260 --> 00:01:23.020]  由索羅門的一個神僕
