
[00:00:00.000 --> 00:00:03.520]  各位太太 姐妹 讓我們神的道兒先同心的禱告
[00:00:03.520 --> 00:00:06.980]  各位姐妹 讓我們聽神道之前先禱告
[00:00:06.980 --> 00:00:09.480]  慈悲父神 多謝祢給我們能夠再次
[00:00:09.480 --> 00:00:12.760]  在年終的最後一次的主日崇拜裏面
[00:00:12.760 --> 00:00:16.280]  同心的去敬拜 聆聽主祢的說話
[00:00:16.280 --> 00:00:20.560]  接受主祢的教訓 可以再次獻上感恩
[00:00:20.560 --> 00:00:24.840]  求天父祢的教導 常存在我們的心當中
[00:00:24.840 --> 00:00:28.480]  活出在我們每一天的生命生活裏面
[00:00:28.480 --> 00:00:31.880]  讓我們能夠真是坦然無懼的
[00:00:31.880 --> 00:00:34.240]  去面對每一天的生命生活
[00:00:34.240 --> 00:00:36.600]  能夠作美好的見證
[00:00:36.600 --> 00:00:40.280]  活出我們有這個屬神生命的樣式
[00:00:40.280 --> 00:00:43.520]  吸引人回到上帝的面前
[00:00:43.520 --> 00:00:47.760]  讓主屬祢的子民回歸到上帝的裏面
[00:00:47.760 --> 00:00:50.720]  重新的找到生命的盼望
[00:00:50.720 --> 00:00:53.600]  因著我們多謝祢給我們有這份福氣
[00:00:53.600 --> 00:00:57.560]  求祢的說話 常存在我們的心
[00:00:57.560 --> 00:00:58.960]  我們敬愛天父 感謝祢
[00:00:58.960 --> 00:01:01.640]  讓我們能夠再次在年終的時候
[00:01:01.640 --> 00:01:04.320]  我們能夠一起打開祢的說話
[00:01:04.320 --> 00:01:07.120]  一同來到邁向主禮的教訓
[00:01:07.120 --> 00:01:10.920]  也明白祢怎樣來把請求的道理
[00:01:10.920 --> 00:01:12.640]  帶到我們生命的裏面
[00:01:12.640 --> 00:01:16.160]  使我們能夠活在每一天的生活當中
[00:01:16.160 --> 00:01:19.760]  見證屬於主禮的人當有的生命
[00:01:19.760 --> 00:01:22.360]  也讓每一個屬於主禮的人
[00:01:22.360 --> 00:01:24.720]  能夠透過我們見證
[00:01:24.720 --> 00:01:27.760]  引導他們重歸到上帝的裏面
[00:01:27.760 --> 00:01:30.040]  能夠一起來到仰望
[00:01:30.040 --> 00:01:33.880]  在永恆的生命生活當中現在的預備
[00:01:33.880 --> 00:01:35.800]  我們再次先上感謝
[00:01:35.800 --> 00:01:38.440]  讓我們有這樣的榮耀
[00:01:38.440 --> 00:01:40.360]  參與在這份工作裏面
[00:01:40.360 --> 00:01:41.360]  求祢的幫助
[00:01:41.360 --> 00:01:45.160]  讓今天的道理是上帝的說話
[00:01:45.160 --> 00:01:47.720]  你而舉在地上的見證
[00:01:47.720 --> 00:01:51.080]  使我們在性靈的引導的裏面
[00:01:51.080 --> 00:01:56.000]  我們的水準裏來到活出精彩的人生
[00:01:56.000 --> 00:01:58.520]  我向大家奉祖耶穌的名臣
[00:01:58.520 --> 00:01:59.520]  Amen
[00:01:59.520 --> 00:02:04.480]  有一次我就和一些教母分享到
[00:02:04.480 --> 00:02:07.880]  大家侍奉的時候都有一個這樣的心
[00:02:07.880 --> 00:02:10.560]  有一次為一個教母分享的時候
[00:02:10.560 --> 00:02:13.320]  就是大家侍奉的時候都有一個這樣的心
[00:02:13.320 --> 00:02:18.600]  因為大家都已經是侍奉了二十幾三十年的時間
[00:02:18.600 --> 00:02:21.120]  因為大家都侍奉了二十三十年的時間
[00:02:21.120 --> 00:02:24.200]  就是談論到教會的接班人的問題
[00:02:24.200 --> 00:02:26.240]  談論到教會接班人的問題
[00:02:26.240 --> 00:02:28.760]  但我在這裏說的不是只是想說
[00:02:28.760 --> 00:02:30.800]  教會找傳道人的問題
[00:02:30.800 --> 00:02:33.480]  這不是只是說教會找傳道人的問題
[00:02:33.480 --> 00:02:35.800]  每一次談論到接班人的問題
[00:02:35.800 --> 00:02:38.880]  我是說到教會的一代接一代
[00:02:38.880 --> 00:02:40.560]  怎樣去承擔下去
[00:02:40.560 --> 00:02:42.120]  講這個接班人的問題
[00:02:42.120 --> 00:02:46.320]  是講教會的一代一代怎麼承接這個問題
[00:02:46.320 --> 00:02:50.760]  尤其是在多倫多現在很多教會都要找主任牧師、找傳道人
[00:02:50.760 --> 00:02:54.160]  很多教會都在找主任牧師和傳道人
[00:02:54.160 --> 00:02:55.880]  其實找這些人很容易的
[00:02:55.880 --> 00:02:58.360]  你登報紙,大把人會來應徵
[00:02:58.360 --> 00:02:59.880]  其實找這些人很容易
[00:02:59.880 --> 00:03:02.920]  當下報紙大把人,很多人來應徵
[00:03:02.920 --> 00:03:04.680]  但是怎樣才能找到一個
[00:03:04.680 --> 00:03:07.240]  是真的能夠帶領教會承擔
[00:03:07.240 --> 00:03:10.320]  它這個新一個時代的工作呢?
[00:03:10.320 --> 00:03:12.240]  怎麼才能真正找到一個
[00:03:12.240 --> 00:03:14.640]  能承擔新時代的工作的人呢?
[00:03:14.640 --> 00:03:18.360]  上帝給每一個時代的人都有他的侍奉
[00:03:18.360 --> 00:03:21.200]  上帝給他每一個時代的人有一個不同的侍奉
[00:03:21.200 --> 00:03:22.720]  人可以變
[00:03:22.720 --> 00:03:23.520]  人可以變
[00:03:23.520 --> 00:03:24.760]  環境可以變
[00:03:24.760 --> 00:03:25.480]  環境可以變
[00:03:25.480 --> 00:03:27.280]  但是上帝的道不會變
[00:03:27.280 --> 00:03:28.720]  但是上帝的道不會變
[00:03:28.720 --> 00:03:31.680]  怎樣在一個萬變的世代裏面
[00:03:31.680 --> 00:03:33.200]  怎麼在這個萬變的世界上
[00:03:33.200 --> 00:03:35.560]  找到一些能夠對上帝的說話
[00:03:35.560 --> 00:03:39.040]  不變不移、不偏不倚的人
[00:03:39.040 --> 00:03:42.360]  能夠去延續上帝的工作、拯救的工作呢?
[00:03:42.360 --> 00:03:45.320]  能夠對上帝的道能不偏不倚的
[00:03:45.320 --> 00:03:47.280]  延遲上帝的拯救工作呢?
[00:03:47.280 --> 00:03:51.120]  這個是很多教目不斷去思想的題目
[00:03:51.120 --> 00:03:53.600]  這是很多教目不停思想的一個題目
[00:03:53.600 --> 00:03:56.880]  怎樣去能夠繼續承擔教會
[00:03:56.880 --> 00:03:58.880]  未來新的一個世紀
[00:03:58.880 --> 00:04:00.280]  或者往後的日子
[00:04:00.280 --> 00:04:03.240]  能夠繼續能夠榮神益人呢?
[00:04:03.240 --> 00:04:07.080]  整個能夠讓教會繼續延伸下來去榮神益人呢?
[00:04:07.080 --> 00:04:08.600]  那就是很煩惱
[00:04:08.600 --> 00:04:09.720]  這樣就會很煩惱
[00:04:09.720 --> 00:04:11.840]  因為這個涉及很多教道
