
[00:00:00.000 --> 00:00:02.600]  多謝主會早晨
[00:00:02.600 --> 00:00:05.500]  我們低頭祈禱
[00:00:05.500 --> 00:00:07.000]  親愛的天父我們感謝祢
[00:00:07.000 --> 00:00:09.700]  讓我們能夠主日清晨來到祢面前
[00:00:09.700 --> 00:00:13.600]  很平安的一切的敬拜祢
[00:00:13.600 --> 00:00:17.300]  並且主祢讓我們有寶貴的話語
[00:00:17.300 --> 00:00:20.700]  以致我們能夠明白、認識祢
[00:00:20.700 --> 00:00:24.200]  並且在生活裏面怎樣能夠更加像耶穌
[00:00:24.200 --> 00:00:26.300]  願意使主祢在今天裏面
[00:00:26.300 --> 00:00:28.900]  祢的聖靈充滿我們每一位
[00:00:28.900 --> 00:00:30.500]  讓我們明白真理
[00:00:30.500 --> 00:00:34.600]  也用祢的補血、潔淨和遮蓋孩子
[00:00:34.600 --> 00:00:37.000]  以致孩子所講的合乎主的心
[00:00:37.000 --> 00:00:38.400]  奉主耶穌的名禱
[00:00:38.400 --> 00:00:40.200]  Amen
[00:00:40.200 --> 00:00:42.400]  好 今天是第三講
[00:00:42.400 --> 00:00:43.900]  講福音是甚麼
[00:00:43.900 --> 00:00:48.300]  特別是從夢召的角度去看
[00:00:48.300 --> 00:00:51.900]  第一講我講了三點
[00:00:51.900 --> 00:00:55.100]  就是說我們信耶穌基督的人
[00:00:55.100 --> 00:00:59.700]  是夢召有一個新的身份
[00:00:59.700 --> 00:01:04.400]  We are called into a new identity
[00:01:04.400 --> 00:01:09.100]  我們夢召是有一個新的身份
[00:01:09.100 --> 00:01:12.500]  舊的身份我們是為自己而活的
[00:01:12.500 --> 00:01:15.700]  舊的身份是老我在這裏活
[00:01:15.700 --> 00:01:18.600]  新的身份是在基督裏面
[00:01:18.600 --> 00:01:21.600]  我們成為一個新造的人
[00:01:21.600 --> 00:01:25.600]  在哥倫多後書第五章十七節
[00:01:25.600 --> 00:01:28.000]  那裏講到我們新造的人
[00:01:28.000 --> 00:01:29.900]  那裏不單是講新人
[00:01:29.900 --> 00:01:32.100]  是講新的創造
[00:01:32.100 --> 00:01:34.200]  A new creation
[00:01:34.200 --> 00:01:36.800]  所以我們信耶穌基督的人
[00:01:36.800 --> 00:01:39.500]  我們是有一個新的身份
[00:01:39.500 --> 00:01:41.900]  我們也講到福音是甚麼
[00:01:41.900 --> 00:01:44.700]  福音是上帝呼召我們
[00:01:44.700 --> 00:01:46.700]  進入一個新的環境
[00:01:46.700 --> 00:01:49.500]  Called into a new environment
[00:01:49.500 --> 00:01:52.400]  如果那個地方空氣不好
[00:01:52.400 --> 00:01:53.500]  非常的污染
[00:01:53.500 --> 00:01:55.000]  無論你吃甚麼補品
[00:01:55.000 --> 00:01:58.000]  你身體多健壯
[00:01:58.000 --> 00:02:01.200]  你都呼吸那些污穢的空氣的時候
[00:02:01.200 --> 00:02:05.900]  你發覺到你不能夠有一個健康的身體
[00:02:05.900 --> 00:02:07.700]  但我們信耶穌基督的人
[00:02:07.700 --> 00:02:11.800]  是被呼召進入一個新的環境裏面
