
[00:00:00.000 --> 00:00:03.440]  天上的君王 耶穌基督的降生
[00:00:03.440 --> 00:00:05.700]  這個故事
[00:00:05.700 --> 00:00:07.920]  特別在現在這個處境
[00:00:07.920 --> 00:00:10.880]  香港人正是有很多的不穩定
[00:00:10.880 --> 00:00:13.480]  心裏面可能有很多的不安
[00:00:13.480 --> 00:00:15.320]  究竟我們的信仰
[00:00:15.320 --> 00:00:17.300]  究竟我們的主耶穌
[00:00:17.300 --> 00:00:20.240]  怎樣去對應我們現在的生活呢?
[00:00:20.240 --> 00:00:23.640]  究竟對我們有甚麼的意義呢?
[00:00:23.640 --> 00:00:26.000]  讓我們一齊先來祈禱
[00:00:26.000 --> 00:00:27.840]  預備自己的心靈
[00:00:27.840 --> 00:00:30.000]  來對聆聽主的道
[00:00:30.000 --> 00:00:32.640]  我們同心 低頭 禱告
[00:00:32.640 --> 00:00:34.680]  在福音書裏面提到
[00:00:34.680 --> 00:00:38.320]  道成肉身 住在我們中間
[00:00:38.320 --> 00:00:42.160]  充充滿滿有恩典 有真理
[00:00:42.160 --> 00:00:45.200]  神啊 今天晚上
[00:00:45.200 --> 00:00:48.440]  我們靠著祢的恩典
[00:00:48.440 --> 00:00:51.080]  我們可以來到祢的面前
[00:00:51.080 --> 00:00:53.080]  我們可以敬拜祢
[00:00:53.080 --> 00:00:55.400]  可以去聽祢的故事
[00:00:55.400 --> 00:00:57.880]  來思考主祢的恩典
[00:00:57.880 --> 00:00:59.560]  我們感謝祢
[00:00:59.560 --> 00:01:02.080]  求祢打開我們的心
[00:01:02.080 --> 00:01:05.600]  幫助我們有那個受教的靈
[00:01:05.600 --> 00:01:10.600]  免得我們輕忽了祢的教導和祢的提醒
[00:01:10.600 --> 00:01:12.960]  求神祢藉著祢的聖言
[00:01:12.960 --> 00:01:16.320]  祢的話語去觸動我們的內心
[00:01:16.320 --> 00:01:18.600]  我們願意去親近祢
[00:01:18.600 --> 00:01:22.600]  我們願意再一次去思考祢的心恩口愛
[00:01:22.600 --> 00:01:25.760]  求真理的聖靈親自帶領我們
[00:01:25.760 --> 00:01:28.520]  讓我們今晚遇見祢
[00:01:28.520 --> 00:01:30.320]  聽到祢的教導
[00:01:30.320 --> 00:01:31.720]  我們以上的祈禱
[00:01:31.720 --> 00:01:35.880]  是奉靠救主耶穌寶貴的聖名來祈求
[00:01:35.880 --> 00:01:37.160]  阿們
[00:01:52.600 --> 00:01:55.040]  在當代的人裏面
[00:01:55.040 --> 00:01:57.760]  誰是最有影響力的
[00:01:57.760 --> 00:01:59.960]  當時的美國人有些人會說
[00:01:59.960 --> 00:02:03.760]  當然是他們自己國家的總統
[00:02:03.760 --> 00:02:05.760]  即是那時的奧巴馬
[00:02:05.760 --> 00:02:07.320]  原因很簡單
[00:02:07.320 --> 00:02:10.240]  因為他就是強國的領袖
[00:02:10.240 --> 00:02:13.840]  所以他的決定一定影響全世界
[00:02:13.840 --> 00:02:16.240]  所以他就最有影響力了
[00:02:16.240 --> 00:02:18.320]  不過有些人不贊同
[00:02:18.320 --> 00:02:20.440]  所以有些人會說
[00:02:20.440 --> 00:02:28.240]  他們會推舉持續推動民主的捷克總統哈維爾
[00:02:28.240 --> 00:02:31.840]  因為哈維爾用非暴力的方法
[00:02:31.840 --> 00:02:37.720]  去結束了長達43年的共黨統治
[00:02:37.720 --> 00:02:40.160]  所以有些人評價哈維爾
[00:02:40.160 --> 00:02:44.280]  就是當時那個世代的傳奇
[00:02:44.280 --> 00:02:47.760]  可見他的影響力有多麼深遠
[00:02:47.760 --> 00:02:51.160]  不過還是有些人覺得未必是他
[00:02:51.160 --> 00:02:55.120]  有些人會推舉北韓的領袖
[00:02:55.120 --> 00:02:56.880]  即是姓金的那個
[00:02:56.880 --> 00:02:58.440]  為甚麼是他呢
[00:02:58.440 --> 00:03:02.720]  因為他手握很多的核武
[00:03:02.720 --> 00:03:05.360]  只要他一聲令下
[00:03:05.360 --> 00:03:06.840]  只要他按一個按鈕
[00:03:06.840 --> 00:03:11.200]  這個世界就即時會進入危機的裏面
[00:03:11.200 --> 00:03:14.280]  最後這個調查結果
[00:03:14.280 --> 00:03:16.320]  究竟誰當選
[00:03:16.320 --> 00:03:19.200]  會不會是我剛才講的那三個
[00:03:19.200 --> 00:03:21.960]  不是 不是他們那三個
[00:03:21.960 --> 00:03:23.880]  究竟是哪一個
[00:03:23.880 --> 00:03:26.440]  其實這個人你們都認識
[00:03:26.440 --> 00:03:31.560]  因為香港人其實有很多是在用他的產品
[00:03:31.560 --> 00:03:32.760]  甚麼產品
[00:03:32.760 --> 00:03:35.000]  就是那些I的產品
[00:03:35.000 --> 00:03:36.240]  沒錯
[00:03:36.240 --> 00:03:40.000]  我說的那個就是僑報司Steve Jobs
[00:03:40.000 --> 00:03:43.800]  我不知道你認不認同這個調查結果
[00:03:43.800 --> 00:03:46.840]  但真是有很多人認為Steve Jobs
[00:03:46.840 --> 00:03:50.200]  改變了我們整個人類的生活模式
[00:03:50.200 --> 00:03:51.880]  因為在我們以前
[00:03:51.880 --> 00:03:54.760]  我們的溝通模式其實很有局限
[00:03:54.760 --> 00:03:56.320]  很有限制
[00:03:56.320 --> 00:03:58.240]  他的發明
[00:03:58.240 --> 00:03:59.600]  他的產品
[00:03:59.600 --> 00:04:03.920]  就讓我們的溝通模式推到另一個層次
[00:04:03.920 --> 00:04:06.440]  這個就是他厲害的地方
[00:04:06.440 --> 00:04:09.160]  有人說要去多謝他的發明
[00:04:09.160 --> 00:04:13.760]  因為他的發明帶給他們在生活上有很多樂趣
[00:04:13.760 --> 00:04:16.000]  更加有些人會期待
[00:04:16.000 --> 00:04:19.280]  他每一次的新產品的面世
[00:04:19.280 --> 00:04:22.280]  因為每一次他們都會覺得
[00:04:22.280 --> 00:04:25.600]  都會帶給他們很多的驚喜
[00:04:25.600 --> 00:04:28.160]  不過我想說的就是
[00:04:28.160 --> 00:04:30.240]  其實在二千多年前
[00:04:30.240 --> 00:04:32.240]  耶穌基督的誕生
[00:04:32.240 --> 00:04:35.200]  其實帶給我們人類的影響
[00:04:35.200 --> 00:04:37.520]  更加大更加深遠
[00:04:37.520 --> 00:04:43.920]  今晚我們會再一次去思想主耶穌基督的誕生
[00:04:43.920 --> 00:04:47.440]  去思想祂的誕生和我們的關係
[00:04:47.440 --> 00:04:54.040]  讓我們先來看二章第一至第七節的經文
[00:04:54.040 --> 00:04:56.440]  經文一開始是第一節
[00:04:56.440 --> 00:04:58.800]  「在那些日子」
[00:04:58.800 --> 00:05:00.320]  這個是什麼日子?
[00:05:00.320 --> 00:05:02.040]  什麼時間?
[00:05:02.040 --> 00:05:07.240]  就是羅馬王凱撒·奧古斯都作王的時候
[00:05:07.240 --> 00:05:10.200]  經文一開始提到這個王
[00:05:10.200 --> 00:05:12.520]  就下了一條聖旨
[00:05:12.520 --> 00:05:15.400]  就是要叫他全國的人民
[00:05:15.400 --> 00:05:17.160]  各歸各城
[00:05:17.160 --> 00:05:21.280]  回去辦理登記戶籍的手續
[00:05:21.280 --> 00:05:24.760]  換句話說就是去做人口的登記
[00:05:24.760 --> 00:05:27.000]  做人口的調查
[00:05:27.000 --> 00:05:29.160]  如果換成是今天的話
[00:05:29.160 --> 00:05:31.680]  其實都沒什麼大不了
[00:05:31.680 --> 00:05:34.320]  因為我們只需要留在家裡
[00:05:34.320 --> 00:05:37.720]  等那些政府派來的官員或者人
[00:05:37.720 --> 00:05:40.440]  上門去做登記就可以了
