
[00:00:00.000 --> 00:00:04.380]  今天願意藉著主題話語跟大家分享一個訊息
[00:00:04.380 --> 00:00:12.660]  在程序表寫著訊息的主題是「認識神」
[00:00:12.660 --> 00:00:14.580]  其實後面有個副題
[00:00:14.580 --> 00:00:18.540]  就是「究竟你知多少」
[00:00:18.540 --> 00:00:21.820]  我沒有寫下去
[00:00:21.820 --> 00:00:25.780]  但我的副題是「究竟你知道多少」
[00:00:25.780 --> 00:00:31.860]  我想請大家打開剛才主席跟我們讀的經文
[00:00:31.860 --> 00:00:33.740]  在二筆鎖書第一章
[00:00:33.740 --> 00:00:41.460]  我們再一次打開這段經文
[00:00:41.460 --> 00:00:44.100]  其實每一次我發佈讀經文的時候
[00:00:44.100 --> 00:00:46.380]  如果認真要入個心
[00:00:46.380 --> 00:00:48.420]  應該不止讀一次
[00:00:48.420 --> 00:00:50.060]  最少兩三次
[00:00:50.060 --> 00:00:51.860]  不如我們試一次
[00:00:51.860 --> 00:00:55.460]  我們一起讀第十五和第十六節
[00:00:55.460 --> 00:00:57.900]  我們讀新日本第十五和第十六節
[00:00:57.900 --> 00:00:59.020]  我們開始
[00:00:59.020 --> 00:01:04.100]  因此我聽到你們在主耶穌裡的信心
[00:01:04.100 --> 00:01:06.740]  我對眾生同的愛心
[00:01:06.740 --> 00:01:10.380]  就不絕地為你們獻上感恩
[00:01:10.380 --> 00:01:13.980]  我禱告的誓效尚尚提到您
[00:01:13.980 --> 00:01:16.740]  到此為止
[00:01:16.740 --> 00:01:18.420]  我們一起有個祈禱
[00:01:18.420 --> 00:01:25.140]  將以下時間交託給主
[00:01:25.140 --> 00:01:26.540]  顛覆這個清晨的時間
[00:01:26.540 --> 00:01:30.660]  我們願意來到您的面前
[00:01:30.660 --> 00:01:33.820]  我們將我們的心打開
[00:01:33.820 --> 00:01:37.020]  我們將過去一周的煩惱
[00:01:37.020 --> 00:01:40.460]  或者我們所牽掛的事放下
[00:01:40.460 --> 00:01:43.460]  我們單一地來到您的面前
[00:01:43.460 --> 00:01:44.860]  等候您
[00:01:44.860 --> 00:01:47.380]  敬拜您
[00:01:47.380 --> 00:01:51.060]  也祈求聖靈在我們心裡工作
[00:01:51.060 --> 00:01:56.780]  讓我們的心能夠主祢可以說話
[00:01:56.780 --> 00:02:01.180]  可以改變 可以無助
[00:02:01.180 --> 00:02:05.860]  聖靈求祢在我們心裡啟迪我們
[00:02:05.860 --> 00:02:09.740]  讓我們能夠有一個屬天的眼睛
[00:02:09.740 --> 00:02:11.660]  心裡的眼睛能夠打開
[00:02:11.660 --> 00:02:13.820]  看到屬天的事
