
[00:00:00.000 --> 00:00:03.420]  好 接下來要跟大家分享聖經的經文
[00:00:03.420 --> 00:00:05.720]  那今天給大家分享的主題是
[00:00:05.720 --> 00:00:08.960]  立百家的愛與哀愁
[00:00:08.960 --> 00:00:13.600]  我想立百家這個人物大家應該都蠻熟悉的
[00:00:13.600 --> 00:00:16.640]  因為常常讀創世紀的時候
[00:00:16.640 --> 00:00:18.620]  我們都會看到這個人物
[00:00:18.620 --> 00:00:21.480]  而且呢 他在
[00:00:21.480 --> 00:00:24.660]  被娶的時候
[00:00:24.660 --> 00:00:26.760]  我們會看到一段的經文是
[00:00:26.760 --> 00:00:29.320]  虞撒娶親的那段的經文
[00:00:29.320 --> 00:00:33.100]  那段的經文呢 也是給我有很深的一個的印象
[00:00:33.100 --> 00:00:34.220]  那我想
[00:00:34.220 --> 00:00:37.900]  大多數的男性
[00:00:37.900 --> 00:00:40.940]  讀到這段的經文應該都會很羨慕
[00:00:40.940 --> 00:00:43.820]  這個虞撒 他會娶到一位
[00:00:43.820 --> 00:00:45.220]  非常的
[00:00:45.220 --> 00:00:48.580]  賢慧 然後非常令人
[00:00:48.580 --> 00:00:50.940]  羨慕的女子 立百家
[00:00:50.940 --> 00:00:54.020]  那在虞撒娶妻的那段經文裡面呢
[00:00:54.020 --> 00:00:57.980]  我不曉得大家還記不記得裡面的一些描述
[00:00:58.220 --> 00:01:00.220]  裡面講到立百家
[00:01:00.220 --> 00:01:03.080]  特別形容他的外貌 他是用了
[00:01:03.080 --> 00:01:05.140]  極其美麗
[00:01:05.140 --> 00:01:09.740]  用了極其美麗這個字眼來形容他
[00:01:09.740 --> 00:01:12.400]  說明他的美貌是非凡的
[00:01:12.400 --> 00:01:15.160]  而且在往後的經文裡面
[00:01:15.160 --> 00:01:18.740]  我們都看到多次 就是外邦人也好
[00:01:18.740 --> 00:01:20.140]  亞伯拉罕帶著他
[00:01:20.140 --> 00:01:23.520]  虞撒帶著他的時候 也是立百家呢
[00:01:23.520 --> 00:01:25.680]  很讓其他人去羨慕的
[00:01:25.940 --> 00:01:28.800]  那除了外表很美之外呢
[00:01:28.800 --> 00:01:30.700]  他的心靈也非常美的
[00:01:30.700 --> 00:01:32.540]  不只是外表美而已
[00:01:32.540 --> 00:01:34.700]  為什麼說他心靈非常的美呢
[00:01:34.700 --> 00:01:37.540]  那當那個奉
[00:01:37.540 --> 00:01:41.700]  亞伯拉罕的命 就是去
[00:01:41.700 --> 00:01:46.180]  找媳婦的那個僕人見到立百家的時候呢
[00:01:46.180 --> 00:01:48.420]  求立百家給他水喝
[00:01:48.420 --> 00:01:51.420]  那立百家就主動的就給他水喝
[00:01:51.420 --> 00:01:53.420]  而且不只是給他水喝
[00:01:53.420 --> 00:01:57.980]  還把他的食品的駱駝都餵飽
[00:01:57.980 --> 00:01:59.420]  你想想喔
[00:01:59.420 --> 00:02:03.020]  不只是單純的給那個客人來喝水
[00:02:03.020 --> 00:02:05.820]  而且連他帶來的這些的駱駝
[00:02:05.820 --> 00:02:08.420]  不只是一頭駱駝
[00:02:08.420 --> 00:02:11.420]  還是有十頭駱駝這麼多
[00:02:11.420 --> 00:02:13.420]  那你想想
[00:02:13.420 --> 00:02:15.420]  是不是非常的好客
[00:02:15.420 --> 00:02:17.420]  而且他心地非常的善良
[00:02:17.420 --> 00:02:21.980]  而且人家沒有叫他去餵那個駱駝喝水的
[00:02:21.980 --> 00:02:25.020]  他是好像順帶的給水給你喝
[00:02:25.020 --> 00:02:30.020]  那連你的駱駝我都去把它餵水喝
[00:02:30.020 --> 00:02:31.020]  那你想想
[00:02:31.020 --> 00:02:33.020]  除了他心地善良以外
[00:02:33.020 --> 00:02:36.620]  他此時也要有很健壯的身體才行
[00:02:36.620 --> 00:02:38.620]  他的不只是心靈
[00:02:38.620 --> 00:02:42.620]  他身體的素質也是非常的壯的
[00:02:42.620 --> 00:02:43.620]  為什麼這麼講呢
[00:02:43.620 --> 00:02:44.620]  你想想
[00:02:44.620 --> 00:02:47.620]  你要餵一批的駱駝喝飽水
[00:02:47.620 --> 00:02:50.620]  需要扛多少的水給他喝
[00:02:50.620 --> 00:02:52.620]  我沒有餵過駱駝
[00:02:52.620 --> 00:02:54.620]  不知道他要喝多少水
[00:02:54.620 --> 00:02:57.620]  你單單要餵飽一批駱駝
[00:02:57.620 --> 00:02:59.620]  應該是很多的水吧
[00:02:59.620 --> 00:03:02.620]  那你要用水瓶子去扛水給他對不對
[00:03:02.620 --> 00:03:05.620]  那要餵十匹呢
[00:03:05.620 --> 00:03:07.620]  我想這個工作
[00:03:07.620 --> 00:03:10.620]  你身體差一點應該都做不了的
[00:03:10.620 --> 00:03:13.620]  所以說明立百家身體應該也蠻棒的
[00:03:13.620 --> 00:03:15.620]  所以整體來看
[00:03:15.620 --> 00:03:17.620]  他是一個又美麗
[00:03:17.620 --> 00:03:19.620]  心地又很好
[00:03:19.620 --> 00:03:21.620]  而且身體又很壯
[00:03:21.620 --> 00:03:24.620]  很會做農活的一個女子
[00:03:24.620 --> 00:03:26.620]  那在當時的農業的社會來講
[00:03:26.620 --> 00:03:29.620]  真的是可遇不可求對不對
[00:03:29.620 --> 00:03:31.620]  你看到都會很喜歡的
[00:03:31.620 --> 00:03:33.620]  就各方面的要求
[00:03:33.620 --> 00:03:35.620]  都是很棒的 很優秀的
[00:03:35.620 --> 00:03:39.620]  所以每當看到這個經文的時候
[00:03:39.620 --> 00:03:41.620]  我們都會很羨慕立百家
[00:03:41.620 --> 00:03:43.620]  覺得如果能娶到這樣的女子
[00:03:43.620 --> 00:03:46.620]  就應該是很幸福的了
[00:03:46.620 --> 00:03:50.620]  但今天我們來看一段經文看看
[00:03:50.620 --> 00:03:53.620]  這個立百家是不是給家庭
[00:03:53.620 --> 00:03:57.620]  或者是給雅各帶來很多的幸福呢
[00:03:57.620 --> 00:03:59.620]  恰恰相反
[00:03:59.620 --> 00:04:01.620]  在今天我們要看的經文裡面
[00:04:01.620 --> 00:04:06.620]  我們看到立百家的兒子就是雅各
[00:04:06.620 --> 00:04:08.620]  他欺騙父親以撒
[00:04:08.620 --> 00:04:10.620]  得到以撒的祝福
[00:04:10.620 --> 00:04:12.620]  然後呢
[00:04:12.620 --> 00:04:16.620]  也是因為立百家來幫助他達到這個目的
[00:04:16.620 --> 00:04:20.620]  所以後來給家庭帶來很大的悲劇
[00:04:20.620 --> 00:04:24.620]  那立百家他好像非常令人羨慕
[00:04:24.620 --> 00:04:29.620]  但是最後也是給家庭帶來很大的傷害
[00:04:29.620 --> 00:04:31.620]  那我們來看一看這段經文
[00:04:31.620 --> 00:04:33.620]  給我們有什麼樣的一些的啟發
[00:04:33.620 --> 00:04:36.620]  我們先來看第一段的經文
[00:04:36.620 --> 00:04:42.620]  在《創世紀》的二十七章第一到第四節
[00:04:42.620 --> 00:04:44.620]  我們先來看這四節的經文
[00:04:44.620 --> 00:04:49.620]  那如果你手上有手機的聖經也可以打開來看
[00:04:49.620 --> 00:04:51.620]  我們先來念一下這四節的經文
[00:04:51.620 --> 00:04:53.620]  好 一二起
[00:04:53.620 --> 00:04:57.620]  以撒年老 眼睛昏花 不能看見
[00:04:57.620 --> 00:05:01.620]  就叫了他大兒子以掃來說
[00:05:01.620 --> 00:05:06.620]  我 以掃說 我在這裡 他說 我如今老了
[00:05:06.620 --> 00:05:10.620]  不知道哪一天死 現在拿你的器械
