
[00:00:00.000 --> 00:00:04.000]  大家平安,我們一齊祈禱
[00:00:04.000 --> 00:00:09.000]  祝福今夜你自己的恩典,讓我們在主人的清晨可以一同聚集
[00:00:09.000 --> 00:00:14.000]  聆聽你自己的話語,亦都唱詩歌頌讚美你
[00:00:14.000 --> 00:00:19.000]  奉求你的聖靈,幫助我們能夠聽到你的說話
[00:00:19.000 --> 00:00:21.000]  幫助我們能夠遵行你的說話
[00:00:21.000 --> 00:00:24.000]  以致我們有個幸福的人生
[00:00:24.000 --> 00:00:28.000]  奉耶穌基督的名祈禱,阿們
[00:00:30.000 --> 00:00:34.000]  我們繼續講彼得前書,第三章
[00:00:34.000 --> 00:00:41.000]  在這本書的前兩章,彼得提醒我們有特殊的身份
[00:00:41.000 --> 00:00:45.000]  尤其是當世人藐視我們,譏諷我們
[00:00:45.000 --> 00:00:49.000]  以不平等的方式對待我們的時候
[00:00:49.000 --> 00:00:53.000]  我們更加要尊重自己的身份
[00:00:53.000 --> 00:00:57.000]  是上帝聖潔角度的子民
[00:00:57.000 --> 00:01:01.000]  我們生活要聖潔,亦都要盡責
[00:01:01.000 --> 00:01:06.000]  宣揚那位召我們出黑暗,入奇妙光明者的彼得
[00:01:06.000 --> 00:01:10.000]  如果我們想要做得到
[00:01:10.000 --> 00:01:14.000]  我們就要愛慕上帝話語和視上親近主
[00:01:14.000 --> 00:01:20.000]  使我們知取從上主而來的力量和智慧
[00:01:20.000 --> 00:01:29.000]  上星期張傳道和我們分享了彼得在二章11至25節的教導
[00:01:29.000 --> 00:01:32.000]  那段經文特別提醒我們
[00:01:32.000 --> 00:01:35.000]  雖然我們是天國的國民
[00:01:35.000 --> 00:01:38.000]  但在未回到天家之前
[00:01:38.000 --> 00:01:41.000]  其實是寄居在世上
[00:01:41.000 --> 00:01:47.000]  既然是寄居,我們就要帶著旅客的心態過活
[00:01:47.000 --> 00:01:51.000]  簡單來說,活在世上的時候
[00:01:51.000 --> 00:01:59.000]  我們要正心修身、奉公守法、善用自由、尊敬眾人
[00:01:59.000 --> 00:02:04.000]  做奴隸的信徒也要恭敬服從主人
[00:02:04.000 --> 00:02:09.000]  彼得更加以主耶穌的受苦作為榜樣
[00:02:09.000 --> 00:02:13.000]  勸導、修信人要效法主
[00:02:13.000 --> 00:02:18.000]  即使受苦,也要信服在上掌權的人
[00:02:18.000 --> 00:02:26.000]  在這個世上,我們與不同的人有不同的關係
[00:02:26.000 --> 00:02:33.000]  今天我想從彼得的教導和大家一起思想夫妻相處之道
[00:02:33.000 --> 00:02:36.000]  所以今天的講題叫做「結伴同行」
[00:02:36.000 --> 00:02:40.000]  或者叫做「活在夫妻關係中」都可以
[00:02:40.000 --> 00:02:43.000]  不過我想選一個短一點的題目
[00:02:43.000 --> 00:02:48.000]  事實上,婚姻制度是上帝設立的
[00:02:48.000 --> 00:02:52.000]  在《創世紀》很清楚的畫面我們知道
[00:02:52.000 --> 00:02:56.000]  上帝做了男人之後,就為他做一個女人
[00:02:56.000 --> 00:03:00.000]  成為男人的幫手或者伴侶
[00:03:00.000 --> 00:03:05.000]  在《創世紀》第二章,上帝是先做男人
[00:03:05.000 --> 00:03:11.000]  然後等他嘗試過孤單寂寞的滋味之後
[00:03:11.000 --> 00:03:14.000]  上帝還不是馬上做一個女人
[00:03:14.000 --> 00:03:18.000]  而是先叫他看看其他動物,看清楚
