
[00:00:00.000 --> 00:00:03.060]  很想和大家去看一張照片
[00:00:03.060 --> 00:00:04.980]  哎,前面有人
[00:00:04.980 --> 00:00:06.340]  我想問一下大家
[00:00:06.340 --> 00:00:08.760]  大家在街上有沒有遇到過
[00:00:08.760 --> 00:00:12.180]  或者見過類似的露宿者朋友
[00:00:12.180 --> 00:00:14.800]  經常都有
[00:00:14.800 --> 00:00:16.800]  是不是在觀塘區的?
[00:00:16.800 --> 00:00:20.640]  嗯,是的
[00:00:20.640 --> 00:00:23.040]  沒錯,中環是一個
[00:00:23.040 --> 00:00:26.000]  應該在那裡已經以年計的露宿者
[00:00:26.000 --> 00:00:28.120]  在那裡很出名的了
[00:00:28.600 --> 00:00:31.180]  有沒有見過類似的人坐在那裡
[00:00:31.180 --> 00:00:33.780]  其實他不是在看什麼,是在耽天忘地
[00:00:33.780 --> 00:00:35.280]  周圍有很多東西
[00:00:35.280 --> 00:00:37.160]  嗯,很迷茫
[00:00:37.160 --> 00:00:39.160]  你見到周圍呢,其實你見到
[00:00:39.160 --> 00:00:40.820]  遠處有一對腳的
[00:00:40.820 --> 00:00:44.040]  不過呢,其實沒什麼人會走過來他身邊的
[00:00:44.040 --> 00:00:47.400]  如果你們有見過的話
[00:00:47.400 --> 00:00:50.200]  通常你們會做些什麼呢?
[00:00:50.200 --> 00:00:52.960]  給錢他
[00:00:52.960 --> 00:00:55.880]  做什麼呢?
[00:00:57.520 --> 00:01:00.200]  或者你們會有些什麼感受呢?
[00:01:00.200 --> 00:01:04.900]  回去,你們有沒有再想起
[00:01:04.900 --> 00:01:08.020]  在街上見過這個朋友呢?
[00:01:08.020 --> 00:01:13.220]  我記得十幾年前的時候
[00:01:13.220 --> 00:01:14.760]  我有一次
[00:01:14.760 --> 00:01:18.100]  那時候我剛剛社工畢業沒多久
[00:01:18.100 --> 00:01:20.060]  我有一次去旺角
[00:01:20.060 --> 00:01:22.780]  我還記得那次是夏天
[00:01:22.780 --> 00:01:26.020]  那天還發出了這個"號2天氣警告"
[00:01:26.020 --> 00:01:29.600]  我記得我在街上遇見一個人
[00:01:29.600 --> 00:01:31.740]  他不是坐在那裡,而是站在那裡
[00:01:31.740 --> 00:01:35.040]  同樣,我剛剛說的是"號2天氣警告"
[00:01:35.040 --> 00:01:38.860]  不過,他穿著的衣服跟他們差不多
[00:01:38.860 --> 00:01:42.160]  是穿著這件冬天穿的棉褸
[00:01:42.160 --> 00:01:46.880]  黑色,站在那裡
[00:01:46.880 --> 00:01:49.180]  我基本上是沒辦法見到他的樣子的
[00:01:49.180 --> 00:01:52.100]  因為他當時做了一個這樣的動作
[00:01:57.020 --> 00:01:59.740]  大家知不知道他在做什麼呢?
[00:01:59.740 --> 00:02:02.940]  他伸出手來做什麼呢?
[00:02:02.940 --> 00:02:06.840]  想人幫忙嗎?
[00:02:06.840 --> 00:02:08.840]  幫什麼呢?
[00:02:08.840 --> 00:02:11.400]  其實當時他伸出手來
[00:02:11.400 --> 00:02:14.360]  其實是想問人拿錢
[00:02:14.360 --> 00:02:15.800]  但是呢
[00:02:15.800 --> 00:02:17.800]  他的頭低到
[00:02:17.800 --> 00:02:19.800]  我們沒辦法見到他的樣子
[00:02:19.800 --> 00:02:22.820]  我只是隱約看到他兩眼的時候
[00:02:22.820 --> 00:02:24.020]  我才發現
[00:02:24.020 --> 00:02:27.240]  其實他應該是皮膚有問題的
[00:02:27.240 --> 00:02:30.380]  因為我看到他的頸部和手
[00:02:30.380 --> 00:02:33.180]  其實是充滿著紅疹
[00:02:33.180 --> 00:02:36.120]  當時我有個感覺就是
[00:02:36.120 --> 00:02:40.220]  "哎呀,大熱天時要穿著這麼厚的衣服"
