
[00:00:00.000 --> 00:00:03.000]  好,那麼在開始之前我們先做一個禱告
[00:00:03.000 --> 00:00:06.000]  我們把這段時間交給聖靈,交給神
[00:00:06.000 --> 00:00:08.000]  把我們的心也交給祂
[00:00:08.000 --> 00:00:11.000]  我們在天上的父神,還有我們的主耶穌基督
[00:00:11.000 --> 00:00:14.000]  我們滿心的感謝祢,讚美祢
[00:00:14.000 --> 00:00:16.000]  主而是祢自己把我們召聚在這裡
[00:00:16.000 --> 00:00:19.000]  是祢自己引導我們,是祢自己保守我們
[00:00:19.000 --> 00:00:20.000]  我們謝謝祢
[00:00:20.000 --> 00:00:24.000]  我們把下面這段時間都仰望在祢的手中
[00:00:24.000 --> 00:00:26.000]  把我們每一個人的心思意念
[00:00:26.000 --> 00:00:28.000]  不管我們是認識祢了也好
[00:00:28.000 --> 00:00:30.000]  或者是我們還沒有認識祢
[00:00:30.000 --> 00:00:33.000]  主而是我們把我們的心思意念都交在祢自己的手中
[00:00:33.000 --> 00:00:37.000]  主而是祢讓我們真的是定義要聽祢自己的話
[00:00:37.000 --> 00:00:40.000]  我們謝謝祢,禱告奉耶穌基督的聖物
[00:00:40.000 --> 00:00:46.000]  所以請你們看到創世紀第28章第10節
[00:00:46.000 --> 00:00:48.000]  開始一直到第22節
[00:00:48.000 --> 00:00:51.000]  這就是我們這一次,我們所要思想
[00:00:59.000 --> 00:01:04.000]  好,我的題目就是與神同行
[00:01:04.000 --> 00:01:08.000]  下面就是講到雅各,他有一個遭遇
[00:01:08.000 --> 00:01:10.000]  這個遭遇是什麼?改變了他的生命
[00:01:10.000 --> 00:01:12.000]  改變了他的心思意念
[00:01:12.000 --> 00:01:17.000]  都是在創世紀第28章第10到22節
[00:01:17.000 --> 00:01:22.000]  首先呢,我們一起來讀第10節、11節,好不好?
[00:01:22.000 --> 00:01:29.000]  一起請,向巴蘭走去,到了一個地方
[00:01:29.000 --> 00:01:33.000]  因為太陽落了,就在那裡住宿
