
[00:00:00.000 --> 00:00:05.860]  為什麼人總是在跨年的時候設定目標
[00:00:05.860 --> 00:00:12.580]  為什麼在每一年的一月的時候會定定新年大計
[00:00:12.580 --> 00:00:20.120]  紐約時報《Smart to Living》專欄的那些編輯去探討這個現象
[00:00:20.120 --> 00:00:25.140]  他們發現 或者是因為1月1日
[00:00:25.140 --> 00:00:29.060]  好像是一個重置的日子
[00:00:29.060 --> 00:00:32.740]  他們說 在大學畢業了之後
[00:00:32.740 --> 00:00:43.440]  我們周遭的人都不會有另一個階段來評估我們生活當中的事物
[00:00:43.440 --> 00:00:53.940]  而新年就很適合作為社會人士評估生活狀態下定決心的一個日子
[00:00:53.940 --> 00:00:58.280]  確實 根據Pew Research Center的數據
[00:00:58.280 --> 00:01:05.300]  每年有三分之一到二分之一的美國人定定自己的新年目標
[00:01:05.300 --> 00:01:11.540]  但是 各式不同的調查和研究證實
[00:01:11.540 --> 00:01:20.560]  這樣的新年新希望往往是以失敗收場
[00:01:20.560 --> 00:01:25.280]  一份研究顯示 到每年的六月
[00:01:25.280 --> 00:01:31.960]  只有不到一半的人仍然持續為到新年目標去努力
[00:01:31.960 --> 00:01:35.720]  另一項的調查發現 成功率更低
[00:01:35.720 --> 00:01:39.560]  在低度只剩下百分之六
[00:01:39.560 --> 00:01:44.520]  證實這些數字的一種方式是市場的數據
[00:01:44.520 --> 00:01:53.180]  比如說 去健身房去gym的會員人數在元旦之後就立刻暴增
[00:01:53.180 --> 00:01:56.180]  到一月的第三個星期
[00:01:56.180 --> 00:02:01.440]  去健身房的人數已經開始很明顯地下降
[00:02:01.440 --> 00:02:10.620]  八個月之後 大約有一半的新會員會完全不出席了
[00:02:10.620 --> 00:02:16.040]  另一份US News & World Report的調查也表明
[00:02:16.040 --> 00:02:23.320]  到了年中 總共會有八成的新年目標不會被實現
[00:02:23.320 --> 00:02:31.580]  而且多數的人 甚至早在二月中旬就已經失去了意志力
[00:02:31.580 --> 00:02:34.920]  讓我和大家回顧一下上一次
[00:02:34.920 --> 00:02:40.680]  上個星期 和大家開始齊齊新年立志
[00:02:40.680 --> 00:02:49.020]  大家都嘗試學習有purpose 有目的 有plan 有計劃
[00:02:49.020 --> 00:02:56.580]  有priority 有先後次序的去定定我們2023年的新年計劃
[00:02:56.580 --> 00:03:00.320]  我們邀請了聖靈和我們合作
[00:03:00.320 --> 00:03:06.440]  實行一個切切實實的和聖靈合作的計劃
[00:03:06.440 --> 00:03:10.640]  Join Venture with the Holy Spirit
[00:03:10.640 --> 00:03:17.320]  這個和聖靈的Join Venture合作計劃分三方面
[00:03:17.320 --> 00:03:22.120]  第一是定時與神約會
[00:03:22.120 --> 00:03:30.380]  靈修很多時候我們都會想起quiet time 寧靜的時刻
[00:03:30.380 --> 00:03:36.880]  很貼切 是我們和神約會的那一刻
[00:03:36.880 --> 00:03:43.040]  靈修不單單是讀經 祈禱 默想 反思 歌頌
[00:03:43.040 --> 00:03:45.820]  這些都是認識
[00:03:45.820 --> 00:03:52.320]  最重要的是當我們的人來到神面前的時候
[00:03:52.320 --> 00:03:56.780]  我們的心是不是同時也來到
[00:03:56.780 --> 00:04:01.980]  我們是不是在這個時刻當中讓神進入到我們裡面
[00:04:01.980 --> 00:04:06.680]  也讓我們進入到神裡面
[00:04:06.680 --> 00:04:09.420]  彼此結連
[00:04:09.420 --> 00:04:16.180]  對神有更深的認識 有更深的契合和相襯
[00:04:16.180 --> 00:04:20.120]  在靈修的時間裡面有兩件很重要的事
[00:04:20.120 --> 00:04:28.020]  第一 最重要的是神在這段時間當中有所得著
[00:04:28.020 --> 00:04:31.280]  靈修應該是以神為中心
[00:04:31.280 --> 00:04:36.620]  讚美神 感謝神 敬拜神 愛慕神 親近神
[00:04:36.620 --> 00:04:41.220]  是靈修必須包括的事
[00:04:41.220 --> 00:04:47.820]  第二 是我們自己要在靈修當中有所得著
[00:04:47.820 --> 00:04:51.280]  得著屬靈的力量和幫助
[00:04:51.280 --> 00:04:58.640]  從讀經之中我們可以更多的認識神和祂的旨意
[00:04:58.640 --> 00:05:03.380]  在祈禱的時候 我們將重擔卸給主
[00:05:03.380 --> 00:05:08.440]  並且獲得為主而活的力量
[00:05:08.440 --> 00:05:11.940]  靈修生活就是每天用一段時間
[00:05:11.940 --> 00:05:18.380]  藉著禱告和默想神的話語單獨與神交通
[00:05:18.380 --> 00:05:23.040]  交通即是2-way traffic 是相向的
[00:05:23.040 --> 00:05:28.580]  期間等候祂 眾讚祂 敬拜祂
[00:05:28.580 --> 00:05:32.240]  跟祂有甜蜜的交通
[00:05:32.240 --> 00:05:38.140]  這樣的人心靈必定能夠重新得力
[00:05:38.140 --> 00:05:41.140]  我盼望在過去這個星期
[00:05:41.140 --> 00:05:48.140]  大家都有實實在在的定時與神約會
[00:05:48.140 --> 00:05:51.440]  怎樣呢?那個感覺怎樣呢?
[00:05:51.440 --> 00:05:53.840]  是不是很甜蜜呢?
[00:05:53.840 --> 00:06:00.980]  是不是知道靈修的目的之後
[00:06:00.980 --> 00:06:04.640]  你就可以比較有計劃的
[00:06:04.640 --> 00:06:09.940]  去定定你的先後次序呢?
[00:06:09.940 --> 00:06:12.240]  看回這個星期
[00:06:12.240 --> 00:06:17.840]  你爽約的次數是不是少了呢?
[00:06:17.840 --> 00:06:22.780]  這個和聖靈合作的Joint Venture
[00:06:22.780 --> 00:06:27.640]  的第二方面是 向聚Say No
[00:06:27.640 --> 00:06:32.140]  沒錯 向聚Say No是一生的功課
[00:06:32.140 --> 00:06:36.740]  不過必須從今年開始
[00:06:36.740 --> 00:06:39.840]  從這個月開始
[00:06:39.840 --> 00:06:43.740]  從今天開始
[00:06:43.740 --> 00:06:47.440]  跟從耶穌絕對不是一件容易的任務
[00:06:47.440 --> 00:06:49.840]  特別是當涉及罪
[00:06:49.840 --> 00:06:53.340]  我們更加需要聖靈的力量
[00:06:53.340 --> 00:06:56.940]  我們不能夠再容忍罪
[00:06:56.940 --> 00:07:01.040]  美化罪 甚至為罪證明
[00:07:01.040 --> 00:07:03.240]  我們必須要透過悔改
[00:07:03.240 --> 00:07:09.640]  將罪惡治罪 治以死罪
[00:07:09.640 --> 00:07:13.240]  這個和聖靈合作的Joint Venture
[00:07:13.240 --> 00:07:17.740]  的第三方面是 拾一奉獻
[00:07:17.740 --> 00:07:20.540]  另外一個Priority
[00:07:20.540 --> 00:07:23.440]  我們對上帝的愛有多少?
[00:07:23.440 --> 00:07:28.540]  原來至少在某一定程度上是可以衡量的
[00:07:28.540 --> 00:07:30.340]  怎樣衡量呢?
[00:07:30.340 --> 00:07:32.640]  看看我們有多慷慨
[00:07:32.640 --> 00:07:37.440]  跟我們送給彼此的有形以及無形的禮物當中
[00:07:37.440 --> 00:07:39.440]  其實裡面可以看到
[00:07:39.440 --> 00:07:42.540]  當然 又可以從我們送給上帝的
[00:07:42.540 --> 00:07:45.740]  有形以及無形的奉獻裡面
[00:07:45.740 --> 00:07:49.040]  我們看到我們的意願有多少
[00:07:49.040 --> 00:07:57.240]  從我們的意願 有多少可以看到我們有多愛我們的主
[00:07:57.240 --> 00:07:59.340]  在舊約的律法當中
[00:07:59.340 --> 00:08:04.140]  除了當立的拾一之外
[00:08:04.140 --> 00:08:07.740]  還有捐給利美人的拾一
[00:08:07.740 --> 00:08:09.440]  捐給利美人的十分之一
[00:08:09.440 --> 00:08:13.840]  以及三年一次額外的十分之一
[00:08:13.840 --> 00:08:17.940]  所以 舊約的律法不是規條
[00:08:17.940 --> 00:08:21.440]  當立的拾一 十分之一
[00:08:21.440 --> 00:08:24.740]  是最低限度的標準
[00:08:24.740 --> 00:08:28.940]  在新約 所謂欣典時代的奉獻
[00:08:28.940 --> 00:08:34.140]  不是我們所說只是單單十分之一那麼簡單
[00:08:34.140 --> 00:08:39.340]  更加是將身體獻上 當作活祭
[00:08:39.340 --> 00:08:42.040]  是奉獻我們的全部
[00:08:42.040 --> 00:08:46.740]  是將所有的奉獻
[00:08:46.740 --> 00:08:51.840]  有一個農夫 他靠賣禽畜為生
[00:08:51.840 --> 00:08:55.740]  過了一段時間 他的牲畜都賣不去
[00:08:55.740 --> 00:08:57.740]  他求高神說
[00:08:57.740 --> 00:09:02.540]  若果我能夠將我所有的雞和牛都賣出去
[00:09:02.540 --> 00:09:05.740]  我就將賣牛所得的金錢
[00:09:05.740 --> 00:09:10.340]  全部都奉獻給教會
[00:09:10.340 --> 00:09:14.040]  一個都很慷慨的 一個土局
[00:09:14.040 --> 00:09:17.840]  於是 他就走到市場擺賣
[00:09:17.840 --> 00:09:21.040]  他的標價是這樣的
[00:09:21.040 --> 00:09:25.440]  牛雞套餐201元
[00:09:25.440 --> 00:09:28.840]  牛一隻1元
[00:09:28.840 --> 00:09:31.640]  雞一隻200元
[00:09:31.640 --> 00:09:33.940]  客人見到都覺得很奇怪
[00:09:33.940 --> 00:09:39.540]  但是201元就可以將牛和雞都賣回去
[00:09:39.540 --> 00:09:41.140]  總算是便宜
[00:09:41.140 --> 00:09:44.340]  結果農夫就履行他的承諾
[00:09:44.340 --> 00:09:49.440]  將賣出所有牛隻所得的金錢
[00:09:49.440 --> 00:09:53.440]  即是每一隻牛1元的收入
[00:09:53.440 --> 00:09:55.940]  奉獻給教會
[00:09:55.940 --> 00:09:59.340]  然後他將賣雞的200元
[00:09:59.340 --> 00:10:04.040]  每一隻200元 代代平安
