
[00:00:00.000 --> 00:00:07.800]  今天的講題是因典中的感恩
[00:00:07.800 --> 00:00:11.800]  經文是在《生命紀》第九章
[00:00:11.800 --> 00:00:13.800]  今天有三個重點跟大家分享
[00:00:13.800 --> 00:00:17.000]  第一個重點就是感恩的起點
[00:00:17.000 --> 00:00:20.000]  我們要先明白為何我們需要感恩
[00:00:20.000 --> 00:00:23.600]  首先我們要認清楚自己的本相
[00:00:23.600 --> 00:00:25.600]  當我們不認清自己的本相的時候
[00:00:25.600 --> 00:00:29.800]  我們可能不會時刻想到要感謝我們主
[00:00:29.800 --> 00:00:33.800]  或許我們會忘記了
[00:00:33.800 --> 00:00:35.800]  我們一起看看經文
[00:00:35.800 --> 00:00:37.800]  先看第九章四至六節
[00:00:37.800 --> 00:00:39.800]  我們一起讀
[00:00:59.800 --> 00:01:25.800]  (廣東話)
[00:01:25.800 --> 00:01:36.800]  弟兄姊妹,這裡說到摩西對以色列人發出一個很嚴厲的警告
[00:01:36.800 --> 00:01:38.800]  這個嚴厲的警告是什麼呢?
[00:01:38.800 --> 00:01:43.800]  就是不要把因典當作自己努力得來的獎賞
[00:01:43.800 --> 00:01:48.800]  因為因典是神賜予的,是白白的
[00:01:48.800 --> 00:01:55.800]  我們所做的事不是我們做了什麼有多厲害,而是得來的
[00:01:55.800 --> 00:01:59.800]  所以如果我們要活出感恩的生命
[00:01:59.800 --> 00:02:07.800]  我們必須要很誠實地面對自己的本相
[00:02:07.800 --> 00:02:09.800]  我們的本相是什麼呢?
[00:02:09.800 --> 00:02:12.800]  大家有沒有想過這個問題?
[00:02:12.800 --> 00:02:16.800]  如果看回經文,我們的本相有兩件事
[00:02:16.800 --> 00:02:23.800]  第一件事是說到我們是不義的,是不正直的
[00:02:23.800 --> 00:02:26.800]  剛才大家讀了經文
[00:02:26.800 --> 00:02:29.800]  這裡有三節的經文都說到
[00:02:29.800 --> 00:02:32.800]  不可以說因為我的義
[00:02:32.800 --> 00:02:35.800]  不是因為你心裡正直
[00:02:35.800 --> 00:02:37.800]  也不是因為你的義
[00:02:37.800 --> 00:02:40.800]  即是神令他們得勝
[00:02:40.800 --> 00:02:44.800]  不是因為你們做了什麼,不是因為你們公義
[00:02:44.800 --> 00:02:46.800]  義是說一些什麼呢?
[00:02:46.800 --> 00:02:49.800]  義是說一些善良的行為
[00:02:49.800 --> 00:02:51.800]  即是一些義行
[00:02:51.800 --> 00:02:56.800]  而心裡正直是說全心的純正
[00:02:56.800 --> 00:02:59.800]  高尚
[00:02:59.800 --> 00:03:01.800]  給大家一個例子
[00:03:01.800 --> 00:03:04.800]  有時候我也覺得自己很公義
[00:03:04.800 --> 00:03:09.800]  去到地鐵的時候,我永遠不會坐關愛座
[00:03:09.800 --> 00:03:11.800]  大家會不會坐關愛座呢?
[00:03:11.800 --> 00:03:12.800]  不會吧?
[00:03:12.800 --> 00:03:16.800]  話說有一次,去到一個站
[00:03:16.800 --> 00:03:20.800]  開了,我知道一個已經是小學生
[00:03:20.800 --> 00:03:22.800]  跳踏踏的樣子
[00:03:22.800 --> 00:03:27.800]  走進來,一得就得了去關愛座
[00:03:27.800 --> 00:03:29.800]  坐在關愛座那裡
[00:03:29.800 --> 00:03:32.800]  坐在關愛座前面有個老人家
[00:03:32.800 --> 00:03:33.800]  他不讓給他
[00:03:33.800 --> 00:03:37.800]  我看到,你猜我做過什麼動作呢?
[00:03:37.800 --> 00:03:39.800]  我就跟那個小學生說
[00:03:39.800 --> 00:03:42.800]  喂,小朋友,你剛才走進來跳踏踏
[00:03:42.800 --> 00:03:44.800]  你也挺年青力壯的
[00:03:44.800 --> 00:03:48.800]  不如你讓個位給這個老人家吧
[00:03:48.800 --> 00:03:50.800]  那你猜他讓不讓呢?
[00:03:50.800 --> 00:03:53.800]  喂,讓了,他聽我說
[00:03:53.800 --> 00:03:55.800]  我真的很高興
[00:03:55.800 --> 00:03:57.800]  驚訝地聽我說
[00:03:57.800 --> 00:03:59.800]  這件事情完了
[00:03:59.800 --> 00:04:01.800]  回想我自己
[00:04:01.800 --> 00:04:05.800]  有時候我在地鐵,坐地鐵
[00:04:05.800 --> 00:04:07.800]  我不會坐關愛座
[00:04:07.800 --> 00:04:09.800]  但有座位我會坐
[00:04:09.800 --> 00:04:11.800]  有時候如果我很累的時候
[00:04:11.800 --> 00:04:13.800]  我就會跟自己說
[00:04:13.800 --> 00:04:15.800]  最好不要讓位出去
[00:04:15.800 --> 00:04:18.800]  最好不要有個老人家站在我前面
[00:04:18.800 --> 00:04:21.800]  或者有個懷孕的
[00:04:21.800 --> 00:04:23.800]  或者有些戴著拐杖的
[00:04:23.800 --> 00:04:25.800]  站在我前面
[00:04:25.800 --> 00:04:27.800]  有時候也會的
[00:04:27.800 --> 00:04:29.800]  覺得這個小朋友
[00:04:29.800 --> 00:04:31.800]  應該要讓位給別人
[00:04:31.800 --> 00:04:33.800]  我就想,最好不要了
[00:04:33.800 --> 00:04:35.800]  有時候是這樣的
[00:04:35.800 --> 00:04:36.800]  當我累的時候
[00:04:36.800 --> 00:04:38.800]  所以人有時候也會很有趣
[00:04:38.800 --> 00:04:40.800]  做些事或者想些事
[00:04:40.800 --> 00:04:47.800]  另一方面我們要留意一個重點
[00:04:47.800 --> 00:04:49.800]  人有罪性
[00:04:49.800 --> 00:04:51.800]  不知道大家認不認同
[00:04:51.800 --> 00:04:52.800]  這裡說的是什麼呢?
[00:04:52.800 --> 00:04:55.800]  說的是內心深處與生俱來的
[00:04:55.800 --> 00:04:58.800]  一種自我中心的傾向
[00:04:58.800 --> 00:05:03.800]  是一切犯罪行為的根源
[00:05:03.800 --> 00:05:09.800]  人並非單純犯罪才成為罪人
[00:05:09.800 --> 00:05:10.800]  大家留意一點
[00:05:10.800 --> 00:05:14.800]  而是因為內心帶有一個罪性
[00:05:14.800 --> 00:05:21.800]  因此我們必然會表現出各種的罪
[00:05:21.800 --> 00:05:24.800]  有什麼例子呢?
[00:05:24.800 --> 00:05:28.800]  我看到有兩個小朋友
[00:05:28.800 --> 00:05:30.800]  說回小朋友
[00:05:30.800 --> 00:05:37.800]  你會不會教你的兒子自私或貪心呢?
[00:05:37.800 --> 00:05:39.800]  兒子你最好貪這些
[00:05:39.800 --> 00:05:40.800]  兒子你最好自私
[00:05:40.800 --> 00:05:44.800]  你自己有的東西不要跟別人分開和玩
[00:05:44.800 --> 00:05:46.800]  有時候小朋友是這樣的
[00:05:46.800 --> 00:05:48.800]  看到一些東西
[00:05:48.800 --> 00:05:50.800]  你會說,爸爸,我又要,我又要
[00:05:50.800 --> 00:05:53.800]  有些小小的貪念
[00:05:53.800 --> 00:05:56.800]  另一方面如果擁有一些東西
[00:05:56.800 --> 00:05:57.800]  有些小朋友跟你說
[00:05:57.800 --> 00:05:58.800]  你讓我玩吧
[00:05:58.800 --> 00:05:59.800]  有時候就很捨不得
[00:05:59.800 --> 00:06:00.800]  去給別人玩
[00:06:00.800 --> 00:06:02.800]  有時候可能也會給別人玩
[00:06:02.800 --> 00:06:04.800]  但最後我也要收回
[00:06:04.800 --> 00:06:06.800]  是我擁有的東西
[00:06:06.800 --> 00:06:08.800]  我們看看羅馬書怎樣說
[00:06:08.800 --> 00:06:11.800]  羅馬書三章十至十二節
[00:06:11.800 --> 00:06:12.800]  我們一起讀
[00:06:12.800 --> 00:06:14.800]  就如經上所記
[00:06:14.800 --> 00:06:15.800]  沒有二人
[00:06:15.800 --> 00:06:17.800]  連一個也沒有
[00:06:17.800 --> 00:06:18.800]  沒有明白的
[00:06:18.800 --> 00:06:19.800]  沒有尋求神的
[00:06:19.800 --> 00:06:21.800]  都是偏離正路
[00:06:21.800 --> 00:06:23.800]  一同變為無用
[00:06:23.800 --> 00:06:24.800]  沒有行善的
[00:06:24.800 --> 00:06:28.800]  連一個也沒有
[00:06:28.800 --> 00:06:30.800]  我們的本相就是這樣
[00:06:30.800 --> 00:06:31.800]  弟兄姊妹
[00:06:31.800 --> 00:06:34.800]  另外一個是甚麼呢
[00:06:34.800 --> 00:06:36.800]  剛才也有說
[00:06:36.800 --> 00:06:39.800]  硬著頸汗的百姓
[00:06:39.800 --> 00:06:41.800]  硬著頸汗的意思是
[00:06:41.800 --> 00:06:43.800]  還緊
[00:06:43.800 --> 00:06:45.800]  活逆
[00:06:45.800 --> 00:06:48.800]  好像這兩隻牛
[00:06:48.800 --> 00:06:50.800]  這兩隻公牛原本是耕田的
[00:06:50.800 --> 00:06:54.800]  公牛耕田就要套上鴨
[00:06:54.800 --> 00:06:56.800]  我們有時候也會這樣
[00:06:56.800 --> 00:06:59.800]  我們不願意套上神給我們的鴨
[00:06:59.800 --> 00:07:01.800]  我們不肯負這個鴨
[00:07:01.800 --> 00:07:03.800]  大家清楚這個鴨是甚麼嗎
[00:07:03.800 --> 00:07:04.800]  這個鴨就是要跟著神
[00:07:04.800 --> 00:07:06.800]  這個鴨就是神的使命
[00:07:06.800 --> 00:07:10.800]  我們去履行神的使命
