
[00:00:00.000 --> 00:00:05.240]  其實父親在聖經裡記載的是特別多的
[00:00:05.240 --> 00:00:10.000]  因為當然在古代社會是以男性為主
[00:00:10.000 --> 00:00:13.720]  第二很重要的就是神的形象
[00:00:13.720 --> 00:00:19.400]  在這個世界讓我們認識上帝和我們的關係
[00:00:19.400 --> 00:00:23.800]  是以父的角色來表彰的
[00:00:23.800 --> 00:00:26.000]  當然我們都知道
[00:00:26.000 --> 00:00:28.520]  上帝是包括了母性的
[00:00:28.520 --> 00:00:30.200]  就是母親的性情
[00:00:30.200 --> 00:00:34.000]  所以他是充滿著慈愛
[00:00:34.000 --> 00:00:35.640]  溫柔
[00:00:35.640 --> 00:00:37.440]  懷抱
[00:00:37.440 --> 00:00:39.000]  紀念等等
[00:00:39.000 --> 00:00:41.200]  但是的確在聖經裡
[00:00:41.200 --> 00:00:44.160]  神、上帝是以父的角色
[00:00:44.160 --> 00:00:47.800]  讓我們認識和建立關係為主
[00:00:47.800 --> 00:00:51.040]  所以我們所信的三一上帝有什麼呢?
[00:00:51.040 --> 00:00:55.520]  有聖父、聖子、聖靈
[00:00:55.520 --> 00:00:57.440]  沒有聖母的
[00:00:57.440 --> 00:00:58.760]  所以我們發覺
[00:00:58.760 --> 00:01:00.800]  這個就是讓我們看見
[00:01:00.800 --> 00:01:06.200]  其實上帝也很看重我們和祂的關係
[00:01:06.200 --> 00:01:10.440]  是以一個父的角度去認識祂
[00:01:10.440 --> 00:01:15.000]  在《路加福音》今年我們說到
[00:01:15.000 --> 00:01:20.160]  所以我們想在《路加福音》哪一段聖經說到父親
[00:01:20.160 --> 00:01:21.760]  特別是說到天父
[00:01:21.760 --> 00:01:23.200]  當然也有一些
[00:01:23.200 --> 00:01:28.960]  不過最明顯的就是在《路加福音》的第十五章
[00:01:28.960 --> 00:01:32.320]  大家知道《路加福音》第十五章說什麼嗎?
[00:01:32.320 --> 00:01:34.640]  對呀,阿戰很熟悉聖經
[00:01:34.640 --> 00:01:36.800]  就是說浪子的比喻,熟不熟悉?
[00:01:36.800 --> 00:01:39.760]  《路加福音》第十五章,浪子的比喻
[00:01:39.760 --> 00:01:42.240]  其實這個浪子的比喻
[00:01:42.240 --> 00:01:46.200]  當然是浪子很傳奇的一個經歷
[00:01:46.200 --> 00:01:47.880]  當耶穌說的時候
[00:01:47.880 --> 00:01:55.600]  就說到祂的轉變,如何蒙因,如何悔改
[00:01:55.600 --> 00:01:58.560]  如何再次回到父家
[00:01:58.560 --> 00:02:00.160]  但是其實你留意
[00:02:00.160 --> 00:02:03.120]  《路加福音》第十五章不是單單說一個比喻
[00:02:03.120 --> 00:02:04.880]  它說了三個比喻,記不記得?
[00:02:04.880 --> 00:02:06.680]  第一個比喻是說什麼?
[00:02:06.680 --> 00:02:11.720]  就是說耶穌是沉陽,一百隻失了一隻,記不記得?
[00:02:11.720 --> 00:02:14.760]  有九十九隻,耶穌仍然去尋找祂
[00:02:14.760 --> 00:02:17.600]  接著另外第二個比喻是什麼?
[00:02:17.600 --> 00:02:19.200]  失了錢的比喻,是吧?
[00:02:19.200 --> 00:02:22.600]  就是為了婦人失了十個錢,失了一個
[00:02:22.600 --> 00:02:26.600]  結果祂就到處去找祂,以致找回
[00:02:26.600 --> 00:02:32.400]  然後第三個才說到離開了父家的一個小兒子
[00:02:32.400 --> 00:02:34.280]  其實嚴格地說,當我思想
[00:02:34.280 --> 00:02:37.560]  我就想想,這幾個比喻
[00:02:37.560 --> 00:02:41.440]  耶穌說的時候是有關係的
[00:02:41.440 --> 00:02:43.000]  這三個比喻可以說
[00:02:43.000 --> 00:02:46.520]  第一個就是說到聖子的比喻,是吧?
[00:02:46.520 --> 00:02:49.840]  聖子是一個沉陽,來到這個世間
[00:02:49.840 --> 00:02:53.720]  沉走失散的陽,然後找回那隻失的陽
[00:02:53.720 --> 00:02:57.680]  然後失錢的比喻其實是說聖靈
[00:02:57.680 --> 00:03:00.120]  聖靈來光照人的心
[00:03:00.120 --> 00:03:04.680]  讓人去找回失落了的很寶貴的東西
[00:03:04.680 --> 00:03:07.080]  然後最後這個就是說什麼?
[00:03:07.080 --> 00:03:10.880]  這個兒子的故事是說聖父
[00:03:10.880 --> 00:03:16.400]  就是說到這個慈父怎樣去忍耐
[00:03:16.400 --> 00:03:20.560]  以及去等候這個小兒子來歸回
[00:03:20.560 --> 00:03:24.000]  其實在這段聖經裡,第三個比喻裡
[00:03:24.000 --> 00:03:26.760]  都是不止一個兒子的,是吧?
[00:03:26.760 --> 00:03:28.200]  你知道,如果你讀的時候
[00:03:28.200 --> 00:03:31.840]  你會留意到,原來不單止這個浪子的比喻
[00:03:31.840 --> 00:03:34.120]  浪子回頭的比喻
[00:03:34.120 --> 00:03:37.000]  其實還有一個兒子
[00:03:37.000 --> 00:03:39.080]  所以如果這樣看的時候
[00:03:39.080 --> 00:03:41.040]  今天我們不如從這個角度去思想
[00:03:41.040 --> 00:03:43.480]  就是這個慈父的比喻,是吧?
[00:03:43.480 --> 00:03:45.400]  是否更加恰切一點?
[00:03:45.400 --> 00:03:50.440]  慈父的比喻,這個比喻說到一個慈愛的父親
[00:03:50.440 --> 00:03:56.320]  怎樣跟他兩個兒子有一個關係
[00:03:56.320 --> 00:04:02.480]  以及在當中體會到父的心懷
[00:04:02.480 --> 00:04:05.520]  體會到天父對我們的心懷
[00:04:05.520 --> 00:04:07.000]  耶穌說這個比喻很明顯
[00:04:07.000 --> 00:04:10.560]  除了聖子尋找失楊,聖靈去光照人
[00:04:10.560 --> 00:04:14.200]  叫他能夠找回這個寶貝
[00:04:14.200 --> 00:04:19.040]  更重要的是,天父向人類顯明他的愛
[00:04:19.040 --> 00:04:22.800]  他是滿有恩慈的,滿有忍耐的
[00:04:22.800 --> 00:04:28.600]  也滿有智慧的,來彰顯父上帝對我們的愛
[00:04:28.600 --> 00:04:32.200]  所以今天我們不如從這個角度去思想一下
[00:04:32.200 --> 00:04:35.200]  這個是慈父的比喻
