
[00:00:00.000 --> 00:00:05.000]  弟兄姊妹好,我們一齊有個禱告
[00:00:05.000 --> 00:00:08.000]  天父我們求主您帶領我們
[00:00:08.000 --> 00:00:11.000]  我們懇求聖靈去幫助我們
[00:00:11.000 --> 00:00:14.000]  讓我們看到主在來的真理
[00:00:14.000 --> 00:00:17.000]  以致我們好好的行事為人
[00:00:17.000 --> 00:00:20.000]  是對準你自己的計劃,永恆的計劃
[00:00:20.000 --> 00:00:23.000]  我們這樣祈禱奉主耶穌基督的名
[00:00:23.000 --> 00:00:25.000]  阿門
[00:00:25.000 --> 00:00:29.000]  美國三一神學院一個教授叫Douglas Moore
[00:00:29.000 --> 00:00:31.000]  其中一位教授
[00:00:31.000 --> 00:00:33.000]  他有經歷
[00:00:33.000 --> 00:00:37.000]  有一次他身體有毛病
[00:00:37.000 --> 00:00:39.000]  去檢查
[00:00:39.000 --> 00:00:45.000]  醫生初步懷疑是癌症
[00:00:45.000 --> 00:00:49.000]  但要等三天才有報告出來
[00:00:49.000 --> 00:00:54.000]  這件事Douglas很不尋常
[00:00:54.000 --> 00:00:58.000]  他覺得這三天真的很困難
[00:00:58.000 --> 00:01:01.000]  他覺得死亡跟他很接近
[00:01:01.000 --> 00:01:08.000]  他經常在憂慮當中睡不著覺
[00:01:08.000 --> 00:01:11.000]  他覺得非常難受
[00:01:11.000 --> 00:01:14.000]  但他又發覺另外一個經歷
[00:01:14.000 --> 00:01:17.000]  因為這個病或這件事
[00:01:17.000 --> 00:01:20.000]  他越來越看重永恆的意思
[00:01:20.000 --> 00:01:22.000]  想多些永恆的事
[00:01:22.000 --> 00:01:24.000]  更加用心看聖經
[00:01:24.000 --> 00:01:29.000]  以前可能有些觀感上的刺激享受
[00:01:29.000 --> 00:01:31.000]  或者吃些甚麼好東西
[00:01:31.000 --> 00:01:35.000]  他發覺現在完全不理會這些
[00:01:35.000 --> 00:01:38.000]  反而會看到屬靈的重要
[00:01:38.000 --> 00:01:42.000]  整個人有些扭轉
