
[00:00:00.000 --> 00:00:02.360]  今日呢我哋嘅題目呢叫做
[00:00:02.360 --> 00:00:06.080]  找緊淑靈嘅恩典同埋應許
[00:00:06.080 --> 00:00:10.240]  當我咁諗嘅時候呢其實有啲乜嘢我哋嘅生命好找緊嘅呢
[00:00:10.240 --> 00:00:13.080]  如果呢超級市場有優惠呢
[00:00:13.080 --> 00:00:15.000]  我哋會好找緊㗎
[00:00:15.000 --> 00:00:17.640]  如果百貨公司有折扣
[00:00:17.640 --> 00:00:19.400]  我哋可能又會好找緊㗎
[00:00:19.400 --> 00:00:24.440]  但係我哋嘅生命原來我哋有淑靈嘅恩典同埋應許我哋有冇找緊呢
[00:00:24.440 --> 00:00:27.640]  開始嘅時候呢問大家一個問題呀
[00:00:27.640 --> 00:00:33.960]  我哋呢讀書嘅時候呢你有冇參加過有啲個課外活動嘅學會呀
[00:00:33.960 --> 00:00:38.320]  我記得呢當我讀書嘅時候呢參加唔同學會嘅同學呢
[00:00:38.320 --> 00:00:41.240]  佢哋嘅生命呢有唔同嘅特質㗎喎
[00:00:41.240 --> 00:00:44.280]  譬如話參加攝影學會嘅同學
[00:00:44.280 --> 00:00:46.920]  咁當然佢哋好鍾意影相啦
[00:00:46.920 --> 00:00:51.360]  佢哋有一個特質嘅就係佢哋呢永遠都可以捕捉到嗰啲攝影嘅觸覺嘅
[00:00:51.360 --> 00:00:54.040]  一啲人睇嚟好平凡嘅嘢
[00:00:54.040 --> 00:00:56.520]  佢哋望落去呢會影到一幅好靚嘅相
[00:00:56.520 --> 00:01:01.520]  並且佢哋有呢個特質去影到一幅好靚嘅相嘅
[00:01:01.520 --> 00:01:04.920]  參加數學學會嘅同學有啲咩特質呢
[00:01:04.920 --> 00:01:07.720]  咁當然要數學唔咋先啦
[00:01:07.720 --> 00:01:10.400]  但係佢哋呢好鍾意傾數學問題
[00:01:10.400 --> 00:01:13.040]  好鍾意一齊去諗數學問題
[00:01:13.040 --> 00:01:16.600]  咁最近有一班少年人呢就卜房一齊溫習呀
[00:01:16.600 --> 00:01:19.240]  咁佢哋就喺度傾緊啲數學嘅問題
[00:01:19.240 --> 00:01:21.960]  咁我同阿柏sir競著去同佢哋傾計
[00:01:21.960 --> 00:01:22.680]  咁我就問啦
[00:01:22.680 --> 00:01:24.560]  咦你哋傾緊啲咩呀
[00:01:24.560 --> 00:01:28.920]  啊我哋一齊傾緊呢個數學問題係點做㗎
[00:01:28.920 --> 00:01:30.920]  咁我話講嚟聽下
[00:01:30.920 --> 00:01:32.840]  佢哋講完所有嘢之後
[00:01:32.840 --> 00:01:33.840]  我除咗兩個字
[00:01:33.840 --> 00:01:36.160]  我隱約有少少記憶之外
[00:01:36.160 --> 00:01:40.760]  就係一個叫做sign同埋posign
[00:01:40.760 --> 00:01:43.440]  但係sign同埋posign
[00:01:43.440 --> 00:01:44.440]  即係我有記憶之後
[00:01:44.440 --> 00:01:46.360]  其實成條問題講啲咩㗎呢
[00:01:46.360 --> 00:01:48.800]  我完全唔知佢哋講緊乜
[00:01:48.800 --> 00:01:49.440]  我感恩呀
[00:01:49.440 --> 00:01:50.440]  pastor勁
[00:01:50.440 --> 00:01:50.960]  pastor勁咗
[00:01:50.960 --> 00:01:52.120]  哎我知你哋講乜咩
[00:01:52.120 --> 00:01:52.800]  我明㗎我明㗎
[00:01:52.800 --> 00:01:54.600]  哇你真係犀利呀你明
[00:01:54.600 --> 00:01:56.480]  但係因為pastor勁有啲個特質
[00:01:56.480 --> 00:01:59.160]  因為佢係讀物理畢業㗎
[00:01:59.160 --> 00:02:03.080]  參加地理學會嘅同學有啲咩特質呢
[00:02:03.080 --> 00:02:05.040]  當然係會熟識地理
[00:02:05.040 --> 00:02:07.600]  但係佢哋有一個好特別嘅特質嘅我發現
[00:02:07.600 --> 00:02:09.600]  佢哋好鍾意行山
[00:02:09.600 --> 00:02:11.760]  呢個呢就唔係我嘅特質
